Timestamp,Air.Temperature..2.05m.,Air.Temperature..0.38m.
2017-06-15 00:00:00,13.34,12.15
2017-06-15 00:30:00,13.15,12.27
2017-06-15 01:00:00,13.16,12.45
2017-06-15 01:30:00,13.13,12.13
2017-06-15 02:00:00,12.93,11.88
2017-06-15 02:30:00,12.76,11.94
2017-06-15 03:00:00,12.77,11.99
2017-06-15 03:30:00,12.69,12.01
2017-06-15 04:00:00,12.59,11.91
2017-06-15 04:30:00,12.78,11.95
2017-06-15 05:00:00,12.33,11.66
2017-06-15 05:30:00,12.06,11.21
2017-06-15 06:00:00,11.61,10.91
2017-06-15 06:30:00,11.48,10.94
2017-06-15 07:00:00,11.73,11.14
2017-06-15 07:30:00,11.91,11.21
2017-06-15 08:00:00,12.41,11.7
2017-06-15 08:30:00,12.68,12.12
2017-06-15 09:00:00,12.97,12.48
2017-06-15 09:30:00,13.08,12.58
2017-06-15 10:00:00,13.15,12.76
2017-06-15 10:30:00,13.36,12.79
2017-06-15 11:00:00,13.29,12.78
2017-06-15 11:30:00,13.24,12.75
2017-06-15 12:00:00,13.31,12.83
2017-06-15 12:30:00,13.19,12.6
2017-06-15 13:00:00,13.13,12.73
2017-06-15 13:30:00,13.37,12.89
2017-06-15 14:00:00,13.36,12.74
2017-06-15 14:30:00,13.57,13.26
2017-06-15 15:00:00,14.13,13.46
2017-06-15 15:30:00,14.22,13.78
2017-06-15 16:00:00,14.3,13.61
2017-06-15 16:30:00,14.11,13.67
2017-06-15 17:00:00,14.54,13.8
2017-06-15 17:30:00,14.67,13.92
2017-06-15 18:00:00,14.41,13.85
2017-06-15 18:30:00,14.19,13.74
2017-06-15 19:00:00,14.24,13.86
2017-06-15 19:30:00,14.3,13.86
2017-06-15 20:00:00,14.48,13.91
2017-06-15 20:30:00,14.48,13.84
2017-06-15 21:00:00,14.35,13.74
2017-06-15 21:30:00,14.54,13.74
2017-06-15 22:00:00,14.4,13.61
2017-06-15 22:30:00,14.07,13.46
2017-06-15 23:00:00,14.25,13.33
2017-06-15 23:30:00,14.13,13.21
2017-06-16 00:00:00,14.06,12.75
2017-06-16 00:30:00,13.06,11.24
2017-06-16 01:00:00,12.34,10.38
2017-06-16 01:30:00,12.16,10.81
2017-06-16 02:00:00,12.24,10.52
2017-06-16 02:30:00,12.6,11.03
2017-06-16 03:00:00,12.27,10.76
2017-06-16 03:30:00,11.62,10
2017-06-16 04:00:00,11.29,9.39
2017-06-16 04:30:00,11.08,9.21
2017-06-16 05:00:00,11.79,11
2017-06-16 05:30:00,12.81,12.56
2017-06-16 06:00:00,13.8,13.26
2017-06-16 06:30:00,14.01,13.65
2017-06-16 07:00:00,14.29,14.27
2017-06-16 07:30:00,14.96,15.75
2017-06-16 08:00:00,14.77,15.65
2017-06-16 08:30:00,15.07,16.32
2017-06-16 09:00:00,15.66,17.16
2017-06-16 09:30:00,15.81,17.33
2017-06-16 10:00:00,16.14,17.74
2017-06-16 10:30:00,16.33,18.23
2017-06-16 11:00:00,16.61,18.4
2017-06-16 11:30:00,16.87,18.71
2017-06-16 12:00:00,17.09,18.93
2017-06-16 12:30:00,17.32,19.21
2017-06-16 13:00:00,17.6,19.49
2017-06-16 13:30:00,18.4,19.91
2017-06-16 14:00:00,18.5,19.99
2017-06-16 14:30:00,18.4,19.9
2017-06-16 15:00:00,18.68,19.84
2017-06-16 15:30:00,18.67,19.92
2017-06-16 16:00:00,18.89,20.17
2017-06-16 16:30:00,18.83,20.19
2017-06-16 17:00:00,18.95,20.11
2017-06-16 17:30:00,18.67,19.6
2017-06-16 18:00:00,18.19,18.94
2017-06-16 18:30:00,17.89,18.23
2017-06-16 19:00:00,17.08,17.12
2017-06-16 19:30:00,16.34,16.07
2017-06-16 20:00:00,15.77,15.13
2017-06-16 20:30:00,15.14,14.22
2017-06-16 21:00:00,14.39,13.56
2017-06-16 21:30:00,14.24,13.21
2017-06-16 22:00:00,13.38,12.49
2017-06-16 22:30:00,12.4,11.94
2017-06-16 23:00:00,12.56,11.81
2017-06-16 23:30:00,12.78,11.76
2017-06-17 00:00:00,12.12,11.21
2017-06-17 00:30:00,12.33,11.2
2017-06-17 01:00:00,11.65,10.89
2017-06-17 01:30:00,12.02,10.93
2017-06-17 02:00:00,11.4,10.42
2017-06-17 02:30:00,11.17,10.18
2017-06-17 03:00:00,10.94,10.05
2017-06-17 03:30:00,11.15,10.05
2017-06-17 04:00:00,11.04,10.13
2017-06-17 04:30:00,11.2,10.44
2017-06-17 05:00:00,11.64,10.91
2017-06-17 05:30:00,11.98,11.38
2017-06-17 06:00:00,12.2,11.71
2017-06-17 06:30:00,12.5,12.08
2017-06-17 07:00:00,13.07,12.92
2017-06-17 07:30:00,13.31,13.62
2017-06-17 08:00:00,13.75,14.33
2017-06-17 08:30:00,13.93,14.64
2017-06-17 09:00:00,14.26,15.08
2017-06-17 09:30:00,14.49,15.61
2017-06-17 10:00:00,14.93,16.2
2017-06-17 10:30:00,15.21,16.53
2017-06-17 11:00:00,15.21,16.73
2017-06-17 11:30:00,15.66,17.09
2017-06-17 12:00:00,15.53,16.87
2017-06-17 12:30:00,15.76,17.15
2017-06-17 13:00:00,15.69,16.71
2017-06-17 13:30:00,15.63,16.48
2017-06-17 14:00:00,15.64,16.55
2017-06-17 14:30:00,16.24,17.34
2017-06-17 15:00:00,16.01,17.07
2017-06-17 15:30:00,15.92,16.79
2017-06-17 16:00:00,16,16.43
2017-06-17 16:30:00,15.78,16.04
2017-06-17 17:00:00,15.53,15.39
2017-06-17 17:30:00,14.99,14.86
2017-06-17 18:00:00,14.62,14.42
2017-06-17 18:30:00,14.45,14.24
2017-06-17 19:00:00,13.96,13.53
2017-06-17 19:30:00,13.82,13.41
2017-06-17 20:00:00,13.97,13.35
2017-06-17 20:30:00,13.65,13.08
2017-06-17 21:00:00,13.38,12.88
2017-06-17 21:30:00,13.08,12.71
2017-06-17 22:00:00,13.31,12.55
2017-06-17 22:30:00,13.07,12.51
2017-06-17 23:00:00,13.15,12.45
2017-06-17 23:30:00,12.97,12.41
2017-06-18 00:00:00,12.62,12.18
2017-06-18 00:30:00,12.51,11.89
2017-06-18 01:00:00,12.29,11.7
2017-06-18 01:30:00,12.65,11.79
2017-06-18 02:00:00,12.74,11.88
2017-06-18 02:30:00,12.77,11.98
2017-06-18 03:00:00,12.55,11.95
2017-06-18 03:30:00,11.96,11.48
2017-06-18 04:00:00,12,11.45
2017-06-18 04:30:00,11.74,11.35
2017-06-18 05:00:00,11.69,11.19
2017-06-18 05:30:00,11.56,11.2
2017-06-18 06:00:00,11.62,11.3
2017-06-18 06:30:00,11.88,11.45
2017-06-18 07:00:00,12.22,11.83
2017-06-18 07:30:00,12.49,12.11
2017-06-18 08:00:00,12.49,12.22
2017-06-18 08:30:00,12.58,12.22
2017-06-18 09:00:00,12.66,12.47
2017-06-18 09:30:00,12.63,12.53
2017-06-18 10:00:00,12.92,12.91
2017-06-18 10:30:00,13.26,13.18
