Timestamp,Oxidation.Reduction.Potential...0.10m.,Oxidation.Reduction.Potential...0.30m.
2017-06-15 00:00:00,-285.6,-209.17
2017-06-15 00:30:00,-285.46,-209.18
2017-06-15 01:00:00,-285.41,-211.59
2017-06-15 01:30:00,-285.28,-208.68
2017-06-15 02:00:00,-285.18,-207.66
2017-06-15 02:30:00,-285.13,-207.17
2017-06-15 03:00:00,-284.68,-207.85
2017-06-15 03:30:00,-285.91,-208.59
2017-06-15 04:00:00,-285.06,-205.61
2017-06-15 04:30:00,-284.57,-207.17
2017-06-15 05:00:00,-284.55,-208.12
2017-06-15 05:30:00,-284.01,-214.37
2017-06-15 06:00:00,-285.37,-223.82
2017-06-15 06:30:00,-285.97,-222.07
2017-06-15 07:00:00,-286.38,-221.85
2017-06-15 07:30:00,-286.96,-223.36
2017-06-15 08:00:00,-287.33,-225.25
2017-06-15 08:30:00,-288.15,-224.38
2017-06-15 09:00:00,-287.48,-217.71
2017-06-15 09:30:00,-285.98,-214.42
2017-06-15 10:00:00,-285.57,-214.62
2017-06-15 10:30:00,-285.62,-219.2
2017-06-15 11:00:00,-287.52,-218.4
2017-06-15 11:30:00,-286.94,-226.79
2017-06-15 12:00:00,-286.59,-225.08
2017-06-15 12:30:00,-287.03,-224.44
2017-06-15 13:00:00,-289.25,-230.1
2017-06-15 13:30:00,-290.58,-231.7
2017-06-15 14:00:00,-291.4,-232.18
2017-06-15 14:30:00,-294.5,-234.58
2017-06-15 15:00:00,-294.54,-233.36
2017-06-15 15:30:00,-294.81,-234.39
2017-06-15 16:00:00,-295.47,-234.93
2017-06-15 16:30:00,-297.87,-235.2
2017-06-15 17:00:00,-299.8,-235.2
2017-06-15 17:30:00,-298.7,-232.38
2017-06-15 18:00:00,-297.37,-233.85
2017-06-15 18:30:00,-299.34,-234.98
2017-06-15 19:00:00,-300,-233.72
2017-06-15 19:30:00,-298.65,-231.57
2017-06-15 20:00:00,-299.22,-230.32
2017-06-15 20:30:00,-296.42,-229.42
2017-06-15 21:00:00,-295.72,-228.25
2017-06-15 21:30:00,-295.04,-228.04
2017-06-15 22:00:00,-295.01,-228.38
2017-06-15 22:30:00,-294.21,-228.48
2017-06-15 23:00:00,-293.89,-227.43
2017-06-15 23:30:00,-293.18,-226.49
2017-06-16 00:00:00,-292.21,-227.71
2017-06-16 00:30:00,-292.24,-226.64
2017-06-16 01:00:00,-292.26,-227.78
2017-06-16 01:30:00,-292.05,-226.28
2017-06-16 02:00:00,-291.57,-225.69
2017-06-16 02:30:00,-290.45,-226.79
2017-06-16 03:00:00,-289.77,-225.53
2017-06-16 03:30:00,-289.58,-226.03
2017-06-16 04:00:00,-289.44,-224.95
2017-06-16 04:30:00,-289.41,-223.88
2017-06-16 05:00:00,-287.87,-223.78
2017-06-16 05:30:00,-287.04,-223.81
2017-06-16 06:00:00,-285.94,-223.55
