Timestamp,Incoming.Photosynthetic.Active.Radiation..1.80m.,Reflected.Photosynthetic.Active.Radiation..4.25m.
2017-06-15 00:00:00,0.12,0.05
2017-06-15 00:30:00,0.1,0.07
2017-06-15 01:00:00,0.15,0.07
2017-06-15 01:30:00,0.08,0.09
2017-06-15 02:00:00,0.11,0.04
2017-06-15 02:30:00,0.15,0.08
2017-06-15 03:00:00,0.1,0.08
2017-06-15 03:30:00,0.1,0.06
2017-06-15 04:00:00,0.54,0.08
2017-06-15 04:30:00,3.53,0.11
2017-06-15 05:00:00,13.24,0.52
2017-06-15 05:30:00,29.67,1.66
2017-06-15 06:00:00,62.05,2.96
2017-06-15 06:30:00,96.58,4.59
2017-06-15 07:00:00,167.79,7.81
2017-06-15 07:30:00,160.32,7.47
2017-06-15 08:00:00,247.93,10.59
2017-06-15 08:30:00,222.1,9.74
2017-06-15 09:00:00,235.15,10.29
2017-06-15 09:30:00,180.38,8.29
2017-06-15 10:00:00,173.04,8.06
2017-06-15 10:30:00,195.15,8.8
2017-06-15 11:00:00,151.96,7.06
2017-06-15 11:30:00,245.41,10.32
2017-06-15 12:00:00,255.88,10.77
2017-06-15 12:30:00,164.54,7.55
2017-06-15 13:00:00,242.8,10.56
2017-06-15 13:30:00,226.83,10.06
2017-06-15 14:00:00,142.85,6.84
2017-06-15 14:30:00,281.84,11.74
2017-06-15 15:00:00,196.04,8.61
2017-06-15 15:30:00,226.93,9.66
2017-06-15 16:00:00,127.69,5.88
2017-06-15 16:30:00,140.57,6.33
2017-06-15 17:00:00,150.76,6.78
2017-06-15 17:30:00,93.92,4.34
2017-06-15 18:00:00,50.29,2.38
2017-06-15 18:30:00,66.57,3.25
2017-06-15 19:00:00,68.15,3.29
2017-06-15 19:30:00,31.68,1.65
2017-06-15 20:00:00,12.4,0.6
2017-06-15 20:30:00,2.39,0.25
2017-06-15 21:00:00,0.33,0.15
2017-06-15 21:30:00,0.21,0.08
2017-06-15 22:00:00,0.18,0.14
2017-06-15 22:30:00,0.17,0.17
2017-06-15 23:00:00,0.23,0.25
2017-06-15 23:30:00,0.24,0.39
2017-06-16 00:00:00,0.27,0.37
2017-06-16 00:30:00,0.24,0.42
2017-06-16 01:00:00,0.27,0.45
2017-06-16 01:30:00,0.27,0.43
2017-06-16 02:00:00,0.24,0.39
2017-06-16 02:30:00,0.23,0.28
2017-06-16 03:00:00,0.28,0.23
2017-06-16 03:30:00,0.22,0.32
2017-06-16 04:00:00,1.46,0.41
2017-06-16 04:30:00,18.92,1.24
2017-06-16 05:00:00,108.65,5.81
2017-06-16 05:30:00,238.57,12.1
2017-06-16 06:00:00,181.2,8.92
2017-06-16 06:30:00,305.67,14.74
2017-06-16 07:00:00,413.46,19.93
2017-06-16 07:30:00,556.04,27.43
