Timestamp,Shortwave.Irradiance..4.25m.,Shortwave.Reflectance..4.25m.,Longwave.Downward.Radiation..4.25m.,Longwave.Upward.Radiation..4.25m.
2017-06-15 00:00:00,0,1.08,348.73,375.88
2017-06-15 00:30:00,0.01,1,351.77,375.86
2017-06-15 01:00:00,0,0.65,356.21,376.59
2017-06-15 01:30:00,0,0.81,349.3,374.83
2017-06-15 02:00:00,0,1.11,346.54,373.65
2017-06-15 02:30:00,0,0.88,347.65,373.54
2017-06-15 03:00:00,0,0.91,351.04,373.67
2017-06-15 03:30:00,0,1.15,353.05,373.43
2017-06-15 04:00:00,0.02,0.86,351.95,373.13
2017-06-15 04:30:00,0.51,1.43,357.79,373.26
2017-06-15 05:00:00,5.17,3.68,362.43,372.45
2017-06-15 05:30:00,14.57,5.5,365.56,371.01
2017-06-15 06:00:00,32.32,6.23,365.42,370.75
2017-06-15 06:30:00,50.63,7.38,365.54,371.42
2017-06-15 07:00:00,88.05,11.06,366.72,373.59
2017-06-15 07:30:00,82.8,10.01,366.1,374.37
2017-06-15 08:00:00,131.02,15,366.07,374.17
2017-06-15 08:30:00,115.87,12.72,366.97,372.49
2017-06-15 09:00:00,120.55,13.21,366.16,374.4
2017-06-15 09:30:00,88.77,8.74,366.94,375.52
2017-06-15 10:00:00,83.99,8.67,373.08,376.78
2017-06-15 10:30:00,94.93,9.36,374.06,377.88
2017-06-15 11:00:00,70.82,6.32,372.73,379.4
2017-06-15 11:30:00,120.49,11.83,372.08,380.37
2017-06-15 12:00:00,125.78,12.38,371.49,376.93
2017-06-15 12:30:00,76.08,7.07,372.54,375.37
2017-06-15 13:00:00,118.19,11.37,375.86,376.15
2017-06-15 13:30:00,112.9,10.8,375.42,376.62
2017-06-15 14:00:00,65.55,6.04,375.99,376.51
2017-06-15 14:30:00,140.38,13.91,379.42,379.47
2017-06-15 15:00:00,93.63,8.66,380.38,380.65
2017-06-15 15:30:00,110.2,10.08,381.36,382.2
2017-06-15 16:00:00,59.51,5.22,380.68,381.38
2017-06-15 16:30:00,65.84,5.7,381.11,381.92
2017-06-15 17:00:00,74.73,7.17,377.92,382.89
2017-06-15 17:30:00,45.37,4.28,380.14,383.97
2017-06-15 18:00:00,23.97,2.03,381.85,384.25
2017-06-15 18:30:00,33.63,3.38,379.57,384.02
2017-06-15 19:00:00,35.87,3.88,377.57,384.51
2017-06-15 19:30:00,17.13,1.93,377.49,384.45
2017-06-15 20:00:00,6.95,0.88,374.45,384.59
2017-06-15 20:30:00,1.08,0.42,373.28,384.32
2017-06-15 21:00:00,0.11,0.35,372.13,384.14
2017-06-15 21:30:00,0.08,0.35,371.52,383.91
2017-06-15 22:00:00,0.06,0.21,370.43,383.32
2017-06-15 22:30:00,0.04,0.05,368.5,382.64
2017-06-15 23:00:00,0.04,0.06,367.14,382
2017-06-15 23:30:00,0.02,0.07,362.54,381.39
2017-06-16 00:00:00,0,0.45,324.65,376.45
2017-06-16 00:30:00,0,1.61,302.81,367.54
2017-06-16 01:00:00,0,1.85,303.77,364.58
2017-06-16 01:30:00,0,1.65,322.52,366.62
2017-06-16 02:00:00,0,1.84,305.69,364.22
2017-06-16 02:30:00,0,1.14,299.6,366.9
2017-06-16 03:00:00,0,1.22,295.12,364.39
2017-06-16 03:30:00,0,1.58,291.76,359.44
2017-06-16 04:00:00,0.03,1.58,313.61,359.91
2017-06-16 04:30:00,11.8,3.27,335.38,362.11
2017-06-16 05:00:00,61.57,16.65,330.18,368.37
2017-06-16 05:30:00,137.43,27.37,348.42,378.41
2017-06-16 06:00:00,101.38,10.94,353.73,381.69
2017-06-16 06:30:00,169.53,19.31,344.78,384.32
2017-06-16 07:00:00,223.49,26.42,311.74,385.85
2017-06-16 07:30:00,307.99,35.83,311.77,392.57
2017-06-16 08:00:00,411.08,48.12,306.92,394.34
2017-06-16 08:30:00,542.81,60.54,304.82,401.29
2017-06-16 09:00:00,678.37,74.68,306.54,411.28
2017-06-16 09:30:00,677.5,70.79,311.85,415.89
2017-06-16 10:00:00,784.48,80.54,315.2,424.39
2017-06-16 10:30:00,847.21,85.91,318.12,429.97
2017-06-16 11:00:00,900.68,89.73,314.02,434.16
2017-06-16 11:30:00,928.61,92.85,314.92,438.28
2017-06-16 12:00:00,945.49,100.37,316.88,440.9
2017-06-16 12:30:00,918.01,96.64,320.77,443.88
2017-06-16 13:00:00,926.82,91.97,319.96,445.36
2017-06-16 13:30:00,920.32,92.59,321.35,447.7
2017-06-16 14:00:00,881.7,86.92,322.43,447.48
2017-06-16 14:30:00,835.97,84.22,321.37,444.74
2017-06-16 15:00:00,782.41,84.3,319.92,441.05
2017-06-16 15:30:00,719.09,78.82,320.02,438.88
2017-06-16 16:00:00,718.65,84.11,325.63,439.55
2017-06-16 16:30:00,632.29,80.23,332.12,436.85
2017-06-16 17:00:00,570.31,87.11,327.93,433.02
2017-06-16 17:30:00,427.09,75.02,320.06,426.15
2017-06-16 18:00:00,319.13,52.52,315.52,419.11
2017-06-16 18:30:00,240.16,46.11,317.65,413.02
2017-06-16 19:00:00,123.91,25.67,319.11,404.84
2017-06-16 19:30:00,74.85,20.04,319.75,398.3
2017-06-16 20:00:00,30.78,10.86,318.41,392.19
2017-06-16 20:30:00,4.05,3.04,314.28,386.42
2017-06-16 21:00:00,0,1.77,315.57,382.53
2017-06-16 21:30:00,0,2.4,312.76,380.39
2017-06-16 22:00:00,0,2.17,311.7,375.37
2017-06-16 22:30:00,0,2.02,324.03,374.97
2017-06-16 23:00:00,0,1.97,337.89,376.7
2017-06-16 23:30:00,0,2.47,316.61,373.12
2017-06-17 00:00:00,0,2.2,308.95,370.68
2017-06-17 00:30:00,0,1.9,303.68,370.39
2017-06-17 01:00:00,0,1.86,301.82,368.32
2017-06-17 01:30:00,0,1.91,306.88,367.64
2017-06-17 02:00:00,0,1.6,315.65,366.42
2017-06-17 02:30:00,0,1.65,315.4,365.89
2017-06-17 03:00:00,0,1.75,311.86,364.53
2017-06-17 03:30:00,0,1.5,321.17,364.95
2017-06-17 04:00:00,0.41,1.53,326.84,365.63
2017-06-17 04:30:00,7.09,2.21,340.92,367.72
2017-06-17 05:00:00,17.73,3.19,351.67,370.93
2017-06-17 05:30:00,32.01,4.36,355.28,373.27
2017-06-17 06:00:00,37.89,4.74,357.4,374.96
2017-06-17 06:30:00,63.56,7.95,355.43,377.58
2017-06-17 07:00:00,158.74,19.15,346.68,383.5
2017-06-17 07:30:00,214.33,25.49,338.08,388.41
2017-06-17 08:00:00,262.36,30.58,342.14,394.59
2017-06-17 08:30:00,279.64,32.4,342.63,398.01
2017-06-17 09:00:00,311.34,36.41,340.34,401.35
2017-06-17 09:30:00,409.67,48.12,342.32,406.68
2017-06-17 10:00:00,531.93,60.78,341.92,414.72
2017-06-17 10:30:00,499.78,56.72,344.19,417.51
2017-06-17 11:00:00,489.45,53.97,349.77,421.06
2017-06-17 11:30:00,492.21,53.34,351.59,423.13
2017-06-17 12:00:00,481,52.62,351.13,422.35
2017-06-17 12:30:00,478.11,52.32,355.35,424.62
2017-06-17 13:00:00,392.64,43.74,355.9,418.52
2017-06-17 13:30:00,384.44,43.18,356.31,417.83
2017-06-17 14:00:00,347.31,39.4,356.17,415.56
2017-06-17 14:30:00,538.42,61.54,357.08,424.31
2017-06-17 15:00:00,354.92,39.32,357.57,418.69
2017-06-17 15:30:00,325.73,36.31,358.3,416.8
2017-06-17 16:00:00,241.96,27.43,357.93,410.64
2017-06-17 16:30:00,181.22,20.78,357.76,406.02
2017-06-17 17:00:00,118.75,14.42,361.48,399.69
2017-06-17 17:30:00,94.33,12.3,360.74,395.44
2017-06-17 18:00:00,77.88,9.77,358.89,393.04
2017-06-17 18:30:00,62.52,7.4,357.88,391.16
2017-06-17 19:00:00,45.42,8.49,366.94,386.66
2017-06-17 19:30:00,21.2,4.59,360.45,385.65
2017-06-17 20:00:00,7.06,2.27,357.34,384.37
2017-06-17 20:30:00,1.52,1.28,356.98,382.76
2017-06-17 21:00:00,0,1.02,357.3,381.58
2017-06-17 21:30:00,0,0.94,357.91,380.57
2017-06-17 22:00:00,0,0.99,358.96,380.01
2017-06-17 22:30:00,0,0.97,359.29,379.58
2017-06-17 23:00:00,0,1.14,359.77,379.5
2017-06-17 23:30:00,0,2.35,369.6,378.44
2017-06-18 00:00:00,0,2.93,371.05,377.01
2017-06-18 00:30:00,0,2.97,370.46,376.22
2017-06-18 01:00:00,0.2,2.32,369.91,375.52
2017-06-18 01:30:00,0.32,2.11,370.25,376.28
2017-06-18 02:00:00,0.59,2.01,369.83,377.26
