Timestamp,Relative.Humidity..2.05m.,Relative.Humidity..0.38m.
2017-06-15 00:00:00,76.03,82.68
2017-06-15 00:30:00,74.38,79.05
2017-06-15 01:00:00,74.75,78.5
2017-06-15 01:30:00,76.16,80.61
2017-06-15 02:00:00,76.68,82.27
2017-06-15 02:30:00,76.9,80.61
2017-06-15 03:00:00,76.94,79.99
2017-06-15 03:30:00,77.88,80.66
2017-06-15 04:00:00,78.54,81.3
2017-06-15 04:30:00,78.41,81.01
2017-06-15 05:00:00,81.62,85.57
2017-06-15 05:30:00,85.76,91.48
2017-06-15 06:00:00,89.38,96.06
2017-06-15 06:30:00,90.04,97.48
2017-06-15 07:00:00,90.91,98.53
2017-06-15 07:30:00,91.01,98.49
2017-06-15 08:00:00,91.32,98.94
2017-06-15 08:30:00,90.94,98.97
2017-06-15 09:00:00,89.56,97.78
2017-06-15 09:30:00,89.07,95.86
2017-06-15 10:00:00,91.29,97.63
2017-06-15 10:30:00,91.22,97.88
2017-06-15 11:00:00,91.35,98.22
2017-06-15 11:30:00,92.07,98.82
2017-06-15 12:00:00,91.86,99.07
2017-06-15 12:30:00,91.6,99.02
2017-06-15 13:00:00,92.78,99.68
2017-06-15 13:30:00,93.3,99.8
2017-06-15 14:00:00,93,99.9
2017-06-15 14:30:00,94.25,100
2017-06-15 15:00:00,94.34,100
2017-06-15 15:30:00,94.78,100
2017-06-15 16:00:00,95.08,100
2017-06-15 16:30:00,95.83,100
2017-06-15 17:00:00,95.82,100
2017-06-15 17:30:00,94.91,100
2017-06-15 18:00:00,95.81,100
2017-06-15 18:30:00,96.89,100
2017-06-15 19:00:00,97.3,100
2017-06-15 19:30:00,97.54,100
2017-06-15 20:00:00,97.68,100
2017-06-15 20:30:00,97.22,100
2017-06-15 21:00:00,96.68,100
2017-06-15 21:30:00,96.83,100
2017-06-15 22:00:00,96.7,100
2017-06-15 22:30:00,96.34,100
2017-06-15 23:00:00,95.84,100
2017-06-15 23:30:00,95.09,100
2017-06-16 00:00:00,93.15,100
2017-06-16 00:30:00,93.35,99.97
2017-06-16 01:00:00,94.47,100
2017-06-16 01:30:00,96.11,100
2017-06-16 02:00:00,95.68,100
2017-06-16 02:30:00,92.63,100
2017-06-16 03:00:00,92.2,100
2017-06-16 03:30:00,94.39,99.97
2017-06-16 04:00:00,96.08,100
2017-06-16 04:30:00,97.07,100
2017-06-16 05:00:00,96.42,100
2017-06-16 05:30:00,92.64,99.95
2017-06-16 06:00:00,86.86,95.29
2017-06-16 06:30:00,86.63,92.6
2017-06-16 07:00:00,82.1,85.35
2017-06-16 07:30:00,76.73,76.37
2017-06-16 08:00:00,78.21,77.13
2017-06-16 08:30:00,76.85,74.34
2017-06-16 09:00:00,75.21,71.62
2017-06-16 09:30:00,75.85,72.08
2017-06-16 10:00:00,74.8,71.45
2017-06-16 10:30:00,75.12,70.87
2017-06-16 11:00:00,74.95,71.11
2017-06-16 11:30:00,73.75,70.21
2017-06-16 12:00:00,73.87,70.11
2017-06-16 12:30:00,72.85,69.23
2017-06-16 13:00:00,70.23,66.96
2017-06-16 13:30:00,68.6,65.86
2017-06-16 14:00:00,68.53,65.96
2017-06-16 14:30:00,69.02,66.37
2017-06-16 15:00:00,68.46,65.54
2017-06-16 15:30:00,67.68,64.87
2017-06-16 16:00:00,66.08,63.11
2017-06-16 16:30:00,66.56,63.56
2017-06-16 17:00:00,64.42,61.77
2017-06-16 17:30:00,65.91,63.58
2017-06-16 18:00:00,67.83,65.67
2017-06-16 18:30:00,68.22,67.02
2017-06-16 19:00:00,71.14,70.89
2017-06-16 19:30:00,74.14,75.17
2017-06-16 20:00:00,77.39,79.81
2017-06-16 20:30:00,82.62,86.31
2017-06-16 21:00:00,87.05,91.22
2017-06-16 21:30:00,91.38,96.34
2017-06-16 22:00:00,92.92,96.53
2017-06-16 22:30:00,95.02,98.68
