Timestamp,Soil.Heat.Flux.Density..uncorrected....0.05m..1,Soil.Heat.Flux.Density..uncorrected....0.05m..2,Soil.Heat.Flux.Density..uncorrected....0.05m..3
2017-06-15 00:00:00,-12.78,-11.24,-7.98
2017-06-15 00:30:00,-13.46,-11.9,-8.25
2017-06-15 01:00:00,-14.12,-12.24,-8.58
2017-06-15 01:30:00,-14.39,-12.25,-8.74
2017-06-15 02:00:00,-14.68,-12.39,-8.82
2017-06-15 02:30:00,-15.16,-12.73,-8.98
2017-06-15 03:00:00,-15.6,-13.07,-9.37
2017-06-15 03:30:00,-15.95,-13.17,-9.68
2017-06-15 04:00:00,-16.14,-13.12,-10.01
2017-06-15 04:30:00,-16.23,-13.05,-10.22
2017-06-15 05:00:00,-16.3,-12.87,-10.27
2017-06-15 05:30:00,-16.07,-12.51,-10.11
2017-06-15 06:00:00,-15.64,-12.02,-9.91
2017-06-15 06:30:00,-15.01,-11.29,-9.47
2017-06-15 07:00:00,-14.08,-10.4,-8.94
2017-06-15 07:30:00,-12.86,-9.31,-8.11
2017-06-15 08:00:00,-11.15,-7.96,-7.09
2017-06-15 08:30:00,-9.06,-6.27,-5.54
2017-06-15 09:00:00,-6.67,-4.33,-4.34
2017-06-15 09:30:00,-4.79,-2.78,-3.46
2017-06-15 10:00:00,-3.3,-1.46,-3.34
2017-06-15 10:30:00,-2.67,-0.91,-3.16
2017-06-15 11:00:00,-2.09,-0.53,-3.02
2017-06-15 11:30:00,-2.48,-0.73,-3.23
2017-06-15 12:00:00,-1.94,-0.36,-2.36
2017-06-15 12:30:00,-1.1,0.61,-2.08
2017-06-15 13:00:00,-1.53,0.48,-2.62
2017-06-15 13:30:00,-1.26,0.7,-1.97
2017-06-15 14:00:00,-0.21,1.7,-1.85
2017-06-15 14:30:00,-1.32,0.82,-2.46
2017-06-15 15:00:00,-0.56,1.35,-1.33
2017-06-15 15:30:00,1.09,2.68,-0.67
2017-06-15 16:00:00,1.71,4.1,-0.04
2017-06-15 16:30:00,0.58,3.86,-0.49
2017-06-15 17:00:00,-0.91,2.59,-0.69
2017-06-15 17:30:00,-1.02,2.13,-0.56
2017-06-15 18:00:00,-1.13,1.86,-0.68
2017-06-15 18:30:00,-2,0.4,-1.11
