Timestamp,Soil.Temperature...0.05m.,Soil.Temperature...0.10m.,Soil.Temperature...0.50m.
2017-06-15 00:00:00,16.67,16.33,14.54
2017-06-15 00:30:00,16.6,16.31,14.53
2017-06-15 01:00:00,16.58,16.3,14.52
2017-06-15 01:30:00,16.54,16.31,14.52
2017-06-15 02:00:00,16.52,16.3,14.53
2017-06-15 02:30:00,16.5,16.29,14.53
2017-06-15 03:00:00,16.44,16.27,14.52
2017-06-15 03:30:00,16.42,16.25,14.52
2017-06-15 04:00:00,16.38,16.24,14.52
2017-06-15 04:30:00,16.3,16.22,14.52
2017-06-15 05:00:00,16.27,16.19,14.51
2017-06-15 05:30:00,16.26,16.16,14.51
2017-06-15 06:00:00,16.22,16.14,14.53
2017-06-15 06:30:00,16.18,16.12,14.53
2017-06-15 07:00:00,16.13,16.07,14.51
2017-06-15 07:30:00,16.09,16.06,14.5
2017-06-15 08:00:00,16.04,16.02,14.49
2017-06-15 08:30:00,16,16,14.49
2017-06-15 09:00:00,15.98,15.98,14.49
2017-06-15 09:30:00,15.94,15.95,14.48
2017-06-15 10:00:00,15.92,15.94,14.49
2017-06-15 10:30:00,15.9,15.91,14.5
2017-06-15 11:00:00,15.92,15.92,14.51
2017-06-15 11:30:00,15.91,15.91,14.5
2017-06-15 12:00:00,15.89,15.89,14.5
2017-06-15 12:30:00,15.88,15.87,14.51
2017-06-15 13:00:00,15.85,15.85,14.5
2017-06-15 13:30:00,15.83,15.82,14.5
2017-06-15 14:00:00,15.81,15.8,14.52
2017-06-15 14:30:00,15.79,15.79,14.49
2017-06-15 15:00:00,15.79,15.78,14.49
2017-06-15 15:30:00,15.77,15.76,14.57
2017-06-15 16:00:00,15.77,15.77,14.7
2017-06-15 16:30:00,15.79,15.78,14.72
2017-06-15 17:00:00,15.77,15.74,14.71
2017-06-15 17:30:00,15.76,15.74,14.71
2017-06-15 18:00:00,15.75,15.75,14.73
2017-06-15 18:30:00,15.73,15.72,14.74
2017-06-15 19:00:00,15.75,15.7,14.75
2017-06-15 19:30:00,15.73,15.72,14.74
2017-06-15 20:00:00,15.73,15.71,14.76
2017-06-15 20:30:00,15.72,15.71,14.76
2017-06-15 21:00:00,15.72,15.68,14.77
2017-06-15 21:30:00,15.74,15.69,14.77
2017-06-15 22:00:00,15.71,15.7,14.77
2017-06-15 22:30:00,15.68,15.66,14.76
2017-06-15 23:00:00,15.69,15.68,14.67
2017-06-15 23:30:00,15.65,15.65,14.61
2017-06-16 00:00:00,15.67,15.66,14.61
2017-06-16 00:30:00,15.69,15.68,14.65
2017-06-16 01:00:00,15.68,15.66,14.65
2017-06-16 01:30:00,15.63,15.64,14.63
2017-06-16 02:00:00,15.61,15.62,14.64
2017-06-16 02:30:00,15.55,15.57,14.62
2017-06-16 03:00:00,15.53,15.58,14.63
2017-06-16 03:30:00,15.5,15.58,14.64
2017-06-16 04:00:00,15.46,15.55,14.65
2017-06-16 04:30:00,15.4,15.54,14.63
2017-06-16 05:00:00,15.31,15.46,14.6
2017-06-16 05:30:00,15.22,15.42,14.58
2017-06-16 06:00:00,15.18,15.41,14.6
2017-06-16 06:30:00,15.12,15.36,14.57
2017-06-16 07:00:00,15.09,15.34,14.74
2017-06-16 07:30:00,15.18,15.39,14.76
2017-06-16 08:00:00,15.18,15.45,14.75
2017-06-16 08:30:00,15.12,15.4,14.74
2017-06-16 09:00:00,15.05,15.35,14.71
2017-06-16 09:30:00,15.06,15.34,14.72
2017-06-16 10:00:00,15.04,15.31,14.7
2017-06-16 10:30:00,15.03,15.29,14.7
2017-06-16 11:00:00,15.05,15.28,14.7
2017-06-16 11:30:00,15.09,15.26,14.69
2017-06-16 12:00:00,15.16,15.26,14.67
2017-06-16 12:30:00,15.25,15.27,14.65
2017-06-16 13:00:00,15.44,15.32,14.67
2017-06-16 13:30:00,15.6,15.35,14.63
2017-06-16 14:00:00,15.81,15.41,14.62
2017-06-16 14:30:00,16.07,15.52,14.67
2017-06-16 15:00:00,16.35,15.66,14.71
2017-06-16 15:30:00,16.5,15.68,14.64
2017-06-16 16:00:00,16.65,15.75,14.6
2017-06-16 16:30:00,16.88,15.88,14.61
2017-06-16 17:00:00,17.11,15.99,14.63
2017-06-16 17:30:00,17.31,16.12,14.65
2017-06-16 18:00:00,17.47,16.25,14.68
2017-06-16 18:30:00,17.61,16.36,14.68
2017-06-16 19:00:00,17.73,16.47,14.71
2017-06-16 19:30:00,17.86,16.6,14.78
2017-06-16 20:00:00,17.93,16.69,14.79
2017-06-16 20:30:00,17.9,16.78,14.82
2017-06-16 21:00:00,17.84,16.71,14.83
2017-06-16 21:30:00,17.82,16.7,14.81
2017-06-16 22:00:00,17.81,16.74,14.63
2017-06-16 22:30:00,17.78,16.77,14.62
2017-06-16 23:00:00,17.72,16.78,14.6
2017-06-16 23:30:00,17.68,16.79,14.6
2017-06-17 00:00:00,17.65,16.81,14.61
2017-06-17 00:30:00,17.56,16.81,14.6
2017-06-17 01:00:00,17.51,16.81,14.61
2017-06-17 01:30:00,17.44,16.81,14.61
2017-06-17 02:00:00,17.38,16.79,14.6
2017-06-17 02:30:00,17.33,16.77,14.6
2017-06-17 03:00:00,17.25,16.75,14.59
2017-06-17 03:30:00,17.19,16.74,14.59
2017-06-17 04:00:00,17.09,16.71,14.59
2017-06-17 04:30:00,17.03,16.68,14.57
2017-06-17 05:00:00,16.93,16.63,14.54
2017-06-17 05:30:00,16.85,16.58,14.52
2017-06-17 06:00:00,16.77,16.54,14.53
2017-06-17 06:30:00,16.71,16.52,14.53
2017-06-17 07:00:00,16.62,16.47,14.5
2017-06-17 07:30:00,16.54,16.42,14.48
2017-06-17 08:00:00,16.48,16.38,14.6
2017-06-17 08:30:00,16.44,16.35,14.66
2017-06-17 09:00:00,16.41,16.33,14.66
2017-06-17 09:30:00,16.54,16.48,14.64
2017-06-17 10:00:00,16.53,16.44,14.64
2017-06-17 10:30:00,16.53,16.44,14.64
2017-06-17 11:00:00,16.53,16.41,14.64
2017-06-17 11:30:00,16.54,16.4,14.64
2017-06-17 12:00:00,16.59,16.39,14.64
2017-06-17 12:30:00,16.59,16.4,14.63
2017-06-17 13:00:00,16.69,16.42,14.65
2017-06-17 13:30:00,16.77,16.45,14.66
2017-06-17 14:00:00,16.79,16.45,14.66
2017-06-17 14:30:00,16.82,16.43,14.63
2017-06-17 15:00:00,16.89,16.47,14.64
2017-06-17 15:30:00,16.97,16.5,14.67
2017-06-17 16:00:00,17.04,16.54,14.67
2017-06-17 16:30:00,17.11,16.57,14.68
2017-06-17 17:00:00,17.19,16.62,14.71
2017-06-17 17:30:00,17.2,16.66,14.71
2017-06-17 18:00:00,17.11,16.57,14.72
2017-06-17 18:30:00,17.13,16.51,14.71
2017-06-17 19:00:00,17.17,16.57,14.73
2017-06-17 19:30:00,17.19,16.59,14.73
2017-06-17 20:00:00,17.18,16.59,14.58
2017-06-17 20:30:00,17.16,16.6,14.53
2017-06-17 21:00:00,17.14,16.6,14.53
2017-06-17 21:30:00,17.11,16.6,14.53
2017-06-17 22:00:00,17.1,16.61,14.52
2017-06-17 22:30:00,17.04,16.59,14.52
2017-06-17 23:00:00,17.04,16.6,14.53
2017-06-17 23:30:00,17.01,16.59,14.52
2017-06-18 00:00:00,16.97,16.59,14.53
2017-06-18 00:30:00,16.95,16.59,14.53
2017-06-18 01:00:00,16.91,16.57,14.53
2017-06-18 01:30:00,16.89,16.55,14.53
2017-06-18 02:00:00,16.81,16.55,14.52
2017-06-18 02:30:00,16.77,16.51,14.52
2017-06-18 03:00:00,16.71,16.5,14.51
2017-06-18 03:30:00,16.69,16.48,14.52
2017-06-18 04:00:00,16.67,16.45,14.52
2017-06-18 04:30:00,16.6,16.42,14.51
2017-06-18 05:00:00,16.58,16.42,14.51
2017-06-18 05:30:00,16.53,16.4,14.51
2017-06-18 06:00:00,16.52,16.37,14.5
2017-06-18 06:30:00,16.44,16.35,14.5
2017-06-18 07:00:00,16.42,16.31,14.5
2017-06-18 07:30:00,16.37,16.28,14.49
2017-06-18 08:00:00,16.34,16.26,14.49
2017-06-18 08:30:00,16.33,16.24,14.5
2017-06-18 09:00:00,16.28,16.22,14.49
2017-06-18 09:30:00,16.26,16.22,14.49
2017-06-18 10:00:00,16.24,16.16,14.48
2017-06-18 10:30:00,16.22,16.15,14.49
2017-06-18 11:00:00,16.2,16.16,14.49
2017-06-18 11:30:00,16.19,16.12,14.49
2017-06-18 12:00:00,16.16,16.09,14.57
2017-06-18 12:30:00,16.15,16.12,14.68
2017-06-18 13:00:00,16.2,16.09,14.67
2017-06-18 13:30:00,16.18,16.07,14.64
2017-06-18 14:00:00,16.18,16.06,14.68
2017-06-18 14:30:00,16.15,16.05,14.67
2017-06-18 15:00:00,16.16,16.05,14.68
2017-06-18 15:30:00,16.13,16.02,14.66
2017-06-18 16:00:00,16.12,16.02,14.65
2017-06-18 16:30:00,16.15,16.14,14.66
2017-06-18 17:00:00,16.24,16.23,14.68
2017-06-18 17:30:00,16.29,16.2,14.67
2017-06-18 18:00:00,16.39,16.22,14.67
2017-06-18 18:30:00,16.35,16.21,14.69
2017-06-18 19:00:00,16.36,16.2,14.68
2017-06-18 19:30:00,16.37,16.21,14.69
2017-06-18 20:00:00,16.41,16.23,14.69
2017-06-18 20:30:00,16.28,16.22,14.71
2017-06-18 21:00:00,16.25,16.07,14.71
2017-06-18 21:30:00,16.26,16.06,14.72
2017-06-18 22:00:00,16.28,16.07,14.74
2017-06-18 22:30:00,16.28,16.07,14.67
2017-06-18 23:00:00,16.27,16.07,14.56
2017-06-18 23:30:00,16.25,16.07,14.56
2017-06-19 00:00:00,16.25,16.06,14.56
2017-06-19 00:30:00,16.22,16.05,14.57
2017-06-19 01:00:00,16.2,16.05,14.57
2017-06-19 01:30:00,16.15,16.02,14.55
2017-06-19 02:00:00,16.1,15.98,14.54
2017-06-19 02:30:00,16.1,15.97,14.54
2017-06-19 03:00:00,16.01,15.98,14.55
2017-06-19 03:30:00,16,15.96,14.54
2017-06-19 04:00:00,15.93,15.92,14.53
2017-06-19 04:30:00,15.89,15.9,14.53
2017-06-19 05:00:00,15.85,15.87,14.52
2017-06-19 05:30:00,15.79,15.84,14.53
2017-06-19 06:00:00,15.74,15.8,14.51
2017-06-19 06:30:00,15.7,15.77,14.49
2017-06-19 07:00:00,15.64,15.74,14.48
2017-06-19 07:30:00,15.61,15.7,14.47
2017-06-19 08:00:00,15.58,15.69,14.58
2017-06-19 08:30:00,15.58,15.69,14.63
2017-06-19 09:00:00,15.66,15.79,14.62
2017-06-19 09:30:00,15.67,15.78,14.63
2017-06-19 10:00:00,15.68,15.78,14.64
2017-06-19 10:30:00,15.67,15.76,14.64
2017-06-19 11:00:00,15.64,15.73,14.61
2017-06-19 11:30:00,15.69,15.73,14.65
2017-06-19 12:00:00,15.77,15.76,14.67
2017-06-19 12:30:00,15.8,15.76,14.66
2017-06-19 13:00:00,15.7,15.65,14.52
2017-06-19 13:30:00,15.78,15.68,14.54
2017-06-19 14:00:00,15.88,15.72,14.59
2017-06-19 14:30:00,16.02,15.81,14.64
2017-06-19 15:00:00,16.07,15.81,14.62
2017-06-19 15:30:00,16.17,15.83,14.59
2017-06-19 16:00:00,16.23,15.85,14.58
2017-06-19 16:30:00,16.36,15.91,14.6
2017-06-19 17:00:00,16.47,15.96,14.61
2017-06-19 17:30:00,16.53,15.99,14.59
2017-06-19 18:00:00,16.67,16.08,14.63
2017-06-19 18:30:00,16.78,16.14,14.65
2017-06-19 19:00:00,16.89,16.21,14.68
2017-06-19 19:30:00,16.98,16.28,14.7
2017-06-19 20:00:00,17.05,16.33,14.69
2017-06-19 20:30:00,17.13,16.4,14.73
2017-06-19 21:00:00,17.2,16.45,14.75
2017-06-19 21:30:00,17.2,16.49,14.74
2017-06-19 22:00:00,17.06,16.46,14.74
2017-06-19 22:30:00,17.08,16.37,14.75
2017-06-19 23:00:00,17.07,16.4,14.73
2017-06-19 23:30:00,17.03,16.4,14.54
2017-06-20 00:00:00,16.99,16.39,14.53
2017-06-20 00:30:00,16.97,16.43,14.59
2017-06-20 01:00:00,16.93,16.41,14.55
2017-06-20 01:30:00,16.91,16.4,14.53
2017-06-20 02:00:00,16.89,16.43,14.6
2017-06-20 02:30:00,16.85,16.4,14.67
2017-06-20 03:00:00,16.82,16.4,14.7
2017-06-20 03:30:00,16.83,16.41,14.71
2017-06-20 04:00:00,16.78,16.39,14.7
2017-06-20 04:30:00,16.7,16.36,14.7
2017-06-20 05:00:00,16.68,16.36,14.69
2017-06-20 05:30:00,16.65,16.36,14.68
2017-06-20 06:00:00,16.61,16.32,14.67
2017-06-20 06:30:00,16.56,16.33,14.66
2017-06-20 07:00:00,16.62,16.44,14.62
2017-06-20 07:30:00,16.66,16.44,14.63
2017-06-20 08:00:00,16.68,16.44,14.64
2017-06-20 08:30:00,16.62,16.42,14.63
2017-06-20 09:00:00,16.61,16.41,14.63
2017-06-20 09:30:00,16.61,16.43,14.64
2017-06-20 10:00:00,16.6,16.37,14.6
2017-06-20 10:30:00,16.6,16.37,14.59
2017-06-20 11:00:00,16.62,16.38,14.6
2017-06-20 11:30:00,16.62,16.37,14.59
2017-06-20 12:00:00,16.59,16.31,14.53
2017-06-20 12:30:00,16.64,16.33,14.53
