Timestamp,Water.Table.Height...1.00m.
2017-06-15 00:00:00,210.94
2017-06-15 00:30:00,210.09
2017-06-15 01:00:00,210.1
2017-06-15 01:30:00,212.57
2017-06-15 02:00:00,212.18
2017-06-15 02:30:00,210.81
2017-06-15 03:00:00,210.56
2017-06-15 03:30:00,211.58
2017-06-15 04:00:00,210.93
2017-06-15 04:30:00,211.45
2017-06-15 05:00:00,214
2017-06-15 05:30:00,214.95
2017-06-15 06:00:00,212.75
2017-06-15 06:30:00,211.4
2017-06-15 07:00:00,209.04
2017-06-15 07:30:00,211.46
2017-06-15 08:00:00,208.37
2017-06-15 08:30:00,209.28
2017-06-15 09:00:00,208.29
2017-06-15 09:30:00,212.6
2017-06-15 10:00:00,212.43
2017-06-15 10:30:00,212.01
2017-06-15 11:00:00,214
2017-06-15 11:30:00,212.16
2017-06-15 12:00:00,213.16
2017-06-15 12:30:00,216.11
2017-06-15 13:00:00,211.72
2017-06-15 13:30:00,215.1
2017-06-15 14:00:00,215.82
2017-06-15 14:30:00,211.4
2017-06-15 15:00:00,215.46
2017-06-15 15:30:00,215.18
2017-06-15 16:00:00,220.02
2017-06-15 16:30:00,218.13
2017-06-15 17:00:00,217.58
2017-06-15 17:30:00,218.73
2017-06-15 18:00:00,222.19
2017-06-15 18:30:00,220.91
2017-06-15 19:00:00,219.42
2017-06-15 19:30:00,220.4
2017-06-15 20:00:00,220.37
2017-06-15 20:30:00,220.68
2017-06-15 21:00:00,220.5
2017-06-15 21:30:00,220.65
2017-06-15 22:00:00,220.62
2017-06-15 22:30:00,220.55
2017-06-15 23:00:00,220.63
2017-06-15 23:30:00,220.55
2017-06-16 00:00:00,224.66
2017-06-16 00:30:00,230.67
2017-06-16 01:00:00,224
2017-06-16 01:30:00,217.35
2017-06-16 02:00:00,221.18
2017-06-16 02:30:00,217.13
2017-06-16 03:00:00,221.81
2017-06-16 03:30:00,224.39
2017-06-16 04:00:00,220.98
2017-06-16 04:30:00,216.28
2017-06-16 05:00:00,207.05
2017-06-16 05:30:00,202.74
2017-06-16 06:00:00,218.12
2017-06-16 06:30:00,212.44
2017-06-16 07:00:00,214.67
2017-06-16 07:30:00,210.72
2017-06-16 08:00:00,213.91
2017-06-16 08:30:00,210.36
2017-06-16 09:00:00,205.2
2017-06-16 09:30:00,212.31
2017-06-16 10:00:00,205.62
2017-06-16 10:30:00,209.9
2017-06-16 11:00:00,215.22
2017-06-16 11:30:00,213.17
2017-06-16 12:00:00,215.51
2017-06-16 12:30:00,211.64
2017-06-16 13:00:00,213.71
2017-06-16 13:30:00,212.86
2017-06-16 14:00:00,214.51
2017-06-16 14:30:00,217.46
2017-06-16 15:00:00,218.22
2017-06-16 15:30:00,216.03
2017-06-16 16:00:00,211.44
2017-06-16 16:30:00,216.12
2017-06-16 17:00:00,216.13
2017-06-16 17:30:00,223.3
2017-06-16 18:00:00,223.7
2017-06-16 18:30:00,223.4
2017-06-16 19:00:00,235.56
2017-06-16 19:30:00,225.89
2017-06-16 20:00:00,227.93
2017-06-16 20:30:00,230.44
2017-06-16 21:00:00,223.44
2017-06-16 21:30:00,219.51
2017-06-16 22:00:00,223
2017-06-16 22:30:00,218.33
2017-06-16 23:00:00,215.65
2017-06-16 23:30:00,218.93
2017-06-17 00:00:00,219.81
2017-06-17 00:30:00,217.54
2017-06-17 01:00:00,218.12
2017-06-17 01:30:00,217.02
2017-06-17 02:00:00,218.39
2017-06-17 02:30:00,216.86
2017-06-17 03:00:00,217.43
2017-06-17 03:30:00,215.47
2017-06-17 04:00:00,215.35
2017-06-17 04:30:00,213.09
2017-06-17 05:00:00,211.82
2017-06-17 05:30:00,212.09
2017-06-17 06:00:00,213.1
2017-06-17 06:30:00,210.6
2017-06-17 07:00:00,206.35
2017-06-17 07:30:00,208.13
2017-06-17 08:00:00,207.47
2017-06-17 08:30:00,209.99
2017-06-17 09:00:00,210.17
2017-06-17 09:30:00,206.23
2017-06-17 10:00:00,203.39
2017-06-17 10:30:00,211.43
2017-06-17 11:00:00,210.94
2017-06-17 11:30:00,210.43
2017-06-17 12:00:00,215.24
2017-06-17 12:30:00,211.71
2017-06-17 13:00:00,223.89
2017-06-17 13:30:00,214.38
2017-06-17 14:00:00,219
2017-06-17 14:30:00,198.81
2017-06-17 15:00:00,225.16
2017-06-17 15:30:00,217.25
2017-06-17 16:00:00,222.52
2017-06-17 16:30:00,220.63
2017-06-17 17:00:00,224.73
2017-06-17 17:30:00,222.33
2017-06-17 18:00:00,216.69
2017-06-17 18:30:00,217.48
2017-06-17 19:00:00,221.57
2017-06-17 19:30:00,216.06
2017-06-17 20:00:00,216.12
2017-06-17 20:30:00,216.26
2017-06-17 21:00:00,216.38
2017-06-17 21:30:00,216.25
2017-06-17 22:00:00,215.42
2017-06-17 22:30:00,215.87
2017-06-17 23:00:00,214.89
2017-06-17 23:30:00,216.54
2017-06-18 00:00:00,216.72
2017-06-18 00:30:00,216.38
2017-06-18 01:00:00,216.01
2017-06-18 01:30:00,214.11
2017-06-18 02:00:00,213.73
2017-06-18 02:30:00,214.56
2017-06-18 03:00:00,216.72
2017-06-18 03:30:00,217.38
2017-06-18 04:00:00,215.13
2017-06-18 04:30:00,216.02
2017-06-18 05:00:00,215.94
2017-06-18 05:30:00,215.46
2017-06-18 06:00:00,214.81
2017-06-18 06:30:00,213.37
2017-06-18 07:00:00,211.71
