Timestamp,Water.Temperature...0.10m.,Water.Temperature...0.30m.
2017-06-15 00:00:00,16.99,15.9
2017-06-15 00:30:00,16.97,15.89
2017-06-15 01:00:00,16.93,15.88
2017-06-15 01:30:00,16.89,15.88
2017-06-15 02:00:00,16.85,15.89
2017-06-15 02:30:00,16.8,15.88
2017-06-15 03:00:00,16.76,15.88
2017-06-15 03:30:00,16.7,15.89
2017-06-15 04:00:00,16.64,15.89
2017-06-15 04:30:00,16.59,15.88
2017-06-15 05:00:00,16.53,15.88
2017-06-15 05:30:00,16.48,15.89
2017-06-15 06:00:00,16.43,15.9
2017-06-15 06:30:00,16.36,15.89
2017-06-15 07:00:00,16.28,15.88
2017-06-15 07:30:00,16.22,15.88
2017-06-15 08:00:00,16.14,15.87
2017-06-15 08:30:00,16.08,15.87
2017-06-15 09:00:00,16.02,15.86
2017-06-15 09:30:00,15.99,15.86
2017-06-15 10:00:00,15.94,15.86
2017-06-15 10:30:00,15.92,15.88
2017-06-15 11:00:00,15.88,15.88
2017-06-15 11:30:00,15.83,15.88
2017-06-15 12:00:00,15.81,15.87
2017-06-15 12:30:00,15.79,15.86
2017-06-15 13:00:00,15.75,15.86
2017-06-15 13:30:00,15.73,15.85
2017-06-15 14:00:00,15.7,15.84
2017-06-15 14:30:00,15.68,15.84
2017-06-15 15:00:00,15.66,15.84
2017-06-15 15:30:00,15.64,15.82
2017-06-15 16:00:00,15.64,15.82
2017-06-15 16:30:00,15.62,15.82
2017-06-15 17:00:00,15.61,15.82
2017-06-15 17:30:00,15.6,15.81
2017-06-15 18:00:00,15.61,15.79
2017-06-15 18:30:00,15.6,15.8
2017-06-15 19:00:00,15.59,15.79
2017-06-15 19:30:00,15.6,15.79
2017-06-15 20:00:00,15.59,15.77
2017-06-15 20:30:00,15.58,15.77
2017-06-15 21:00:00,15.57,15.77
2017-06-15 21:30:00,15.57,15.75
2017-06-15 22:00:00,15.56,15.75
2017-06-15 22:30:00,15.54,15.75
2017-06-15 23:00:00,15.54,15.73
2017-06-15 23:30:00,15.52,15.74
2017-06-16 00:00:00,15.52,15.73
2017-06-16 00:30:00,15.52,15.76
2017-06-16 01:00:00,15.49,15.75
2017-06-16 01:30:00,15.46,15.72
2017-06-16 02:00:00,15.44,15.71
2017-06-16 02:30:00,15.41,15.71
2017-06-16 03:00:00,15.38,15.71
2017-06-16 03:30:00,15.34,15.7
2017-06-16 04:00:00,15.3,15.7
2017-06-16 04:30:00,15.24,15.69
2017-06-16 05:00:00,15.15,15.64
2017-06-16 05:30:00,15.03,15.56
2017-06-16 06:00:00,15,15.59
2017-06-16 06:30:00,15,15.62
2017-06-16 07:00:00,14.98,15.62
2017-06-16 07:30:00,14.97,15.63
