time_stamp,air_temperature_main,relative_humidity_main,precipitation_main,soil_temperature_10cm,soil_temperature_20cm,global_radiation_main,wind_speed_main
6/15/2017 12:30:00 AM,12.54,75.60,0.00,17.82,17.75,12.42,0.46
6/15/2017 1:00:00 AM,12.26,78.00,0.00,17.75,17.73,12.43,0.09
6/15/2017 1:30:00 AM,12.24,78.10,0.00,17.69,17.71,12.42,0.12
6/15/2017 2:00:00 AM,12.20,79.40,0.00,17.62,17.68,12.40,0.05
6/15/2017 2:30:00 AM,11.87,81.90,0.00,17.57,17.66,12.43,0.02
6/15/2017 3:00:00 AM,11.87,81.30,0.00,17.51,17.63,12.42,0.45
6/15/2017 3:30:00 AM,11.95,80.50,0.00,17.46,17.60,12.42,0.57
6/15/2017 4:00:00 AM,12.06,80.00,0.00,17.40,17.57,12.50,0.74
6/15/2017 4:30:00 AM,12.19,79.50,0.00,17.34,17.54,13.43,1.43
6/15/2017 5:00:00 AM,12.19,80.70,0.00,17.29,17.51,18.63,1.86
6/15/2017 5:30:00 AM,11.77,85.70,0.20,17.24,17.48,27.18,1.40
6/15/2017 6:00:00 AM,11.37,90.30,0.20,17.18,17.45,35.46,1.85
6/15/2017 6:30:00 AM,11.31,93.20,0.00,17.13,17.41,45.38,1.00
6/15/2017 7:00:00 AM,11.38,94.80,0.20,17.08,17.38,65.72,1.96
6/15/2017 7:30:00 AM,11.51,95.60,0.40,17.03,17.35,77.30,2.23
6/15/2017 8:00:00 AM,11.85,95.50,0.20,16.99,17.31,94.00,2.20
6/15/2017 8:30:00 AM,11.94,94.50,0.20,16.95,17.28,71.90,2.39
6/15/2017 9:00:00 AM,12.52,92.00,0.00,16.91,17.25,144.60,2.59
6/15/2017 9:30:00 AM,12.92,87.90,0.00,16.90,17.22,88.80,2.20
6/15/2017 10:00:00 AM,13.04,85.70,0.00,16.89,17.20,78.70,2.30
6/15/2017 10:30:00 AM,13.26,85.00,0.00,16.89,17.17,73.90,2.10
6/15/2017 11:00:00 AM,12.96,88.20,0.60,16.89,17.15,67.75,1.75
6/15/2017 11:30:00 AM,12.78,92.30,0.20,16.88,17.13,97.90,2.12
6/15/2017 12:00:00 PM,12.66,94.10,0.80,16.87,17.11,98.90,1.98
6/15/2017 12:30:00 PM,12.51,95.80,1.00,16.87,17.10,98.70,2.38
6/15/2017 1:00:00 PM,12.87,96.90,0.20,16.85,17.08,154.40,2.71
6/15/2017 1:30:00 PM,13.04,97.00,0.60,16.85,17.06,115.80,2.22
6/15/2017 2:00:00 PM,12.85,98.00,1.00,16.85,17.05,91.90,2.44
6/15/2017 2:30:00 PM,13.08,99.00,0.60,16.85,17.03,129.00,2.54
6/15/2017 3:00:00 PM,13.21,99.80,0.80,16.85,17.02,82.10,1.74
6/15/2017 3:30:00 PM,13.24,101.00,1.80,16.86,17.01,49.27,1.91
6/15/2017 4:00:00 PM,13.40,101.10,1.80,16.87,17.00,57.86,2.06
6/15/2017 4:30:00 PM,13.57,101.00,0.20,16.86,16.99,51.26,2.11
6/15/2017 5:00:00 PM,13.73,101.00,0.80,16.85,16.98,65.71,2.07
6/15/2017 5:30:00 PM,13.80,101.00,0.20,16.84,16.97,49.98,1.98
6/15/2017 6:00:00 PM,13.91,101.00,0.00,16.83,16.96,39.27,2.01
6/15/2017 6:30:00 PM,14.00,101.00,0.00,16.82,16.96,31.80,2.07
6/15/2017 7:00:00 PM,14.01,101.00,0.00,16.82,16.95,23.42,1.75
6/15/2017 7:30:00 PM,14.05,101.00,0.00,16.81,16.94,26.26,1.32
6/15/2017 8:00:00 PM,14.02,101.00,0.00,16.80,16.93,18.74,0.75
6/15/2017 8:30:00 PM,13.97,101.00,0.00,16.79,16.92,13.76,0.74
6/15/2017 9:00:00 PM,13.90,101.00,0.00,16.78,16.91,12.57,0.39
6/15/2017 9:30:00 PM,13.79,101.00,0.00,16.77,16.91,12.43,0.11
6/15/2017 10:00:00 PM,13.70,101.00,0.00,16.76,16.90,12.44,0.17
6/15/2017 10:30:00 PM,13.69,100.30,0.00,16.74,16.89,12.55,0.17
6/15/2017 11:00:00 PM,13.67,99.70,0.00,16.72,16.88,12.56,0.18
6/15/2017 11:30:00 PM,13.53,99.80,0.00,16.71,16.87,12.51,0.09
