"Timestamp","AIR_TEMP_2M","AIR_TEMP_38CM","ORP_10CM","ORP_30CM","INCOMING_PAR","REFLECTED_PAR","PRECIP","SHORTWAVE_IN","SHORTWAVE_OUT","LONGWAVE_IN","LONGWAVE_OUT","RH_2M","RH_38CM","SHFP_1","SHFP_2","SHFP_3","SVWC","SOIL_TEMP_5CM","SOIL_TEMP_10CM","SOIL_TEMP_50CM","WTH","WATER_TEMP_10CM","WATER_TEMP_30CM","WIND_VELOCITY_CUP","WIND_VELOCITY_EC2"
2017-06-15 00:00:00,13.34,12.15,-285.6,-209.17,0.12,0.05,0,0,1.08,348.73,375.88,76.03,82.68,-12.78,-11.24,-7.98,72.26,16.67,16.33,14.54,210.94,16.99,15.9,0.27,0.93
2017-06-15 00:30:00,13.15,12.27,-285.46,-209.18,0.1,0.07,0,0.01,1,351.77,375.86,74.38,79.05,-13.46,-11.9,-8.25,72.27,16.6,16.31,14.53,210.09,16.97,15.89,0.91,1.39
2017-06-15 01:00:00,13.16,12.45,-285.41,-211.59,0.15,0.07,0,0,0.65,356.21,376.59,74.75,78.5,-14.12,-12.24,-8.58,72.28,16.58,16.3,14.52,210.1,16.93,15.88,0.42,1.09
2017-06-15 01:30:00,13.13,12.13,-285.28,-208.68,0.08,0.09,0,0,0.81,349.3,374.83,76.16,80.61,-14.39,-12.25,-8.74,72.29,16.54,16.31,14.52,212.57,16.89,15.88,0.35,0.9
2017-06-15 02:00:00,12.93,11.88,-285.18,-207.66,0.11,0.04,0,0,1.11,346.54,373.65,76.68,82.27,-14.68,-12.39,-8.82,72.29,16.52,16.3,14.53,212.18,16.85,15.89,0.05,0.94
2017-06-15 02:30:00,12.76,11.94,-285.13,-207.17,0.15,0.08,0,0,0.88,347.65,373.54,76.9,80.61,-15.16,-12.73,-8.98,72.31,16.5,16.29,14.53,210.81,16.8,15.88,1.35,1.57
2017-06-15 03:00:00,12.77,11.99,-284.68,-207.85,0.1,0.08,0,0,0.91,351.04,373.67,76.94,79.99,-15.6,-13.07,-9.37,72.31,16.44,16.27,14.52,210.56,16.76,15.88,1.61,1.71
2017-06-15 03:30:00,12.69,12.01,-285.91,-208.59,0.1,0.06,0,0,1.15,353.05,373.43,77.88,80.66,-15.95,-13.17,-9.68,72.33,16.42,16.25,14.52,211.58,16.7,15.89,2.24,2.14
2017-06-15 04:00:00,12.59,11.91,-285.06,-205.61,0.54,0.08,0,0.02,0.86,351.95,373.13,78.54,81.3,-16.14,-13.12,-10.01,72.32,16.38,16.24,14.52,210.93,16.64,15.89,2.16,2.17
2017-06-15 04:30:00,12.78,11.95,-284.57,-207.17,3.53,0.11,0,0.51,1.43,357.79,373.26,78.41,81.01,-16.23,-13.05,-10.22,72.33,16.3,16.22,14.52,211.45,16.59,15.88,2.43,2.27
2017-06-15 05:00:00,12.33,11.66,-284.55,-208.12,13.24,0.52,0,5.17,3.68,362.43,372.45,81.62,85.57,-16.3,-12.87,-10.27,72.36,16.27,16.19,14.51,214,16.53,15.88,2.1,2.1
2017-06-15 05:30:00,12.06,11.21,-284.01,-214.37,29.67,1.66,0.4,14.57,5.5,365.56,371.01,85.76,91.48,-16.07,-12.51,-10.11,72.36,16.26,16.16,14.51,214.95,16.48,15.89,2.18,2.03
2017-06-15 06:00:00,11.61,10.91,-285.37,-223.82,62.05,2.96,0.3,32.32,6.23,365.42,370.75,89.38,96.06,-15.64,-12.02,-9.91,72.4,16.22,16.14,14.53,212.75,16.43,15.9,2.43,2.39
2017-06-15 06:30:00,11.48,10.94,-285.97,-222.07,96.58,4.59,0.2,50.63,7.38,365.54,371.42,90.04,97.48,-15.01,-11.29,-9.47,72.43,16.18,16.12,14.53,211.4,16.36,15.89,3.51,3.28
2017-06-15 07:00:00,11.73,11.14,-286.38,-221.85,167.79,7.81,0.3,88.05,11.06,366.72,373.59,90.91,98.53,-14.08,-10.4,-8.94,72.45,16.13,16.07,14.51,209.04,16.28,15.88,3.81,3.38
2017-06-15 07:30:00,11.91,11.21,-286.96,-223.36,160.32,7.47,0.2,82.8,10.01,366.1,374.37,91.01,98.49,-12.86,-9.31,-8.11,72.48,16.09,16.06,14.5,211.46,16.22,15.88,3.52,3.18
2017-06-15 08:00:00,12.41,11.7,-287.33,-225.25,247.93,10.59,0.3,131.02,15,366.07,374.17,91.32,98.94,-11.15,-7.96,-7.09,72.51,16.04,16.02,14.49,208.37,16.14,15.87,4.11,3.55
2017-06-15 08:30:00,12.68,12.12,-288.15,-224.38,222.1,9.74,0.1,115.87,12.72,366.97,372.49,90.94,98.97,-9.06,-6.27,-5.54,72.54,16,16,14.49,209.28,16.08,15.87,3.9,3.42
2017-06-15 09:00:00,12.97,12.48,-287.48,-217.71,235.15,10.29,0.1,120.55,13.21,366.16,374.4,89.56,97.78,-6.67,-4.33,-4.34,72.56,15.98,15.98,14.49,208.29,16.02,15.86,3.6,3.15
2017-06-15 09:30:00,13.08,12.58,-285.98,-214.42,180.38,8.29,0,88.77,8.74,366.94,375.52,89.07,95.86,-4.79,-2.78,-3.46,72.57,15.94,15.95,14.48,212.6,15.99,15.86,3.52,3.03
2017-06-15 10:00:00,13.15,12.76,-285.57,-214.62,173.04,8.06,0.1,83.99,8.67,373.08,376.78,91.29,97.63,-3.3,-1.46,-3.34,72.57,15.92,15.94,14.49,212.43,15.94,15.86,3.05,2.72
2017-06-15 10:30:00,13.36,12.79,-285.62,-219.2,195.15,8.8,0.1,94.93,9.36,374.06,377.88,91.22,97.88,-2.67,-0.91,-3.16,72.59,15.9,15.91,14.5,212.01,15.92,15.88,3.76,3.32
2017-06-15 11:00:00,13.29,12.78,-287.52,-218.4,151.96,7.06,0.5,70.82,6.32,372.73,379.4,91.35,98.22,-2.09,-0.53,-3.02,72.61,15.92,15.92,14.51,214,15.88,15.88,3.67,3.23
