time_stamp,air_temperature_main,relative_humidity_main,precipitation_main,soil_temperature_10cm,soil_temperature_20cm,global_radiation_main,wind_speed_main
6/1/2017 12:30:00 AM,13.67,101,0,18.38,18.04,12.39,0.11
6/1/2017 1:00:00 AM,13.7,101,0,18.31,18.01,12.38,0.02
6/1/2017 1:30:00 AM,13.56,101.1,0,18.24,17.99,12.37,0.05
6/1/2017 2:00:00 AM,13.55,101,0,18.18,17.96,12.41,0.05
6/1/2017 2:30:00 AM,13.69,101,0,18.12,17.93,12.4,0
6/1/2017 3:00:00 AM,13.64,101,0,18.06,17.91,12.43,0.07
6/1/2017 3:30:00 AM,13.32,101.1,0.2,18,17.88,12.49,0.33
6/1/2017 4:00:00 AM,12.89,101.2,0,17.95,17.85,12.61,0.42
6/1/2017 4:30:00 AM,12.52,101.2,0,17.89,17.83,14.55,0.36
6/1/2017 5:00:00 AM,12.46,101.3,0,17.82,17.79,23.12,0.37
6/1/2017 5:30:00 AM,12.71,101.2,0,17.75,17.76,34.39,0.61
6/1/2017 6:00:00 AM,12.88,101.2,0,17.68,17.72,42.09,0.44
6/1/2017 6:30:00 AM,13.04,101,0,17.62,17.69,66.11,0.18
6/1/2017 7:00:00 AM,13.34,99.8,0,17.56,17.65,74.4,0.09
6/1/2017 7:30:00 AM,13.61,99,0,17.51,17.61,63.15,0.29
6/1/2017 8:00:00 AM,13.71,98.6,0,17.49,17.58,60.03,0.05
6/1/2017 8:30:00 AM,14.14,98.6,0,17.46,17.54,158.3,0.02
6/1/2017 9:00:00 AM,14.69,95,0,17.43,17.49,170.4,0
6/1/2017 9:30:00 AM,15.18,90.8,0,17.41,17.45,193.7,0
6/1/2017 10:00:00 AM,14.44,91.5,0,17.45,17.43,111.1,0
6/1/2017 10:30:00 AM,14.02,93.6,0.4,17.53,17.43,114.2,0
6/1/2017 11:00:00 AM,14.2,90.5,0.2,17.59,17.42,144.6,0
6/1/2017 11:30:00 AM,14.53,87.5,0,17.63,17.41,143.2,0
6/1/2017 12:00:00 PM,14.88,89.2,0.4,17.67,17.4,364.3,0.01
6/1/2017 12:30:00 PM,16.33,86.1,0,17.66,17.34,399.5,0.03
6/1/2017 1:00:00 PM,16.96,82.5,0,17.68,17.3,412.3,0.12
6/1/2017 1:30:00 PM,16.36,83.2,0,17.82,17.33,261,0.01
6/1/2017 2:00:00 PM,16.22,83.2,0,18,17.37,244.3,0.2
6/1/2017 2:30:00 PM,16.29,81.7,0,18.17,17.39,254.1,0.56
6/1/2017 3:00:00 PM,16.59,81.4,0,18.32,17.43,221.7,0.4
6/1/2017 3:30:00 PM,16.67,79,0,18.46,17.48,255.8,0.27
6/1/2017 4:00:00 PM,17.02,75.5,0,18.57,17.53,238.2,0.23
6/1/2017 4:30:00 PM,17.32,68.1,0,18.66,17.57,262.1,0.33
6/1/2017 5:00:00 PM,17.42,67.38,0,18.75,17.62,310.1,0.25
6/1/2017 5:30:00 PM,16.92,68.83,0,18.85,17.69,127.8,0.35
6/1/2017 6:00:00 PM,16.47,69.98,0,18.97,17.77,128,0.15
6/1/2017 6:30:00 PM,16.11,72.9,0,19.06,17.85,62.88,0
6/1/2017 7:00:00 PM,15.53,72.9,0,19.12,17.92,55.51,0
6/1/2017 7:30:00 PM,14.9,77.1,0,19.16,17.99,18.89,0
6/1/2017 8:00:00 PM,13.94,83.8,0,19.17,18.05,16.87,0
6/1/2017 8:30:00 PM,13.37,89.9,0.2,19.14,18.1,13.04,0.01
6/1/2017 9:00:00 PM,13.14,88.5,0,19.09,18.12,12.46,0
6/1/2017 9:30:00 PM,13.09,89,0,19.03,18.15,12.42,0
6/1/2017 10:00:00 PM,13.25,85.2,0,18.95,18.16,12.39,0
6/1/2017 10:30:00 PM,13.12,87.7,0.2,18.87,18.16,12.41,0
6/1/2017 11:00:00 PM,12.61,91.9,0,18.8,18.16,12.31,0
6/1/2017 11:30:00 PM,12.55,93,0,18.71,18.15,12.23,0
6/2/2017,12.48,93.7,0,18.63,18.13,12.34,0
6/2/2017 12:30:00 AM,12.52,94.8,0,18.54,18.11,12.35,0
6/2/2017 1:00:00 AM,12.49,94.6,0,18.46,18.09,12.35,0.21
6/2/2017 1:30:00 AM,12.41,94.6,0.2,18.38,18.07,12.28,0.1
6/2/2017 2:00:00 AM,12.39,95.6,0,18.31,18.04,12.25,0.14
6/2/2017 2:30:00 AM,12.26,97,0.2,18.23,18.01,12.22,0.28
6/2/2017 3:00:00 AM,12.02,98.9,0,18.16,17.98,12.24,0.08
6/2/2017 3:30:00 AM,11.83,99.8,0,18.08,17.95,12.35,0.7
6/2/2017 4:00:00 AM,11.81,100.3,0,18.01,17.92,12.46,1.18
6/2/2017 4:30:00 AM,11.81,100.1,0,17.94,17.88,15.57,1.4
6/2/2017 5:00:00 AM,11.96,99.3,0,17.86,17.85,22.59,1.24
