Timestamp,Year,Month,Day,Time,AIR_TEMP_2M,RH_2M,WIND_VELOCITY_CUP
2017-06-01T00:00:00Z,2017,06,01,00:00:00,13.4,96,1.1111111111111112
2017-06-01T01:00:00Z,2017,06,01,01:00:00,13.3,95,1.9444444444444444
2017-06-01T02:00:00Z,2017,06,01,02:00:00,13.6,96,2.7777777777777777
2017-06-01T03:00:00Z,2017,06,01,03:00:00,13.3,95,4.444444444444445
2017-06-01T04:00:00Z,2017,06,01,04:00:00,12.6,96,3.611111111111111
2017-06-01T05:00:00Z,2017,06,01,05:00:00,12.9,96,3.611111111111111
2017-06-01T06:00:00Z,2017,06,01,06:00:00,13.2,93,3.3333333333333335
2017-06-01T07:00:00Z,2017,06,01,07:00:00,13.7,91,2.5
2017-06-01T08:00:00Z,2017,06,01,08:00:00,14.2,87,1.9444444444444444
2017-06-01T09:00:00Z,2017,06,01,09:00:00,15,83,1.9444444444444444
2017-06-01T10:00:00Z,2017,06,01,10:00:00,14.2,84,2.5
2017-06-01T11:00:00Z,2017,06,01,11:00:00,14.8,81,1.6666666666666667
2017-06-01T12:00:00Z,2017,06,01,12:00:00,16.7,78,1.1111111111111112
2017-06-01T13:00:00Z,2017,06,01,13:00:00,17.5,69,3.0555555555555554
2017-06-01T14:00:00Z,2017,06,01,14:00:00,17.1,69,4.722222222222222
2017-06-01T15:00:00Z,2017,06,01,15:00:00,17.3,65,1.3888888888888888
2017-06-01T16:00:00Z,2017,06,01,16:00:00,17.6,59,3.888888888888889
2017-06-01T17:00:00Z,2017,06,01,17:00:00,17.2,63,3.611111111111111
2017-06-01T18:00:00Z,2017,06,01,18:00:00,16.6,61,4.444444444444445
2017-06-01T19:00:00Z,2017,06,01,19:00:00,15.3,70,3.888888888888889
2017-06-01T20:00:00Z,2017,06,01,20:00:00,13.8,79,2.5
2017-06-01T21:00:00Z,2017,06,01,21:00:00,14.1,76,2.2222222222222223
2017-06-01T22:00:00Z,2017,06,01,22:00:00,14.1,75,1.3888888888888888
2017-06-01T23:00:00Z,2017,06,01,23:00:00,13.9,76,1.9444444444444444
2017-06-02T00:00:00Z,2017,06,02,00:00:00,13.3,85,2.7777777777777777
2017-06-02T01:00:00Z,2017,06,02,01:00:00,13.3,87,2.5
2017-06-02T02:00:00Z,2017,06,02,02:00:00,12.9,88,3.611111111111111
2017-06-02T03:00:00Z,2017,06,02,03:00:00,12.8,89,2.5
2017-06-02T04:00:00Z,2017,06,02,04:00:00,12.6,90,6.388888888888889
2017-06-02T05:00:00Z,2017,06,02,05:00:00,12.2,92,4.166666666666667
2017-06-02T06:00:00Z,2017,06,02,06:00:00,12.9,87,4.166666666666667
2017-06-02T07:00:00Z,2017,06,02,07:00:00,13.3,82,3.3333333333333335
2017-06-02T08:00:00Z,2017,06,02,08:00:00,13.7,86,2.7777777777777777
2017-06-02T09:00:00Z,2017,06,02,09:00:00,14.3,80,4.722222222222222
2017-06-02T10:00:00Z,2017,06,02,10:00:00,15.5,76,2.2222222222222223
2017-06-02T11:00:00Z,2017,06,02,11:00:00,16.3,73,3.611111111111111
2017-06-02T12:00:00Z,2017,06,02,12:00:00,16.2,72,4.722222222222222
2017-06-02T13:00:00Z,2017,06,02,13:00:00,17.3,67,1.9444444444444444
2017-06-02T14:00:00Z,2017,06,02,14:00:00,18.3,66,4.166666666666667
2017-06-02T15:00:00Z,2017,06,02,15:00:00,18.2,65,3.3333333333333335
2017-06-02T16:00:00Z,2017,06,02,16:00:00,18.1,68,4.444444444444445
2017-06-02T17:00:00Z,2017,06,02,17:00:00,16.7,73,3.888888888888889
2017-06-02T18:00:00Z,2017,06,02,18:00:00,16.2,66,2.7777777777777777
2017-06-02T19:00:00Z,2017,06,02,19:00:00,16.1,66,1.3888888888888888
2017-06-02T20:00:00Z,2017,06,02,20:00:00,13.7,79,1.3888888888888888
2017-06-02T21:00:00Z,2017,06,02,21:00:00,13.6,82,1.6666666666666667
2017-06-02T22:00:00Z,2017,06,02,22:00:00,14.4,73,1.6666666666666667
2017-06-02T23:00:00Z,2017,06,02,23:00:00,11.9,91,1.3888888888888888
2017-06-03T00:00:00Z,2017,06,03,00:00:00,13.2,91,0.2777777777777778
2017-06-03T01:00:00Z,2017,06,03,01:00:00,13.5,77,1.1111111111111112
2017-06-03T02:00:00Z,2017,06,03,02:00:00,12.6,87,1.6666666666666667
2017-06-03T03:00:00Z,2017,06,03,03:00:00,12.3,84,2.2222222222222223
2017-06-03T04:00:00Z,2017,06,03,04:00:00,12.8,88,2.5
2017-06-03T05:00:00Z,2017,06,03,05:00:00,13.3,84,2.2222222222222223
2017-06-03T06:00:00Z,2017,06,03,06:00:00,13.5,79,4.444444444444445
2017-06-03T07:00:00Z,2017,06,03,07:00:00,14.2,81,2.7777777777777777
