file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,diagnostic_flags_LI-7200,,,,,,,,,diagnostic_flags_LI-7700,,,,,,,,,,,,,,,,RSSI_LI-7200,variances,,,,,,,covariances,,,,custom_variables,,,,,,,,,,,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,ch4_flux,qc_ch4_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,head_detect_LI-7200,t_out_LI-7200,t_in_LI-7200,aux_in_LI-7200,delta_p_LI-7200,chopper_LI-7200,detector_LI-7200,pll_LI-7200,sync_LI-7200,not_ready_LI-7700,no_signal_LI-7700,re_unlocked_LI-7700,bad_temp_LI-7700,laser_temp_unregulated_LI-7700,block_temp_unregulated_LI-7700,motor_spinning_LI-7700,pump_on_LI-7700,top_heater_on_LI-7700,bottom_heater_on_LI-7700,calibrating_LI-7700,motor_failure_LI-7700,bad_aux_tc1_LI-7700,bad_aux_tc2_LI-7700,bad_aux_tc3_LI-7700,box_connected_LI-7700,mean_value_RSSI_LI-7200,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,co2_mean,h2o_mean,air_p_mean,vin_sf_mean,co2_mean,h2o_mean,dew_point_mean,avg_signal_strength_7200_mean,co2_signal_strength_7200_mean,h2o_signal_strength_7200_mean,delta_signal_strength_7200_mean,flowrate_mean,hit_power_mean,hit_vin_mean,ch4_mean,rssi_77_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2017-06-14T233000_AIU-0547.ghg,2017-06-15,0:00,166,0,18000,18000,8.40E-03,1,-10.73506248,0,7.692007883,0,2.880788167,0,0.172794075,0,0.17384909,0,-0.138771994,-0.873700885,-0.158905248,-1.96E-02,-3.21E-03,2.35E-11,6.84E-13,1.18E-13,17.94651841,421.1166303,426.3347572,0.1,0,521.6049663,12.23950633,12.39116811,0.1,1,9.00E-02,2.098913351,2.124921339,-0.3,0,287.1797199,285.7230785,101196.1184,1.228178471,1012.064729,2.35E-02,1.12E-02,9.40E-03,1238.922771,1452.020801,7.65E-03,85.32403739,213.0980299,283.2923535,0.167932789,0.910624221,-2.24E-02,0.926251139,-3.29E-14,1.31E-15,0.926251139,2.92509067,86.44880733,79.55119267,-1.387843625,-9999,8.27E-02,0.154452746,4.639377655,0.344658297,-1.395612517,-0.104409935,1,13.98985336,6,13,29,57,132,668,8.21E-03,1.024025564,-9.926395713,1.049634366,5.662391234,1.358438081,2.120662109,1.358438081,0.127200553,1.358438081,9.85E-02,1.806315762,800000009,800000009,800000009,800000019,800000019,800100019,899999999,899999999,89999,89999,89,89,12,8,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,0,0,0,0,21,18000,18000,18000,18000,87,0.151898268,0.141368636,1.56E-02,4.40E-02,11.49341748,7.64E-02,1.22E-05,-7.99E-03,5.04E-02,3.02E-03,9.85E-05,17.94872403,521.66908,101408.7251,12.19490306,421.1156389,12.23944947,10.10263085,87.5897298,86.54520694,88.63425162,-2.089051105,2.61E-04,-1,0,2.088986029,45.31198382
2017-06-15T000000_AIU-0547.ghg,2017-06-15,0:30,166.02,0,18000,18000,1.76E-02,1,-9.972978983,0,5.338397385,0,1.735371966,0,0.11992656,0,7.46E-02,0,4.58E-02,-0.542170033,-0.267351281,-1.22E-02,-3.59E-03,-4.40E-11,-1.27E-12,-2.15E-13,17.67391063,414.8376107,419.8563431,0.1,0,509.269712,11.95345133,12.09806496,0.1,1,8.64E-02,2.014651991,2.039025381,-0.3,0,287.1798789,285.7599202,101158.3578,1.227695298,1011.905286,2.35E-02,7.77E-03,9.17E-03,1209.515859,1455.535094,7.47E-03,83.09767755,246.0192348,282.9336993,0.329062378,1.348788514,-4.17E-02,1.388974395,1.20E-14,-2.49E-15,1.388974395,3.323850916,89.71055218,76.28944782,-1.719646667,-9999,0.119806831,0.256463898,15.16939421,0.105409615,-1.868159723,-6.70E-02,1,13.86816555,6,13,27,50,110,484,1.74E-02,1.014544598,-9.451243178,1.03082644,4.325389021,1.234200522,1.406069707,1.234200522,9.72E-02,1.234200522,5.18E-02,1.502934286,800000009,800000009,800000009,800000019,800000019,800000019,899999999,899999999,89999,89999,89,89,5,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,151,0,0,0,21,18000,18000,18000,18000,87,0.325824012,0.165353949,2.17E-02,3.87E-02,2.76510166,2.44E-02,3.64E-06,-7.61E-03,3.34E-02,2.31E-03,5.18E-05,17.67608772,509.3327345,101371.1744,12.18390601,414.8379889,11.95344451,9.746166295,87.63889179,86.59762154,88.68016438,-2.082541905,2.61E-04,-1,0,2.004901834,44.84415275
2017-06-15T003000_AIU-0547.ghg,2017-06-15,1:00,166.041,0,18000,18000,1.82E-02,1,-6.273809999,1,3.893431238,1,1.014785788,1,8.75E-02,1,6.62E-02,1,-5.33E-02,0.253434036,2.93E-02,5.69E-03,6.82E-04,-8.00E-11,-2.33E-12,-3.94E-13,17.69175485,415.5269916,420.610991,0.1,0,514.631714,12.08717675,12.23506413,0.1,1,8.71E-02,2.030680317,2.055525821,-0.3,0,287.1414267,285.7170279,101130.8632,1.227483514,1011.979266,2.35E-02,5.67E-03,9.27E-03,1222.714511,1451.444356,7.55E-03,84.24122534,228.7298453,283.095613,0.303932534,1.046816932,-3.84E-02,1.090721593,8.07E-14,-4.52E-15,1.090721593,2.861170459,92.19011186,73.80988814,-2.01645235,-9999,0.121860498,0.220724938,25.37063164,6.30E-02,-1.61138328,-4.14E-02,1,9.717452587,4,9,18,33,69,278,1.80E-02,1.012883233,-5.938201726,1.026793613,3.246791716,1.199162613,0.846245353,1.199162613,7.29E-02,1.199162613,4.76E-02,1.438758144,800000009,800000009,800000009,800000019,800000019,800000019,899999999,899999999,89999,89999,89,89,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,0,0,0,0,21,18000,18000,18000,18000,87,0.15045262,0.277209085,1.38E-02,1.69E-02,1.010407975,2.27E-02,2.55E-06,-4.78E-03,2.01E-02,1.73E-03,4.76E-05,17.69395683,514.6952773,101345.7654,12.17349738,415.5274685,12.08717178,9.908592828,87.63533987,86.59446069,88.67621591,-2.08175552,2.61E-04,-1,0,2.019103787,44.82442863
2017-06-15T010000_AIU-0547.ghg,2017-06-15,1:30,166.062,0,18000,18000,5.68E-03,1,-6.128628069,0,3.35495346,0,1.185510066,0,7.54E-02,0,8.73E-02,0,-0.254708028,0.198254931,8.10E-02,4.45E-03,7.43E-04,1.67E-11,4.88E-13,8.27E-14,17.78104215,417.4281963,422.5801805,0.1,0,519.3269094,12.19173169,12.34220454,0.1,1,8.79E-02,2.048116917,2.073395195,-0.3,0,286.9636056,285.5120505,101091.6076,1.227839182,1012.033994,2.35E-02,4.88E-03,9.36E-03,1232.812356,1432.034438,7.62E-03,86.08817804,199.2220813,283.2184513,9.54E-02,0.897709286,-3.00E-02,0.903259904,-1.16E-14,9.40E-16,0.903259904,2.79539151,82.06457709,83.93542291,-1.903193892,-9999,6.80E-02,0.122065897,4.512971074,0.354312043,-1.826740115,-7.25E-02,1,18.27440083,8,18,38,76,179,927,5.54E-03,1.024511538,-5.708298754,1.050587573,2.45910333,1.364299507,0.868951473,1.364299507,5.52E-02,1.364299507,4.93E-02,1.821331488,800000009,800000009,800000009,800000019,800000019,800100019,899999999,899999999,89999,89999,89,89,7,7,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,151,0,0,0,16,18000,18000,18000,18000,87,0.150286043,8.42E-02,9.64E-03,2.65E-02,1.432301205,1.79E-02,4.74E-06,-4.59E-03,2.07E-02,1.31E-03,4.93E-05,17.78320638,519.3893574,101307.2113,12.16214267,417.4287067,12.19173149,10.03160513,87.59910936,86.55492989,88.6432854,-2.088355469,2.61E-04,-1,0,2.036255019,45.17389423
2017-06-15T013000_AIU-0547.ghg,2017-06-15,2:00,166.083,0,18000,18000,2.80E-03,1,-4.75664366,0,1.406880448,0,1.178631449,0,3.16E-02,0,8.45E-02,0,-9.69E-02,-8.15E-02,6.10E-02,-1.83E-03,7.84E-04,-9.37E-12,-2.72E-13,-4.66E-14,17.84435652,418.8599314,424.0111298,0.1,0,517.5628498,12.14873394,12.29814078,0.1,1,8.88E-02,2.066534523,2.091949055,-0.2,0,286.8696164,285.4340529,101059.3883,1.22780332,1012.008462,2.35E-02,2.05E-03,9.32E-03,1228.07295,1424.708791,7.59E-03,86.19817313,196.6358408,283.1609082,0.210143624,0.911538235,-3.25E-02,0.936011585,2.02E-14,-5.25E-16,0.936011585,1.991348217,88.98200298,77.01799702,-1.989003045,-9999,4.77E-02,6.50E-02,2.01156986,0.79490155,-3.3809864,-8.02E-02,1,38.96784893,17,38,85,172,417,2321,2.69E-03,1.040058987,-4.362185734,1.081432959,0.887376396,1.585438214,0.743410521,1.585438214,1.99E-02,1.585438214,3.71E-02,2.331400185,800000009,800000009,800000009,800000019,800000019,800100019,899999999,899999999,89999,89999,89,89,4,4,3,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,0,0,0,0,16,18000,18000,18000,18000,87,5.98E-02,6.40E-02,6.21E-03,3.04E-02,1.439256277,2.55E-02,6.86E-06,-3.51E-03,1.77E-02,4.74E-04,3.71E-05,17.8465302,517.6252044,101272.896,12.14355996,418.8602494,12.14872585,9.973567107,87.592656,86.54773697,88.63757702,-2.089834611,2.61E-04,-1,0,2.056334648,43.3572879
2017-06-15T020000_AIU-0547.ghg,2017-06-15,2:30,166.104,0,18000,18000,1.72E-02,0,-9.724270596,0,3.638105724,0,1.208863667,0,8.17E-02,0,6.47E-02,0,-0.166506006,-9.72E-02,-1.59E-02,-2.18E-03,-2.00E-03,8.42E-12,2.43E-13,4.10E-14,17.8293938,418.4861289,423.6107465,0.1,0,515.4066304,12.09746826,12.24560913,0.1,1,8.68E-02,2.019557487,2.044288198,-0.3,0,286.6846826,285.3000739,101031.7963,1.228068439,1011.977301,2.35E-02,5.29E-03,9.29E-03,1222.556799,1412.202198,7.56E-03,86.57094577,189.6453991,283.0936874,0.535717903,1.476073923,-4.36E-02,1.570886655,-1.65E-14,4.72E-16,1.570886655,3.213927525,95.9475727,70.0524273,-1.588785418,-9999,0.118203803,0.136347449,14.92810437,0.107113399,-2.672893899,-6.62E-02,1,16.75898166,7,16,32,61,135,599,1.69E-02,1.014721655,-9.288645294,1.031388283,2.931386441,1.241087041,0.974036169,1.241087041,6.58E-02,1.241087041,4.51E-02,1.509111525,800000009,800000009,800000009,800000019,800000019,800000119,899999999,899999999,89999,89999,89,89,12,2,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,151,0,0,0,21,18000,18000,18000,18000,87,0.158955096,9.44E-02,1.93E-02,3.45E-02,0.649428655,1.40E-02,1.69E-06,-7.47E-03,2.31E-02,1.56E-03,4.51E-05,17.8315866,515.4696355,101241.0824,12.12812563,418.486743,12.09747155,9.906291989,87.57790213,86.53148685,88.6243161,-2.092829361,2.61E-04,-1,0,2.009485987,41.24094043
2017-06-15T023000_AIU-0547.ghg,2017-06-15,3:00,166.124,0,18000,18000,2.96E-02,0,-10.78714508,0,3.481670495,0,1.248614537,0,7.82E-02,0,6.97E-02,0,-1.93E-02,-2.64E-02,5.51E-03,-5.92E-04,-5.34E-05,-3.03E-12,-8.75E-14,-1.47E-14,17.83354438,418.6154906,423.7357299,0.1,1,514.7751108,12.08356741,12.23136594,0.1,1,8.67E-02,2.018302718,2.042989317,-0.3,0,286.6687107,285.2845429,101000.233,1.227758097,1011.969196,2.35E-02,5.07E-03,9.27E-03,1220.770494,1410.758679,7.55E-03,86.53290689,189.9881848,283.0718619,0.459691075,1.644504242,-4.35E-02,1.708098157,-2.18E-14,-1.70E-16,1.708098157,3.80284341,91.61736276,74.38263724,-1.458139496,-9999,0.155251897,0.16224913,30.48410895,5.25E-02,-3.098267081,-5.59E-02,1,13.1561226,6,12,24,44,92,365,2.92E-02,1.012353906,-10.37457979,1.026629248,2.88514198,1.206758808,1.03468442,1.206758808,6.48E-02,1.206758808,5.13E-02,1.430940354,800000009,800000009,800000009,800000019,800000019,800000019,899999999,899999999,89999,89999,89,89,11,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,0,0,0,0,21,18000,18000,18000,18000,87,0.185398134,0.11009166,2.90E-02,2.11E-02,0.310665845,8.32E-03,1.00E-06,-8.35E-03,2.46E-02,1.54E-03,5.13E-05,17.83570582,514.8371398,101213.4907,12.11727208,418.6161234,12.08357612,9.885200569,87.56385221,86.51560772,88.61209522,-2.096487642,2.61E-04,-1,0,2.007177591,41.44744274
2017-06-15T030000_AIU-0547.ghg,2017-06-15,3:30,166.145,0,18000,18000,4.16E-02,0,-12.37656145,0,7.065747903,0,1.823818597,0,0.158651129,0,9.11E-02,0,-6.39E-02,0.201620214,4.26E-02,4.53E-03,-3.29E-05,5.87E-12,1.70E-13,2.85E-14,17.88011733,419.6150618,424.7932386,0.1,1,519.4198969,12.18987595,12.34030271,0.1,1,8.67E-02,2.017530543,2.042427481,-0.3,0,286.6234591,285.2331197,100985.9401,1.227756085,1012.027775,2.35E-02,1.03E-02,9.35E-03,1231.336287,1405.988452,7.62E-03,87.57798014,174.6521647,283.2005506,0.416964787,2.102558954,-4.69E-02,2.144017426,2.35E-14,3.28E-16,2.144017426,4.269015927,87.21696238,78.78303762,-1.252672207,-9999,0.184046347,0.217261522,44.26032511,3.61E-02,-1.75162794,-5.41E-02,1,14.47034776,6,13,26,47,96,366,4.11E-02,1.011875098,-11.7571368,1.026058859,5.860322145,1.205692747,1.512672778,1.205692747,0.131585041,1.205692747,6.76E-02,1.411683205,800000009,800000009,800000009,800000019,800000019,800000019,899999999,899999999,89999,89999,89,89,20,0,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,301,151,0,0,0,16,18000,18000,18000,18000,87,0.248017984,0.147102931,3.94E-02,1.62E-02,0.481548387,1.15E-02,6.58E-06,-9.46E-03,3.60E-02,3.13E-03,6.76E-05,17.88228907,519.4826007,101197.5515,12.10391661,419.6155779,12.18988234,10.01340258,87.51555779,86.46284047,88.56827804,-2.105432262,2.61E-04,-1,0,2.006620436,37.39668084
2017-06-15T033000_AIU-0547.ghg,2017-06-15,4:00,166.166,0,18000,18000,4.48E-02,0,-10.37959587,0,2.980286498,0,1.365439043,0,6.69E-02,0,-9999,-9999,0.286832176,6.21E-02,6.85E-02,1.39E-03,-9999,3.86E-12,1.12E-13,-9999,17.9440886,421.2273247,426.4395631,0.1,1,520.6809037,12.22268954,12.37393227,0.1,1,-9999,-9999,-9999,-9999,0,286.571387,285.4635139,101264.1807,1.23017066,1012.024066,2.35E-02,4.34E-03,9.36E-03,1233.247726,1427.0665,7.61E-03,86.41837829,193.8187735,283.2237275,0.328441957,2.146501864,-4.54E-02,2.171958846,-2.81E-14,2.15E-16,2.171958846,4.11600217,84.69950484,81.30049516,-1.197641267,-9999,0.190915077,0.265936887,59.0247026,2.71E-02,-3.482751029,-4.37E-02,1,14.18525882,6,13,25,45,90,337,4.43E-02,1.011471092,-10.01411248,1.025250091,2.484449912,1.199576004,1.138268053,1.199576004,5.58E-02,1.199576004,-9999,1,800000009,800000009,800000009,800000019,800000009,800000009,899999999,899999999,89999,89999,89,89,25,9,1,4,7,0,0,0,0,0,0,0,0,0,0,0,0,4879,0,0,0,0,301,0,0,0,0,16,18000,18000,18000,18000,87,0.289949779,0.195243452,4.67E-02,1.35E-02,0.80744704,1.07E-02,-9999,-8.04E-03,2.71E-02,1.33E-03,-9999,17.9463117,520.7451182,101164.6419,12.08758732,421.2279446,12.22269635,10.04880516,87.48913348,86.43420786,88.54406385,-2.109848977,2.60E-04,-1,0,2.179778483,28.81416128
