file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,diagnostic_flags_LI-7200,,,,,,,,,diagnostic_flags_LI-7700,,,,,,,,,,,,,,,,RSSI_LI-7200,variances,,,,,,,covariances,,,,custom_variables,,,,,,,,,,,,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,ch4_flux,qc_ch4_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,head_detect_LI-7200,t_out_LI-7200,t_in_LI-7200,aux_in_LI-7200,delta_p_LI-7200,chopper_LI-7200,detector_LI-7200,pll_LI-7200,sync_LI-7200,not_ready_LI-7700,no_signal_LI-7700,re_unlocked_LI-7700,bad_temp_LI-7700,laser_temp_unregulated_LI-7700,block_temp_unregulated_LI-7700,motor_spinning_LI-7700,pump_on_LI-7700,top_heater_on_LI-7700,bottom_heater_on_LI-7700,calibrating_LI-7700,motor_failure_LI-7700,bad_aux_tc1_LI-7700,bad_aux_tc2_LI-7700,bad_aux_tc3_LI-7700,box_connected_LI-7700,mean_value_RSSI_LI-7200,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,co2_mean,h2o_mean,air_p_mean,vin_sf_mean,co2_mean,h2o_mean,dew_point_mean,avg_signal_strength_7200_mean,co2_signal_strength_7200_mean,h2o_signal_strength_7200_mean,delta_signal_strength_7200_mean,flowrate_mean,hit_power_mean,hit_vin_mean,ch4_mean,rssi_77_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
not_enough_data,2017-10-27,13:00,300.541,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2017-10-27T130000_AIU-0547.ghg,2017-10-27,13:30,300.562,1,18000,18000,6.6499810247713495E-002,0,108.02054897624846,0,44.640809499594980,0,2.8789372814894745,2,1.0058926761500802,0,2.3199610535102669E-002,1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,3.2790309106527746E-011,6.9693688110294459E-013,1.5466750923122896E-013,17.507823309980370,414.47446255261588,418.15817999732394,0.10000000000000001,1,372.11749767037310,8.8093875019535552,8.8876825414555842,0.10000000000000001,0,8.2582064555043799E-002,1.9495903856093266,1.9669177260424964,-0.40000000000000002,0,289.49129646470811,288.91138500298393,101857.45316666667,1.2241556644330580,1010.2249189565541,2.3582066704382093E-002,6.5181845414525194E-002,6.7316053124224723E-003,897.54246660965180,1785.2791622997665,5.4989782002438994E-003,50.274628504230826,887.73669569011474,278.56367633153246,-0.70037952652264057,-1.9006000066574489,2.2459014490982161E-002,2.0256644030565196,-4.0274298915101897E-014,1.8728946783370586E-015,2.0256644030565196,4.3846984572161833,276.22906567557033,249.77093432442965,0.63526470905129528,-9999.0,0.23307295361377886,0.60936809380880008,-10.357378093480126,-0.15438270048348973,2.4197712852234123,0.37476564921264766,0,22.484941354098357,-3.4121765979433532,7.7183527552007147,19.219789684514645,29.311391964746001,41.109643999527464,61.589737869234064,6.5801038329623404E-002,1.0106194664374393,108.36707258960919,1.0217775517481102,38.719107126427225,1.1529400549922799,2.4970398669241756,1.1529400549922799,0.87245878204553806,1.1529400549922799,-9.2543105204884943E-003,1.2869165132154921,800000009,800000009,800000009,800000009,800001019,800001019,899999999,899999999,89999,89999,89,89,3,0,0,5,30,1,6,0,0,10858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,100,0.36048932864365379,0.77929107693752453,7.8955782036421868E-002,0.44690284092592858,45.886395707396673,9.7708806830454339E-002,1.4734380526967653E-007,8.7627943213964998E-002,5.9408856729899269E-002,2.0757289249503076E-002,-9.2543105204884946E-006,17.508279796764413,372.15530152455580,102104.79197222223,13.105714463710413,414.47241097126016,8.8092961401678860,5.3753138031164118,99.221659228430866,99.041476808124116,99.401839432822328,-0.36036516826930881,2.6348874694991146E-004,-1.0000000000000000,0.0000000000000000,1.9420027626289267,85.967901419745544
not_enough_data,2017-10-27,14:00,300.583,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2017-10-27T140000_AIU-0547.ghg,2017-10-27,14:30,300.604,1,18000,18000,3.5036334867670660E-002,0,77.825652714263583,0,42.048057631103788,0,0.22394870939322167,2,0.94781849477613234,0,2.1372720342198712E-002,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.1899663354367016E-011,2.3153228950984192E-013,5.7074031779916652E-014,17.154396904547305,406.25619419059819,409.49305051469446,0.10000000000000001,1,333.77387848646885,7.9045451932037114,7.9675248534860659,0.10000000000000001,0,8.2277167423911279E-002,1.9449196468639496,1.9604158424883715,-0.29999999999999999,0,289.73796412828233,289.29332615492081,101794.51149999999,1.2222034391436605,1009.7356424463617,2.3627842780619971E-002,6.1418638461493369E-002,6.0284770025178748E-003,804.85515255070800,1829.3867923808193,4.9324660767946626E-003,43.995898292413337,1024.5316398301113,277.00471445387359,-0.41517187342461542,-1.5957860694264181,1.9579468682731038E-002,1.6490252331156878,1.6232846640090792E-015,6.9368007634314687E-016,1.6490252331156878,3.2922292660496950,270.58321195970495,255.41678804029505,0.68030934772816853,-9999.0,0.16931193906800868,0.36211923615669800,-5.5076654219336172,-0.29032264625809950,1.8508739071146629,0.37246374028675655,1,11.124417798080422,5.0000000000000000,9.0000000000000000,15.000000000000000,23.000000000000000,38.000000000000000,90.000000000000000,3.4662436720194534E-002,1.0107868396701116,78.628093859566519,1.0212283549436316,36.669753316864430,1.1466686799817079,0.19530376411501377,1.1466686799817079,0.82658444529177533,1.1466686799817079,-3.5014840076060829E-003,1.2844581721725887,800000009,800000009,800000009,800000009,800000009,800001019,899999999,899999999,89999,89999,89,89,8,0,0,0,11,2,0,0,0,13040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,100,0.24849368421770113,0.42517976677659108,5.0565021319103814E-002,0.31732236694461513,11.427772749633913,8.1639027613897935E-002,3.3501692916127277E-008,6.3712780611728276E-002,4.6513835669665955E-003,1.9686058397093642E-002,-3.5014840076060830E-006,17.156321045530994,333.79432369215021,102038.40777777777,12.118742340300278,406.25582286886294,7.9044726700695334,3.8158869463205880,99.230068387773287,99.052265730116090,99.407872428258258,-0.35560677475730623,2.6311904996206679E-004,-1.0000000000000000,0.0000000000000000,1.9381096802618767,85.138968966060190
2017-10-27T143000_AIU-0547.ghg,2017-10-27,15:00,300.624,1,18000,18000,3.0114066878374937E-002,0,65.283142851038420,0,36.821181908558422,0,-3.5608022136362956,0,0.83033233317221833,0,9.8565012870221371E-003,1,0.51555877571522302,-0.41541301640413969,-3.4692595911690808E-003,-9.3677291510511039E-003,2.1351005853638012E-005,1.1075587040580092E-012,2.0949641820124214E-014,5.3177919074484393E-015,17.110513559004062,406.17408933666309,409.31882234390406,0.10000000000000001,1,323.64797378788813,7.6828448524138464,7.7423279569032406,0.10000000000000001,0,8.2153794830899476E-002,1.9454249481165404,1.9604870660804001,-0.29999999999999999,0,290.18975066036654,289.71177914598252,101775.70938888889,1.2203152927492065,1009.6235064018304,2.3666390991352388E-002,5.3805535189559744E-002,5.8498512368522493E-003,782.13672861553573,1878.8056664028943,4.7937211568276914E-003,41.629464004810650,1096.6689377873586,276.59845661269958,-0.70248713003746643,-1.0529727950956311,9.4581383664496376E-003,1.2658314783023772,2.2133872297063427E-014,6.4729717213845916E-017,1.2658314783023772,3.5079332122467712,289.70909710042918,236.29090289957080,0.42811105763745855,-9999.0,0.15709005016363328,0.36799711005463609,-5.2432860793321865,-0.30496142606120347,1.7729779292028789,0.33730351612716891,1,8.4245556492605331,4.0000000000000000,7.0000000000000000,11.000000000000000,18.000000000000000,29.000000000000000,70.000000000000000,2.9774128785735647E-002,1.0114172305455382,66.054795887726812,1.0210989112788773,32.265386573051174,1.1411976058366013,-3.1202328110615904,1.1411976058366013,0.72759733189547782,1.1411976058366013,-9.3081369695169683E-003,1.2830193227961018,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,0,0,1,5,3,1,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,100,0.30598957345621591,0.39001836192879008,3.9986284724266186E-002,0.31660073145891016,13.411379260805019,4.1328914307554025E-002,3.2949574721955990E-007,5.3613338023089083E-002,-7.4416533734470006E-002,1.7352958792741000E-002,-9.3081369695169675E-006,17.112548740911940,323.72455876387198,102016.44994444444,14.418552820947435,406.17477273551509,7.6828035310583758,3.4131651481125065,99.331671082602611,99.160657105975673,99.502685970730255,-0.34203017932093721,2.6392535547428340E-004,-1.0000000000000000,0.0000000000000000,1.9388257795274273,84.626245255099448
2017-10-27T150000_AIU-0547.ghg,2017-10-27,15:30,300.645,1,18000,18000,3.3288348199712714E-002,0,38.284684025740212,0,24.499394924152014,0,-0.90420327586525318,1,0.55237100169887599,0,2.3866411713328317E-002,0,-0.23201310796285099,0.56193997110990901,0.10296459939237458,1.2669673912257306E-002,1.1411499004112726E-003,4.6711753626436011E-012,9.1255400122463173E-014,2.2749823527657588E-014,17.114474452830020,408.60965708089145,411.89764594872713,0.10000000000000001,1,334.34587503792631,7.9825386237943698,8.0467722944315483,0.10000000000000001,0,8.3351885412869198E-002,1.9724181856483998,1.9882897856577084,-0.20000000000000001,0,290.11277669609916,289.52356956821012,101761.07005555555,1.2207941726173859,1009.7836949207719,2.3654418689543700E-002,3.5793640910087160E-002,6.0811195723438263E-003,812.52956612413641,1856.4352875486561,4.9812816187563298E-003,43.768267688826747,1043.9057214245197,277.13966178264712,-0.12396281486113976,-1.5631027817236514,1.2481521393883595E-002,1.5680602265464094,5.7941095431331197E-014,2.7293711971805148E-016,1.5680602265464094,3.6181069403173725,260.53438630377008,265.46561369622992,0.45607052436206874,-9999.0,0.16512958864119873,0.31902544363863650,-10.384441296669547,-0.15398035910827715,1.5626787577516199,0.18807426216578046,1,11.825919145226319,5.0000000000000000,10.000000000000000,16.000000000000000,26.000000000000000,44.000000000000000,110.00000000000000,3.2930338828697461E-002,1.0108717184137583,38.888603995740020,1.0211573624139734,21.389206366222485,1.1454092547744592,-0.78941502532498609,1.1454092547744592,0.48224772010214151,1.1454092547744592,8.3374079096585202E-003,1.2840469753290122,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,0,0,0,1,1,1,0,0,0,10206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,100,0.29860547003027887,0.29565563800479533,4.3789779242198734E-002,0.14938056950095738,22.903999973732290,5.2546759638225936E-002,1.4508367000142315E-006,3.1546526842647714E-002,-1.8823452773017457E-002,1.1499106164721088E-002,8.3374079096585196E-006,17.116035506674841,334.43273529878428,101982.70638888890,14.416885004997253,408.61091255676718,7.9824835035865931,3.9506517680485387,99.374503269195557,99.204619404474897,99.544388684590658,-0.33976768799953966,2.6527675213744971E-004,-1.0000000000000000,0.0000000000000000,1.9654884956445988,83.290013451929354
2017-10-27T153000_AIU-0547.ghg,2017-10-27,16:00,300.666,1,18000,18000,2.5706235459961351E-002,0,14.876272193536314,0,14.507400646312668,0,-0.17554458473686219,0,0.32684335313691565,0,1.9477353878026505E-002,0,-0.96230779840038083,0.61274348340386109,-0.10099526513088070,1.3804756593622769E-002,-1.0385647937564029E-003,-9.1765762000718648E-012,-1.8768117931823566E-013,-4.4196231297402102E-014,17.148144604290046,406.22687962442802,409.63018292377740,0.10000000000000001,1,350.71729720149779,8.3082337220806313,8.3778387646230268,0.10000000000000001,0,8.2588903391502974E-002,1.9479153658931132,1.9642346867556972,-0.20000000000000001,0,289.46918054538298,288.74499971347387,101751.78188888889,1.2238229904934974,1009.9452092001176,2.3592962040107190E-002,2.1179449283272134E-002,6.3457218293560677E-003,845.60434915933195,1766.3581939673770,5.1851631148040478E-003,47.872756049555228,920.75384480804496,277.70866027704142,-0.36050527623530376,-1.4724290788405574,1.1684548019276838E-002,1.5159643713066338,1.4385500661954783E-014,-5.3513522377086264E-016,1.5159643713066338,3.1645975492770040,269.75749577926541,256.24250422073459,0.44162114135612679,-9999.0,0.14493054884113879,0.16348773258378649,-18.067859499279745,-8.8499691956523269E-002,1.0254264396645998,8.3045816300449382E-002,1,14.107178102926545,6.0000000000000000,12.000000000000000,20.000000000000000,32.000000000000000,56.000000000000000,149.00000000000000,2.5428099452624756E-002,1.0109381358939071,15.376391082936598,1.0211225457528375,12.674275914184539,1.1446334879041546,-0.15336313902390503,1.1446334879041546,0.28554411223401471,1.1446334879041546,1.0992424722528616E-002,1.2838097830878599,800000009,800000009,800000009,800000009,800001009,800001019,899999999,899999999,89999,89999,89,89,4,0,0,0,0,1,0,0,0,17737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,100,0.15305605174782683,0.14193364261723718,3.1985770802508959E-002,6.0525767330474295E-002,0.77204702753536436,1.8738382708792595E-002,3.5316780420483289E-008,1.2440504578378917E-002,-3.6486123729806853E-003,6.7932867542990103E-003,1.0992424722528615E-005,17.150145522382072,350.75762110685315,101969.18911111112,14.438021938694849,406.22552750156848,8.3082168754375392,4.5221819645696160,99.437979082531399,99.266129654990294,99.609827710469560,-0.34370088127834925,2.6347539701317949E-004,-1.0000000000000000,0.0000000000000000,1.9407435981233916,82.173122130288050
2017-10-27T160000_AIU-0547.ghg,2017-10-27,16:30,300.687,1,18000,18000,1.3979718014963826E-002,0,3.6177595893539678,2,9.7141865991151999,0,0.64989185999811738,2,0.21863400925638152,0,1.3227780834007106E-002,1,-1.3030994873587263,-0.37673071426789378,-1.4596330410571293E-002,-8.4789545300593752E-003,3.1696672917426856E-004,2.7192878791050826E-011,5.4327022497572661E-013,1.3169286660020417E-013,17.200211129619319,405.88374492227001,409.20192570699317,0.10000000000000001,1,343.63270773278748,8.1089080384707213,8.1751999833316660,0.20000000000000001,0,8.3299202235761927E-002,1.9553667102481602,1.9713522241451884,-0.20000000000000001,0,288.53854035271547,287.69443249850809,101746.74433333334,1.2283240511231475,1009.8125752097408,2.3508285473552853E-002,1.4167483799813521E-002,6.2157882811689656E-003,825.27630528074269,1650.9021046767627,5.0603814811615968E-003,49.989415056341400,825.62579939602006,277.36133169816532,-0.41396284977958409,-1.2317921967788019,5.7399265341987965E-003,1.2995038298517456,7.7543787742534660E-015,1.5809619187885323E-015,1.2995038298517456,2.6202075223490877,274.57572016454543,251.42427983545457,0.25307707985710948,-9999.0,0.10668238785372518,0.12708485578457274,-29.629200624446174,-5.3967031384596742E-002,0.37242022813145109,2.7339668554771157E-002,1,17.542836689318211,8.0000000000000000,14.000000000000000,26.000000000000000,42.000000000000000,75.000000000000000,208.00000000000000,1.3823040555437781E-002,1.0113345149280062,4.0663655084325647,1.0210861910733617,8.5091241856166242,1.1416200289491074,0.56927159958498685,1.1416200289491074,0.19151206505866941,1.1416200289491074,8.9909406033002060E-003,1.2830876687294794,800000009,800000009,800000009,800000009,800000009,800001009,899999999,899999999,89999,89999,89,89,4,1,0,0,34,1,0,0,0,17100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,100,0.14588932101802263,8.5921157558286665E-002,2.2359232992836188E-002,0.11880527807690118,2.0874982571895613,2.7558226651796931E-002,3.4210926753463907E-007,3.2783301111459105E-003,1.3492034287228531E-002,4.5389359842880391E-003,8.9909406033002060E-006,17.202263104133426,343.67389075233405,101962.18650000000,14.032931635909586,405.88473496245518,8.1088887328955437,4.1739328104654874,99.494644746780395,99.320745537016123,99.668545107947452,-0.34779902620779313,2.6192682562234263E-004,-1.0000000000000000,0.0000000000000000,1.9483144580821179,81.610045309278675
2017-10-27T163000_AIU-0547.ghg,2017-10-27,17:00,300.708,1,18000,18000,1.7468817796385532E-003,1,-2.6165128865778695,1,-0.15704005746581026,2,0.13403022483609048,1,-3.5297598321847807E-003,2,8.8645037612907970E-003,0,-1.7222334816904172,0.21265017084995061,0.10968047637255493,4.7796978903729918E-003,2.3388923173478546E-003,2.9942159975494438E-012,6.0263665899092014E-014,1.4811442188547549E-014,17.416239383135455,408.45027432592588,411.83587543397078,0.10000000000000001,1,350.53130177077406,8.2207532417552667,8.2888941955841826,0.10000000000000001,1,8.6152643288372563E-002,2.0100969238922737,2.0267584046172860,1.1000000000000001,0,287.42281573655868,286.31233480326347,101726.27986111111,1.2339528670360600,1009.8449869317126,2.3400057043316051E-002,-2.2872843712557378E-004,6.3306673005277250E-003,836.49096461482759,1509.1334936914661,5.1303963624914715E-003,55.428560038694862,672.64252907663843,277.55387017377649,-0.25562586231334294,-0.49684942292276907,1.8701956102762479E-005,0.55875211936232350,1.2198761341599119E-014,1.7192092573376156E-016,0.55875211936232350,1.3984724058011408,283.22553163140998,242.77446836858999,1.9177433362582998E-003,-9999.0,3.7625516627234845E-002,4.3206922851635368E-002,1.7969629907451221,0.88983468676612232,16.661436125286183,-5.5806800053343902E-002,1,25.267610194294171,11.000000000000000,24.000000000000000,53.000000000000000,106.00000000000000,250.00000000000000,1303.0000000000000,1.6725981207621986E-003,1.0444121381904361,-2.4128680569388075,1.0898811556409100,-9.7112029608800429E-002,1.6171020016615847,8.2882975037056036E-002,1.6171020016615847,-2.1827688225961785E-003,1.6171020016615847,3.9662071341446453E-003,2.4480426560048785,800000009,800000009,800000009,800000009,800000009,800100009,899999999,899999999,89999,89999,89,89,2,0,1,1,0,1,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,100,6.2226855397828559E-002,2.1134760731360395E-002,3.0522295740817887E-003,0.18699679988645435,1.7937497866179044,5.1246230747398923E-003,9.4539147089976081E-007,-1.9363340777414737E-003,1.9555467230848657E-003,-5.1500400611481025E-005,3.9662071341446454E-006,17.418566352347895,350.56959889156195,101943.31408333333,12.599762789673248,408.45074749602225,8.2207560138944995,4.3688140727148879,99.518116388532846,99.334411142137313,99.701820544772687,-0.36741059969862322,2.6083665045249907E-004,-1.0000000000000000,0.0000000000000000,2.0026708245873466,82.206706176757848
