file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,diagnostic_flags_LI-7200,,,,,,,,,diagnostic_flags_LI-7700,,,,,,,,,,,,,,,,RSSI_LI-7200,variances,,,,,,,covariances,,,,custom_variables,,,,,,,,,,,,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,ch4_flux,qc_ch4_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,head_detect_LI-7200,t_out_LI-7200,t_in_LI-7200,aux_in_LI-7200,delta_p_LI-7200,chopper_LI-7200,detector_LI-7200,pll_LI-7200,sync_LI-7200,not_ready_LI-7700,no_signal_LI-7700,re_unlocked_LI-7700,bad_temp_LI-7700,laser_temp_unregulated_LI-7700,block_temp_unregulated_LI-7700,motor_spinning_LI-7700,pump_on_LI-7700,top_heater_on_LI-7700,bottom_heater_on_LI-7700,calibrating_LI-7700,motor_failure_LI-7700,bad_aux_tc1_LI-7700,bad_aux_tc2_LI-7700,bad_aux_tc3_LI-7700,box_connected_LI-7700,mean_value_RSSI_LI-7200,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,co2_mean,h2o_mean,air_p_mean,vin_sf_mean,co2_mean,h2o_mean,dew_point_mean,avg_signal_strength_7200_mean,co2_signal_strength_7200_mean,h2o_signal_strength_7200_mean,delta_signal_strength_7200_mean,flowrate_mean,hit_power_mean,hit_vin_mean,ch4_mean,rssi_77_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
not_enough_data,2017-11-17,12:00,321.499,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2017-11-17T120000_AIU-0547.ghg,2017-11-17,12:30,321.520,1,18000,18000,2.0216032061568974E-002,0,13.834769864887194,0,14.051612436816988,0,0.12851164659495248,1,0.31426119433951694,0,6.4281714754742484E-003,1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-2.6745333605603469E-011,-3.7014096310396067E-013,-1.3218113134405789E-013,17.342671617003958,400.21500543052230,402.44404616886538,0.10000000000000001,1,240.01320266832124,5.5387593867093932,5.5696081058861626,0.20000000000000001,0,8.5711174467600779E-002,1.9516991380913096,1.9625693374310740,-0.29999999999999999,0,281.65863479953344,281.09382445780437,101479.93016666667,1.2550929997875240,1008.2726912493296,2.3029322672019629E-002,2.0364125393200698E-002,4.3339722700517277E-003,562.22368588286406,1065.5560997483717,3.4531084714721780E-003,52.763405513387013,503.33241386550770,272.00994896319241,-0.90672484984878854,-1.3078829019371749,3.9194392014007097E-004,1.5914483315938959,-4.7436750491329731E-015,-1.5421691764826180E-015,1.5914483315938959,3.5949489624345565,290.73267125154632,235.26732874845368,1.4110877627025589E-002,-9999.0,0.12691413822933995,0.25137708225992428,-13.013247892876304,-0.12287478215759823,0.98456813601251636,8.6140625719395389E-002,1,17.692383582126507,8.0000000000000000,14.000000000000000,25.000000000000000,39.000000000000000,66.000000000000000,169.00000000000000,1.9999142625112740E-002,1.0108449367316321,14.288888967174509,1.0211758494567271,12.263859865553121,1.1457740540794443,0.11216142147519940,1.1457740540794443,0.27427850475459192,1.1457740540794443,1.0926965652280284E-003,1.2841596047184531,800000009,800000009,800000009,800000009,800001019,800001019,899999999,899999999,89999,89999,89,89,0,1,1,11,8,0,11,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,93,0.18232065411768913,0.29084031437758656,2.9593196024572870E-002,2.8264972421789346E-002,0.68793275740182136,1.3995636004197868E-002,2.6872538485865252E-008,1.1291315682670219E-002,2.5973917534402699E-003,6.3516378182941384E-003,1.0926965652280283E-006,17.344775038975150,240.03999209920644,101776.37663888889,10.231114410876618,400.21528357935978,5.5387492032299663,-1.1650308988334150,96.030024226082702,95.651767281850169,96.408286565356789,-0.75652178335024345,2.5672846097505588E-004,-1.0000000000000000,0.0000000000000000,1.9468456858081946,86.327006665981401
2017-11-17T123000_AIU-0547.ghg,2017-11-17,13:00,321.541,1,18000,18000,3.0788039411913683E-002,0,44.930500041945301,0,29.728221532123566,0,-0.47533800309992064,0,0.66528980712080621,0,1.0435934038086240E-002,0,0.84412715972365726,-4.7778641464408612E-002,-1.7911950129824487E-002,-1.0692413311708781E-003,4.3646073171205838E-005,6.1889156907583797E-012,8.5357847337584774E-014,3.0579649776995416E-014,17.304498761773143,399.80166618302962,402.01843013495329,0.10000000000000001,1,238.66454761477905,5.5140853895169633,5.5446591133235934,0.29999999999999999,0,8.5502136099810153E-002,1.9527063223961920,1.9635334133023108,-0.29999999999999999,0,282.14804346889917,281.76221922132697,101514.71655555555,1.2525565996743007,1008.2714628415556,2.3076172303787137E-002,4.3110779501428241E-002,4.3059056377939180E-003,559.91096529311505,1115.0384155749214,3.4376934654398632E-003,50.214500009349109,555.12745028180632,271.95374548548676,-0.75984013337719680,-1.0851436626844078,3.8004923479501837E-002,1.3252690938686780,6.4241449416595703E-015,3.5764778720029331E-016,1.3252690938686780,3.1959610731748942,291.00050878945370,234.99949121054627,1.6433042122551325,-9999.0,0.15678060540102229,0.24867121775123685,-7.5556736933916238,-0.21162904393271037,1.5113753102719090,0.22692068180362346,1,9.6150929141424566,4.0000000000000000,8.0000000000000000,13.000000000000000,21.000000000000000,34.000000000000000,85.000000000000000,3.0444758923715256E-002,1.0112755200019345,45.606005332417197,1.0210801461355234,26.032575355782971,1.1419623731356885,-0.41624664199285377,1.1419623731356885,0.58258470048711153,1.1419623731356885,-3.8769139656452830E-003,1.2831491426802693,800000009,800000009,800000009,800000009,800000009,800000019,899999999,899999999,89999,89999,89,89,2,4,2,4,3,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,93,0.18858284805743625,0.27244839910285568,3.6311188342181770E-002,0.14866678750486534,5.4348090216850407E-002,3.0372566820006257E-002,2.3023907899137397E-008,3.6111638866531168E-002,-9.6586521502685478E-003,1.3518386462250436E-002,-3.8769139656452831E-006,17.306645287613826,238.69599584312479,101773.50680555556,13.564009974532585,399.80195815288073,5.5140590429001177,-1.2294485990927979,96.042042574352678,95.666231774648026,96.417851614422261,-0.75161839014457332,2.5714986566971579E-004,-1.0000000000000000,0.0000000000000000,1.9478637894723150,86.211302388085258
2017-11-17T130000_AIU-0547.ghg,2017-11-17,13:30,321.562,1,18000,18000,3.7762627574805065E-002,0,38.711008663491285,0,26.054054327327833,0,-0.69222238697215344,0,0.58303796166388278,0,1.0062202675348133E-002,1,-6.2170607721205723E-002,1.2117659261048389E-003,1.9733945206110295E-002,2.7116913425211753E-005,9.2023812113274547E-005,-2.4950722615549339E-012,-3.4376932947565915E-014,-1.2338637692106301E-014,17.312541813055397,400.25682498337540,402.47636575835020,0.10000000000000001,1,238.53100298122695,5.5147108347411589,5.5452915139348535,0.29999999999999999,0,8.5614025794831100E-002,1.9548288299580228,1.9656689256799844,-0.29999999999999999,0,282.26235401916506,281.71301573520236,101547.18922222222,1.2531758114534677,1008.2709042143580,2.3064764576565179E-002,3.7780859915819601E-002,4.3085239658454400E-003,560.15359962110642,1111.3279514090882,3.4380842069145078E-003,50.403987311834442,551.17435178798178,271.95965160845230,-0.25850051935888479,-1.5311972635703075,3.2033481472023256E-002,1.5531946827134055,-5.3570979470010630E-015,-1.4411934934207054E-016,1.5531946827134055,3.4655807404351031,265.58246068475989,260.41753931524011,1.1817664927593479,-9999.0,0.17359015899034086,0.29762188279317203,-11.906307124949796,-0.13429856824785563,1.4857959600893171,0.17649001828945127,1,11.012994473359544,5.0000000000000000,9.0000000000000000,15.000000000000000,24.000000000000000,42.000000000000000,106.00000000000000,3.7355832592788636E-002,1.0108897313694183,39.309886764785638,1.0211465289383508,22.750866438414388,1.1451895424666587,-0.60446097462709492,1.1451895424666587,0.50911918074981677,1.1451895424666587,-2.5268519754497857E-003,1.2839765934553407,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,4,1,1,0,1,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,93,0.26713728253701730,0.28384759620074534,4.4258886848581466E-002,0.10973312589199984,7.3158994136192423E-002,1.8499001488837773E-002,3.3827981772507542E-008,3.1110898524021265E-002,-1.4019081996782399E-002,1.1807848381724837E-002,-2.5268519754497858E-006,17.314709298908333,238.55950666935155,101781.87069444444,13.180395045015423,400.25710372886653,5.5146961174004865,-1.2244712652522669,96.067219129562375,95.695943802303745,96.438489203982883,-0.74254245467152824,2.5697193821542900E-004,-1.0000000000000000,0.0000000000000000,1.9499809539384314,86.155499714279202
2017-11-17T133000_AIU-0547.ghg,2017-11-17,14:00,321.583,1,18000,18000,4.2099597139328267E-002,0,21.033437699817572,0,19.495924880748582,0,-0.17000742577046438,0,0.43614692173550257,0,1.2514482058180136E-002,0,-0.40424750653387737,9.0097239591050857E-002,5.8988237203146205E-003,2.0155819200609296E-003,2.3385661912582922E-004,1.1454651627297553E-011,1.5909562884910196E-013,5.6695195723498511E-014,17.369396795905601,400.39265390418871,402.63173832923309,0.10000000000000001,1,241.24654296676630,5.5611225144239844,5.5922215435554978,0.20000000000000001,0,8.5970432186361176E-002,1.9602137157771258,1.9711756651484673,-0.20000000000000001,0,282.09581730990942,281.39361555141875,101600.87019444445,1.2552393919514409,1008.2903907014844,2.3026441754063050E-002,2.8262320528460564E-002,4.3520154132909300E-003,565.16644598558310,1087.5053372988943,3.4670800177208656E-003,51.969073309499585,522.33889131331125,272.08116810444506,-9.3635889465493130E-002,-1.6725415309091973,2.4215893474995372E-002,1.6753355669563488,2.7488977079000765E-014,6.5947319655900191E-016,1.6753355669563488,3.8040523296349318,259.20431314173624,266.79568685826376,0.82820232480558709,-9999.0,0.18313682897449970,0.27242170616699624,-25.740543352179035,-6.2119900816493004E-002,1.0788632921225101,9.0744932368084702E-002,1,11.780117708340599,5.0000000000000000,10.000000000000000,17.000000000000000,28.000000000000000,50.000000000000000,138.00000000000000,4.1651279964440319E-002,1.0107635869838982,21.627816796947847,1.0212555809589603,16.996150775562604,1.1470788379201837,-0.14820901593713637,1.1470788379201837,0.38022401540098033,1.1470788379201837,3.8841924111855464E-003,1.2845999567916115,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,9,1,2,0,9,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,93,0.27494538695059478,0.22964853054024417,4.0249494843153447E-002,4.5361907858363033E-002,4.7208393046909304E-002,1.8279573097873078E-002,8.6758195738843726E-009,1.7088364301894754E-002,-3.4318161421993836E-003,8.8041804032921601E-003,3.8841924111855465E-006,17.371567857166788,241.27550228596650,101832.77769444445,12.639272760762118,400.39298804801490,5.5611081259795654,-1.1032906058082985,96.043442438549462,95.669679208119717,96.417207291073268,-0.74752371103896031,2.5670452686608772E-004,-1.0000000000000000,0.0000000000000000,1.9553108170893458,85.831539422282447
2017-11-17T140000_AIU-0547.ghg,2017-11-17,14:30,321.604,1,18000,18000,4.5402061308452507E-002,0,17.449225336202481,0,12.882599006599561,0,-0.28713593669671028,1,0.28813946122983880,0,1.8004219138863280E-002,1,-0.27407452321788334,0.25470924077443907,2.7666626755380824E-002,5.6969702596044985E-003,4.8305230026841287E-004,7.0061320616114470E-012,9.9443616411643368E-014,3.4791978000639936E-014,17.425954055241395,401.02883611436926,403.32460895417319,0.10000000000000001,1,247.34045482405170,5.6921219009098403,5.7247076346131278,0.29999999999999999,0,8.6536109339433787E-002,1.9713212961386453,1.9826065342129258,-0.20000000000000001,0,281.89316944376628,281.17736990186904,101663.50416666667,1.2569167796934684,1008.3580370942285,2.2994570888799099E-002,1.8671437087693553E-002,4.4607067863055285E-003,578.83628365844640,1071.6332697706648,3.5489277081601116E-003,54.014400260484685,492.79698611221829,272.40774980201422,8.2363187703154317E-002,-1.5840815750412580,3.9900129443137589E-002,1.5867230859237160,-3.1057847376882285E-014,4.0205156282413911E-016,1.5867230859237160,3.7691446948766436,253.02362713664544,272.97637286335453,1.4409256653616593,-9999.0,0.19005728603673000,0.46461633073223124,-34.695807212793426,-4.6086260227155028E-002,1.3544802044419380,7.2438648577880835E-002,1,10.319366168635989,5.0000000000000000,9.0000000000000000,16.000000000000000,26.000000000000000,46.000000000000000,131.00000000000000,4.4914722472179251E-002,1.0108503138714733,17.776608816337365,1.0211719764145428,11.244265365342031,1.1457039288940418,-0.25061966661307095,1.1457039288940418,0.25149556876180251,1.1457039288940418,9.3534282895746008E-003,1.2841365291476146,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,2,0,2,1,3,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,93,0.27784918050202129,0.60605705202958349,4.5326428932857703E-002,2.7840860483894832E-002,0.19161067313082594,3.3419624709060569E-002,4.1120610215876831E-007,1.4025799534909360E-002,-5.7958914602428456E-003,5.8161477867013731E-003,9.3534282895746006E-006,17.428123100365966,247.36814764215356,101896.80758333333,12.645859435558318,401.02919775687678,5.6920927736026190,-0.77930100743582054,96.034547402064007,95.660046075608989,96.409048656463625,-0.74900196823808862,2.5613956382827986E-004,-1.0000000000000000,0.0000000000000000,1.9662717731098316,85.181645295460996
2017-11-17T143000_AIU-0547.ghg,2017-11-17,15:00,321.624,1,18000,18000,3.6887133352163315E-002,0,29.393089274717784,0,20.066081579792243,0,-0.61791719117224442,0,0.44902175596931260,0,-2.1107944668275272E-002,1,0.62697460461847498,-0.99346323597227759,3.3988482994951316E-002,-2.2230877759236455E-002,3.6024697470358889E-003,-2.6006321991088811E-011,-3.3527918914360606E-013,-1.3429329508364465E-013,17.428813386035028,401.81144379951098,403.90376262494181,0.10000000000000001,1,224.69607281673126,5.1802409857066207,5.2072156174696484,0.29999999999999999,0,9.0000146111033547E-002,2.0542705854593732,2.0649676153344854,1.1000000000000001,0,282.06602223883732,281.67276061842176,101705.05600000000,1.2554624863607535,1008.0877702316250,2.3025672703838426E-002,2.9096609786811455E-002,4.0540810842969247E-003,526.99802327720340,1108.3003886848358,3.2291535018689490E-003,47.550107232441320,581.30236540763235,271.13075334144838,0.79289511287258663,-1.2955170241390777,2.4712390357241900E-002,1.5190976670670744,-8.2319600028897732E-015,-1.4921453007194730E-015,1.5190976670670744,3.5987143216786408,224.53212276421456,301.46787723578547,0.93211790063546207,-9999.0,0.17140977415151532,0.32785225111267108,-15.113171810726795,-0.10580174830442186,1.4648146005904013,0.13549010039821599,1,11.056926498016043,5.0000000000000000,9.0000000000000000,16.000000000000000,25.000000000000000,43.000000000000000,113.00000000000000,3.6488176315600626E-002,1.0109338716495984,29.859278145949681,1.0211243882602168,17.529886554297725,1.1446783478968225,-0.53981731401452293,1.1446783478968225,0.39226893458264828,1.1446783478968225,-2.4916746446811616E-002,1.2838232173796460,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,5,1,1,6,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,93,0.24102751871449549,0.37220865136322712,4.2468332147619484E-002,7.0396265962712770E-002,0.42138532400542178,5.3374596365001553E-002,1.0289316346552895E-005,2.3592676780697007E-002,-1.2494398147263832E-002,9.0793016863974473E-003,-2.4916746446811615E-005,17.430959100160038,224.72962630409052,101949.46888888889,13.582485067420423,401.81165142516056,5.1801914931893753,-2.0600382348481707,96.115384873920021,95.747075712203980,96.483695356580952,-0.73661994039681100,2.5625167552789202E-004,-1.0000000000000000,0.0000000000000000,2.0494269341429114,85.934681623670826
2017-11-17T150000_AIU-0547.ghg,2017-11-17,15:30,321.645,1,18000,18000,2.1351016988107242E-002,0,9.2383824438881064,0,10.782248304336354,0,-0.34438340641179443,0,0.24121022470659037,0,-3.4404998678443360E-005,2,-0.36168737133497936,0.31709980980759717,3.9034499095515561E-002,7.0938559583483265E-003,-6.3724545390597990E-004,1.7458214474455249E-012,2.3164471929593396E-014,8.9319224507331915E-015,17.486762239285497,402.70898251512989,404.87235859840655,0.10000000000000001,1,232.02350596855189,5.3433533738036658,5.3720581789986879,0.29999999999999999,0,8.9465279776602791E-002,2.0396180990823041,2.0505750461735128,0.0000000000000000,1,281.87799307081434,281.38738668823243,101744.29477777777,1.2571429015956945,1008.1714654092312,2.2993473373967802E-002,1.5630422560987057E-002,4.1875895772548041E-003,543.80155065814017,1087.0452660176431,3.3310370459392375E-003,50.025658328869824,543.24371535950286,271.55644690140497,0.84477910157002667,-0.73545561870713150,1.3490045927956378E-002,1.1201467220308321,4.6435133205304491E-014,9.9836746423153667E-017,1.1201467220308321,2.9286411607654563,207.04248050803221,318.95751949196779,0.69003583796847701,-9999.0,0.13032176684160504,0.23474333074803899,-21.138680416711463,-7.5643321554541773E-002,0.85681410621685061,5.5931945884919933E-002,1,10.728307809057920,5.0000000000000000,9.0000000000000000,16.000000000000000,25.000000000000000,44.000000000000000,120.00000000000000,2.1100751884745982E-002,1.0118604827320006,9.6155450391003505,1.0212256229917775,9.4622468742179411,1.1395019013628844,-0.30222275715371755,1.1395019013628844,0.21168040563872201,1.1395019013628844,-2.8630690414465101E-003,1.2828873186473844,800000009,800000009,800000009,800000009,800000009,800000019,899999999,899999999,89999,89999,89,89,2,3,0,0,6,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,93,0.11963034018336788,0.32465433013363504,2.5201991179075043E-002,1.5105782859774179E-002,6.2647964838148135E-002,1.8869777070059882E-002,1.8556379731602593E-006,7.5867340034364919E-003,-6.9864922301754928E-003,4.8934220678925342E-003,-2.8630690414465100E-006,17.488941466929525,232.05421258174246,101976.01063888888,12.882933323118412,402.70929405152640,5.3433380833319415,-1.6284664357933760,96.140984856923424,95.774466868294610,96.507501276228169,-0.73303621774580741,2.5600105839677993E-004,-1.0000000000000000,0.0000000000000000,2.0347176414132133,85.849056562423684
2017-11-17T153000_AIU-0547.ghg,2017-11-17,16:00,321.666,1,18000,18000,5.3021059836276026E-003,0,-0.69257343937235072,2,1.8391843558321166,1,8.0924804230022226E-002,2,4.1118515198229809E-002,1,1.5261775684515672E-002,1,-0.84037018246182726,0.64817231859490543,-2.8969241656869236E-002,1.4491142907290632E-002,-1.2465141421917989E-003,-1.1681863126787138E-012,-1.6491055152309506E-014,-5.8962510507699252E-015,17.525529881323834,402.04481406074279,404.33967914005876,0.10000000000000001,1,247.40443943709110,5.6755871305943115,5.7079832870801104,0.59999999999999998,0,8.8457571242298541E-002,2.0110396716247503,2.0225186524600396,0.29999999999999999,0,281.47293608940964,280.72628267415371,101800.98433333333,1.2606468324857905,1008.3409471444476,2.2926677275640954E-002,2.6644797848452916E-003,4.4609203774295930E-003,577.93534002844024,1039.1802329802363,3.5385964272272698E-003,55.614543241550649,461.24489295179592,272.38643716277340,0.64336674572116825,-0.20839932469692277,1.8785321246833373E-003,0.67627995454320478,-2.1349640602390476E-014,-6.6656262069633472E-017,0.67627995454320478,2.0716047899028771,183.94817346613601,342.05182653386396,0.15915317334732304,-9999.0,6.4852613706649409E-002,0.10553635386830677,34.764069152810144,4.5995766288790312E-002,-0.37656553415984462,-8.4011261825537292E-003,1,12.279796010978728,5.0000000000000000,11.000000000000000,22.000000000000000,40.000000000000000,84.000000000000000,327.00000000000000,5.2338427832481502E-003,1.0130426539746171,-0.58553155246340116,1.0253358662603798,1.5602337732815865,1.1787876838249842,6.8650873554628358E-002,1.1787876838249842,3.4882036657192216E-002,1.1787876838249842,1.1017065556325008E-002,1.4054301379712615,800000009,800000009,800000009,800000009,800000009,800100009,899999999,899999999,89999,89999,89,89,6,1,1,12,4,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,93,6.2051169951147560E-002,0.14117155691991626,7.8499808655497338E-003,9.6378612993787680E-002,0.62931655219278115,1.3443944691932313E-002,1.1566716176868134E-006,-4.6062707576000967E-004,1.5829228490961886E-003,8.0429526950947052E-004,1.1017065556325008E-005,17.527751350582982,247.44572297194082,102027.66186111110,12.534529933505571,402.04514512094329,5.6755775704414955,-0.79800134797565647,96.098375440173669,95.723734171337554,96.473014761183009,-0.74928046333789955,2.5527316725735248E-004,-1.0000000000000000,0.0000000000000000,2.0059113887879603,85.050555379867561
