file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,diagnostic_flags_LI-7200,,,,,,,,,diagnostic_flags_LI-7700,,,,,,,,,,,,,,,,RSSI_LI-7200,variances,,,,,,,covariances,,,,custom_variables,,,,,,,,,,,,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,ch4_flux,qc_ch4_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,head_detect_LI-7200,t_out_LI-7200,t_in_LI-7200,aux_in_LI-7200,delta_p_LI-7200,chopper_LI-7200,detector_LI-7200,pll_LI-7200,sync_LI-7200,not_ready_LI-7700,no_signal_LI-7700,re_unlocked_LI-7700,bad_temp_LI-7700,laser_temp_unregulated_LI-7700,block_temp_unregulated_LI-7700,motor_spinning_LI-7700,pump_on_LI-7700,top_heater_on_LI-7700,bottom_heater_on_LI-7700,calibrating_LI-7700,motor_failure_LI-7700,bad_aux_tc1_LI-7700,bad_aux_tc2_LI-7700,bad_aux_tc3_LI-7700,box_connected_LI-7700,mean_value_RSSI_LI-7200,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,co2_mean,h2o_mean,air_p_mean,vin_sf_mean,co2_mean,h2o_mean,dew_point_mean,avg_signal_strength_7200_mean,co2_signal_strength_7200_mean,h2o_signal_strength_7200_mean,delta_signal_strength_7200_mean,flowrate_mean,hit_power_mean,hit_vin_mean,ch4_mean,rssi_77_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
not_enough_data,2017-12-08,11:30,342.479,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2017-12-08T113000_AIU-0547.ghg,2017-12-08,12:00,342.499,1,18000,18000,1.5659616515346128E-002,0,17.995224166142162,0,-7.1813273067775283,0,60.806777048207415,1,-0.15972657840089954,0,1.6966394050133917E-002,2,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-51.567702514928783,-1.8885107215109148E-013,-2.4668518344515925E-014,211454279012471.62,4709819630200212.0,4792481726170511.0,0.10000000000000001,1,774.38717171626274,17.248286105902650,17.551010964465586,0.80000000000000004,0,0.10115369710984203,2.2575878943916345,2.2972108442793471,-0.50000000000000000,0,276.98250106811525,275.31115019878450,103013.44405475733,1.2950481067566544,999.04422467410745,2.2219788142759288E-002,-1.0350282280378291E-002,1.3988167616939854E-002,1777.2819650385165,712.03059053248853,1.0801272588994486E-002,-9999.0,-9999.0,288.80596588983980,-0.66271135875964648,-0.16650496701530454,-2.6663595187684491E-002,0.68382833838482837,-4.2273672278078279E-014,-2.4387164334417327E-016,0.68382833838482837,2.2768699321601518,331.89647220273281,194.10352779726722,-2.2346234562807408,-9999.0,0.10996326101938379,0.16568662129602535,-6.4884276287399567,-0.24643875087969863,-2.5058353974701575,0.12648500304458965,1,5.9339525331331417,3.0000000000000000,5.0000000000000000,8.0000000000000000,13.000000000000000,21.000000000000000,53.000000000000000,1.5433309557747245E-002,1.0146635403606792,17.333066171552211,1.0227513380328468,-6.3173841503899366,1.1367564700548194,53.491472140268570,1.1367564700548194,-0.14051081529643444,1.1367564700548194,8.6709665203242824E-003,1.2849995934704577,800000009,800000009,800000009,800001119,800001119,800001119,899999999,899999999,89999,89999,89,89,1,6,0,1,34,3,3,0,0,18000,0,0,0,0,0,0,0,21,0,0,0,0,301,0,0,0,0,11,18000,18000,18000,18000,78,0.11772549328110285,0.19548434194960301,1.8163407361344842E-002,5.6512060656166249E-002,-4.3632535651546563E+018,0.24346264400490780,4.4148697138378566E-006,1.3396914328524922E-002,1.2094354629516602,-3.1769318762088785E-003,8.6709665203242817E-006,30.281950832534836,379.85880741126840,103314.79569444444,11.320311644554145,716.89084034494272,10.379678425094720,-0.32064102979639675,79.308707926028802,78.220418483516269,80.397006269220597,-2.1757475567886377,2.4843144985142219E-004,-1.0000000000000000,0.0000000000000000,2.2393411500255289,40.688837375813165
2017-12-08T120000_AIU-0547.ghg,2017-12-08,12:30,342.520,1,18000,18000,8.6242551432231199E-003,0,11.182024534132381,0,-5.8941621897184568E-003,2,-1.9342084585948345,1,-1.3114964066503770E-004,2,-1.6189474295561816E-003,1,0.54744887614732407,-23.846431785991680,-211580115224129.69,-0.53060144244614504,3.4119922065639543E-003,-8.5644109522887126E-012,-1.0362235516538736E-013,-4.4630773680611116E-014,20.136942963523197,449.36778246619241,451.82434327541876,0.10000000000000001,1,243.64051040237919,5.4369819727240696,5.4667043457018627,0.10000000000000001,1,0.10493743808314181,2.3335395869953581,2.3462963579964531,0.20000000000000001,0,277.04663480631513,275.72934906632923,102982.53770846377,1.2985072974282426,1008.1294957177154,2.2260218665684093E-002,-8.4984967150944426E-006,4.4013231989586208E-003,560.06439208354050,733.56494774646046,3.3895251937941799E-003,76.348303419360448,173.50055566291996,271.95748041228063,-0.76485810532661258,-0.10147542839928775,-3.9209881255557986E-002,0.77255588706621658,-1.5985253133436964E-014,-4.2530839799281368E-016,0.77255588706621658,2.4678240636410682,338.44257680077851,187.55742319922146,-2.9092087180139901,-9999.0,8.1496433046162664E-002,0.15719682109681510,-4.3076045073990654,-0.37120399452954361,-1897.1355341456097,0.10481444132603737,1,10.168967356600682,5.0000000000000000,8.0000000000000000,14.000000000000000,21.000000000000000,34.000000000000000,80.000000000000000,8.5067685072670093E-003,1.0138109595736320,10.957489775361164,1.0222309055945515,-5.1843815382108440E-003,1.1369074876677694,-1.7012892250033758,1.1369074876677694,-1.1535647542798368E-004,1.1369074876677694,-4.3583129779562503E-003,1.2841267384575283,800000009,800000009,800000009,800000019,800000019,800000019,899999999,899999999,89999,89999,89,89,7,5,2,1,13,0,0,0,0,18000,0,0,0,0,0,0,0,309,0,0,0,0,301,151,0,0,0,16,18000,18000,18000,18000,100,0.11740575709516343,0.18157411199730070,1.5413773101166069E-002,3.7251377658784696E-002,10.999393196309132,3.8219606650134077E-003,3.6759443902221184E-006,8.3704799020463041E-003,-3.8078155943237602E-002,-2.5819018870235327E-006,-4.3583129779562504E-006,20.139599447919569,243.67063717301929,103257.41694444444,11.279916733052996,449.36800015111163,5.4369816744855441,-1.2192154337399723,102.37638686667549,102.45837983894349,102.29437769296435,0.16400805160072129,2.4794362772889955E-004,-1.0000000000000000,0.0000000000000000,2.3310976185659547,43.225503107015371
2017-12-08T123000_AIU-0547.ghg,2017-12-08,13:00,342.541,1,18000,18000,1.2898904248356552E-002,0,14.332676374218357,0,1.5355873109065927,1,0.87505296274552247,0,3.4182287208924647E-002,1,2.7770683548351698E-002,1,0.57472726420669096,0.45509594812872017,-0.25470963101378469,1.0130469492724302E-002,-2.9839787381285327E-003,-1.2997568407919082E-011,-1.6589284855059293E-013,-6.6676115073266307E-014,19.832246445937539,443.68657574658653,446.21345507896604,0.10000000000000001,1,253.12641201945297,5.6629384515810193,5.6951899618047817,0.10000000000000001,1,0.10173727151803580,2.2669830143571628,2.2798939132641114,0.0000000000000000,1,277.45048160637748,276.16924297225643,102941.40804565229,1.2958102500256794,1008.2597803165113,2.2304640374193073E-002,2.2150122111383170E-003,4.5751086291444254E-003,583.10722827820075,756.83645628762326,3.5306933473120464E-003,77.045340962883060,173.72922800942246,272.50838466506133,-0.83410210194356271,-5.0196168422602357E-003,-4.5454412881627097E-002,0.83535478490897541,-2.1689744088059661E-014,-6.5537549885487229E-016,0.83535478490897541,2.9968215106630369,345.65519882124732,180.34480117875310,-3.1191931164751341,-9999.0,9.9771316758668460E-002,0.22972007528900146,-6.1648902152189153,-0.25937201542577992,9.3336772662939715,0.10995316535348153,1,9.1757254145158509,4.0000000000000000,7.0000000000000000,12.000000000000000,19.000000000000000,32.000000000000000,78.000000000000000,1.2729322923834599E-002,1.0133221009111510,14.127600679801152,1.0219461956881764,1.3503540773081513,1.1371738247850467,0.76949798146376491,1.1371738247850467,3.0058981717580358E-002,1.1371738247850467,1.7707388206220830E-002,1.2836792906897119,800000009,800000009,800000009,800000019,800000019,800000019,899999999,899999999,89999,89999,89,89,2,1,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,301,0,0,0,0,16,18000,18000,18000,18000,100,0.19393479352247708,0.24700054399535287,1.8504813060172928E-002,3.6769456492754975E-002,8.7933957894438812,2.0895209033523605E-003,5.4148076037154006E-006,1.0813207988306600E-002,1.7261150799890122E-002,6.7427417461357836E-004,1.7707388206220830E-005,19.834788861675566,253.15825318084762,103193.25436111112,11.321287310600283,443.68681458119767,5.6629400707376067,-0.67104225219124380,102.34779250081380,102.43371691068013,102.26186238818698,0.17186294153829468,2.4887663167222243E-004,-1.0000000000000000,0.0000000000000000,2.2624734549787426,63.872034420225937
2017-12-08T130000_AIU-0547.ghg,2017-12-08,13:30,342.562,1,18000,18000,1.4360878328311974E-002,1,12.801732545914396,0,1.1436005432634941,0,0.18182422902703740,2,2.5457064023031613E-002,0,2.5620387459760695E-003,2,2.3274468304597954E-002,7.9206764827478241E-003,-0.69961911711303038,1.7631783188176882E-004,-4.5996893313365473E-003,-1.2402722085446825E-011,-1.6418718778730637E-013,-6.2983819685014890E-014,19.125618934558144,428.07630876952180,430.51598800302060,0.10000000000000001,1,253.18487070200536,5.6668725470926589,5.6991690115051989,0.10000000000000001,1,9.7124205963784543E-002,2.1643523447293638,2.1766873545424241,0.0000000000000000,1,277.41810369703501,276.18706343431137,102911.68520820385,1.2953505868942159,1008.2621912039085,2.2312522049826623E-002,1.6496177486924485E-003,4.5766697650865412E-003,583.34383752890346,757.79281449717473,3.5331514196938348E-003,76.979330810358107,174.44897696827124,272.51394069676655,-1.0931594037626697,-0.20155819242023282,-4.7851563823421671E-002,1.1126153689064424,-2.5722801014890533E-014,-6.4848735760578733E-016,1.1126153689064424,3.0425430852521598,335.55305940451677,190.44694059548326,-2.4649475919241000,-9999.0,0.10529235472850335,0.22435101966404350,-8.1108830639772229,-0.19714252904244439,11.194234404070915,9.3091730447666235E-002,1,13.301743519032158,6.0000000000000000,11.000000000000000,18.000000000000000,28.000000000000000,47.000000000000000,116.00000000000000,1.4192166669144723E-002,1.0118876605031737,12.615696009105360,1.0212357489546116,1.0036697297600072,1.1394191827793256,0.15957624004848073,1.1394191827793256,2.2342140985318087E-002,1.1394191827793256,-1.3575553310842491E-003,1.2828881069380105,800000009,800000009,800000009,800000019,800000019,800001019,899999999,899999999,89999,89999,89,89,8,5,1,1,0,0,0,0,0,18000,0,0,0,0,0,0,0,182,0,0,0,0,301,151,0,0,0,16,18000,18000,18000,18000,100,0.22695211625144665,0.19839375632259804,2.3356166754042319E-002,3.6929941700477226E-002,89.039332386122283,2.2323136335669147E-003,3.8531943365437583E-006,9.6594057094973474E-003,3.5808460158600944E-003,5.0135136978258739E-004,-1.3575553310842491E-006,19.127944465398475,253.21587589911849,103152.40716666667,11.286880059030318,428.07629307381831,5.6668740659629275,-0.66695599598521915,102.31530746502347,102.40263833999634,102.22795750935872,0.17467063774541017,2.4899965637369966E-004,-1.0000000000000000,0.0000000000000000,2.1677695033693847,69.333725574071110
2017-12-08T133000_AIU-0547.ghg,2017-12-08,14:00,342.583,1,18000,18000,2.5351372358899896E-002,0,13.563628038220443,0,1.1350232337470041,0,0.15815102632507097,0,2.5267178439756743E-002,0,8.7571559916559460E-002,1,5.7035955813717169E-002,-0.10396384581018521,-0.67908340401586231,-2.3143782129439955E-003,-1.7872961819412291E-003,1.1659876655173370E-011,1.5855988272844857E-013,6.0210720091542751E-014,18.458493296480519,412.92174969312089,415.25349124043970,0.10000000000000001,0,251.01264953220786,5.6152244267796263,5.6469332241563022,0.10000000000000001,1,9.5318261595236528E-002,2.1244666908964489,2.1364634124368855,0.0000000000000000,1,277.41713925001358,276.23074144490562,102911.01016666666,1.2951626166787753,1008.2345462177400,2.2316197077976198E-002,1.6373131628962369E-003,4.5342109836510429E-003,578.02342515834096,760.14137421662906,3.5008816076534527E-003,76.041568682408396,182.11794905828805,272.38852219441048,-1.1207077229388003,-0.88637204996088470,-2.6765391696723696E-002,1.4291107715636719,-3.8096378132199569E-014,6.3168084566233579E-016,1.4291107715636719,4.1218764383836310,307.65939208364631,218.34060791635366,-1.0731384004616897,-9999.0,0.13990672380202374,0.34969416281495608,-17.958945070456807,-8.9036410197078891E-002,11.950088451884296,7.4242298680655974E-002,1,13.645269067777622,6.0000000000000000,11.000000000000000,20.000000000000000,31.000000000000000,54.000000000000000,144.00000000000000,2.5073761653807133E-002,1.0110717613466111,13.364204034219936,1.0210854901727673,0.99268891523684832,1.1433826008585941,0.13831855251803857,1.1433826008585941,2.2098620724841360E-002,1.1433826008585941,6.4830807742443403E-002,1.2834662053451817,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,5,0,2,1,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,100,0.32826240687004593,0.33698891166866046,3.4137007091205783E-002,2.3001965152459562E-002,4.0266681637498287,1.9083066090668027E-003,1.8019319735444783E-005,1.0234278308525815E-002,3.1041794172127117E-003,4.9594275210403690E-004,6.4830807742443408E-005,18.460791855985917,251.04373579938212,103153.97333333333,11.269220170762804,412.92195592015821,5.6152261787735434,-0.79208477173250247,102.30643668852912,102.39596579212612,102.21691516325208,0.17904317627474708,2.4890944012925808E-004,-1.0000000000000000,0.0000000000000000,2.1189643720719689,83.404609809875708
2017-12-08T140000_AIU-0547.ghg,2017-12-08,14:30,342.604,1,18000,18000,1.4875366982981354E-002,0,11.002915213057701,0,8.9008066953822129E-002,2,7.0589425048677004E-002,2,1.9815122092615841E-003,2,-1.6557137170809141E-002,1,4.8637981451596687E-002,1.0369984850675919E-002,-3.5123502434690285E-002,2.3085830638398813E-004,-2.3568044376562521E-003,9.6923340920800277E-012,1.3217576766297767E-013,4.8937808729119782E-014,18.407642583363078,412.13750827337964,414.46696974972986,0.10000000000000001,1,251.02769531127336,5.6203790563981926,5.6521462608664654,0.10000000000000001,1,9.2942492834076434E-002,2.0718437025803831,2.0835540662170229,1.0000000000000000,0,277.40892862277559,276.26800813632542,102869.98038888889,1.2944690784448607,1008.2379141212039,2.2328109823315373E-002,1.2840199116015064E-004,4.5359519069474311E-003,578.32337083138736,762.15028627435618,3.5041021701320190E-003,75.880489877977240,183.82691544296884,272.39561999025437,-0.87326393382860279,6.7494926357316081E-003,-4.4132679185073888E-002,0.87440445284131807,3.0642115833727180E-014,5.2653858570896027E-016,0.87440445284131807,2.7118511572178692,346.44283260374414,179.55716739625564,-2.8930445667625766,-9999.0,0.10719832613374917,0.18005519774849746,-9.9557533301665764,-0.16061064863418489,123.61705617948172,7.8643902633746668E-002,1,9.4609877439031109,4.0000000000000000,8.0000000000000000,13.000000000000000,21.000000000000000,35.000000000000000,89.000000000000000,1.4683651831118482E-002,1.0130563673170578,10.791960854004543,1.0217974007792294,7.8256200045508886E-002,1.1373931637628794,6.2062466434336064E-002,1.1373931637628794,1.7421523817727855E-003,1.1373931637628794,-1.5636434367010510E-002,1.2834626190580023,800000009,800000009,800000009,800000009,800000009,810000019,899999999,899999999,89999,89999,89,89,5,8,1,0,7,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,100,0.15928987957825019,0.18075700254666888,2.0063513372075830E-002,2.3145730691516871E-002,3.8290651489130956,1.5008892265542964E-003,1.9115990202893743E-006,8.2688603218661842E-003,1.3935720706906376E-003,3.9118891684629190E-005,-1.5636434367010511E-005,18.409941091452151,251.05916258432939,103116.73741666667,11.269367372671763,412.13775262345689,5.6203811943176678,-0.78452317079239187,102.28593797895644,102.37702745543587,102.19485439893934,0.18215989314475015,2.4898276406586063E-004,-1.0000000000000000,0.0000000000000000,2.0664292225009859,86.312767239464677
2017-12-08T143000_AIU-0547.ghg,2017-12-08,15:00,342.624,1,18000,18000,1.0478142848201078E-002,0,6.3282561756934017,0,-5.9935768620409122E-003,2,-0.16132945570083687,0,-1.3343058065715536E-004,2,3.4034708059373841E-003,2,6.0475196137788935E-003,-4.2264132208997940E-002,0.22078995204699683,-9.4089520021556762E-004,-3.4625204457372520E-003,6.7223285696950755E-012,9.0250992330207297E-014,3.2301963678788422E-014,18.620162553570623,417.06790927532109,419.41637598471459,0.10000000000000001,1,249.98601755131739,5.5993681788883443,5.6308976479971165,0.10000000000000001,1,8.9473135426621525E-002,1.9945230903123399,2.0057540456904555,-0.10000000000000001,0,277.37877445729572,276.27264233907061,102859.63141666667,1.2943274454522045,1008.2264699338606,2.2330730888025077E-002,-8.6463016265836661E-006,4.5184645687747146E-003,576.10343925479174,762.40042734168742,3.4909748569814801E-003,75.564417148024177,186.29698808689577,272.34301094479247,-0.79789948899066709,8.9039468458169777E-002,-3.4443644152262559E-002,0.80359068318228255,-5.1052396400544754E-014,3.6102416132806502E-016,0.80359068318228255,2.5984534660243988,352.36742625648054,173.63257374351949,-2.4565742851412673,-9999.0,8.9974631642988065E-002,0.21449520204063260,-10.234376589221961,-0.15623814367784167,-1055.8396632521913,5.3896643404589335E-002,1,10.821307767976782,5.0000000000000000,9.0000000000000000,15.000000000000000,24.000000000000000,40.000000000000000,101.00000000000000,1.0337968825286415E-002,1.0135591454456510,6.2022714966486605,1.0220826783479950,-5.2712778113895090E-003,1.1370254189773019,-0.14188729029993430,1.1370254189773019,-1.1735056967958514E-004,1.1370254189773019,1.1554873229176479E-003,1.2838894133751264,800000009,800000009,800000009,800000009,800000009,800000019,899999999,899999999,89999,89999,89,89,10,8,0,2,2,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,100,9.3359890295719630E-002,0.31963117126024465,1.5999342525300927E-002,2.2461686621366689E-002,0.65869668924983782,2.6547231274995113E-003,6.3035433151264929E-007,4.7527888178685506E-003,-3.1862929089622955E-003,-2.6352838738574530E-006,1.1554873229176479E-006,18.622486167804716,250.01663424525134,103099.18152777778,11.215244958771599,417.06815000684850,5.5993691877071354,-0.83804283696743043,102.27104700300428,102.36530783949958,102.17679464467366,0.18853429951353215,2.4905156567466393E-004,-1.0000000000000000,0.0000000000000000,1.9893701410525371,86.438316494199952
2017-12-08T150000_AIU-0547.ghg,2017-12-08,15:30,342.645,1,18000,18000,3.1477455140237519E-003,1,5.5975678885637921,0,1.0485966169152321,1,6.8021168985835254E-002,2,2.3342325885254846E-002,1,-3.0243983449773554E-002,2,-0.10628091760741755,-0.13220925073813933,-8.2251427607793637E-002,-2.9430491821093615E-003,4.3241015423856246E-003,-2.5834581084956361E-011,-3.4428938110870089E-013,-1.3068273703859051E-013,18.551305943813041,415.23154188437456,417.54207814588221,0.10000000000000001,0,247.22745149805263,5.5336608750133491,5.5644526690388734,0.10000000000000001,1,9.3840710186296250E-002,2.0910641388816429,2.1026997663103741,0.0000000000000000,1,277.19725628068716,276.19121477423772,102849.87133333333,1.2946184249453039,1008.1892555475315,2.2326267693528981E-002,1.5125827173645139E-003,4.4663340978022712E-003,569.28897378750924,758.01575500371848,3.4499231678947941E-003,75.102525248266971,188.72678121620925,272.18038867424013,-0.54445672432514713,7.5741991853805160E-002,-3.3705215711416832E-002,0.55073225396652536,5.5197322862615901E-014,-1.3926017479956623E-015,0.55073225396652536,2.3503647656037296,353.91986146933255,172.08013853066743,-3.5087361791025322,-9999.0,4.9309308828800566E-002,0.17483190568134194,-1.9043113102578682,-0.83967363497067871,5.3381517718708187,8.6973431657139999E-002,1,10.080745990089264,5.0000000000000000,8.0000000000000000,13.000000000000000,20.000000000000000,31.000000000000000,70.000000000000000,3.0967490947841490E-003,1.0164677271805767,5.5293314543092755,1.0239047506962620,0.92210184597055556,1.1371809106525916,5.9815609239166782E-002,1.1371809106525916,2.0526484103447915E-002,1.1371809106525916,-2.4987820225496584E-002,1.2870826613732402,800000009,800000009,800000009,800000009,800000009,800000019,899999999,899999999,89999,89999,89,89,5,0,1,15,5,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,100,0.13910889591219405,0.19740975113394130,1.3145164316548514E-002,1.3036145774264761E-002,0.82252780334451514,1.8279456535841244E-003,6.2650627601861295E-006,4.2363201750047763E-003,1.3428924086230222E-003,4.6083054287762894E-004,-2.4987820225496586E-005,18.553627284435869,247.25818085491636,103097.48255555556,11.196324233108097,415.23176455766622,5.5336626869247016,-0.99963827007016770,102.25889994472928,102.35297874069214,102.16482961697048,0.18813683616659685,2.4905650151615390E-004,-1.0000000000000000,0.0000000000000000,2.0857164021266867,85.923799175686298
