file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,diagnostic_flags_LI-7200,,,,,,,,,diagnostic_flags_LI-7700,,,,,,,,,,,,,,,,AGC_LI-7200,variances,,,,,,,covariances,,,,custom_variables,,,,,,,,,,,,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,ch4_flux,qc_ch4_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,head_detect_LI-7200,t_out_LI-7200,t_in_LI-7200,aux_in_LI-7200,delta_p_LI-7200,chopper_LI-7200,detector_LI-7200,pll_LI-7200,sync_LI-7200,not_ready_LI-7700,no_signal_LI-7700,re_unlocked_LI-7700,bad_temp_LI-7700,laser_temp_unregulated_LI-7700,block_temp_unregulated_LI-7700,motor_spinning_LI-7700,pump_on_LI-7700,top_heater_on_LI-7700,bottom_heater_on_LI-7700,calibrating_LI-7700,motor_failure_LI-7700,bad_aux_tc1_LI-7700,bad_aux_tc2_LI-7700,bad_aux_tc3_LI-7700,box_connected_LI-7700,mean_value_AGC_LI-7200,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,co2_mean,h2o_mean,air_p_mean,vin_sf_mean,co2_mean,h2o_mean,dew_point_mean,avg_signal_strength_7200_mean,co2_signal_strength_7200_mean,h2o_signal_strength_7200_mean,delta_signal_strength_7200_mean,flowrate_mean,hit_power_mean,hit_vin_mean,ch4_mean,rssi_77_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
not_enough_data,2018-01-18,17:00,18.708,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2018-01-18T170000_AIU-0547.ghg,2018-01-18,17:30,18.729,0,18000,18000,1.8025631995318301E-004,1,-0.23247992189599526,1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-1.1065095445673470E-003,1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-1.6413666666892295E-013,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,-9999.0,-9999.0,-9999.0,0,8.6141365994050242E-002,2.0009922375600309,2.0009922375600309,0.0000000000000000,1,286.46909760030110,280.16096908189854,100272.99840835188,1.2469066733802454,1005.2698796961398,2.3229167711343687E-002,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-0.17611656195795006,-0.27668985508629912,-7.5256502523809318E-002,0.33650833641335620,8.3295634302769649E-015,-1.9054337573455686E-015,0.33650833641335620,0.43801410220060732,288.47726426443057,237.52273573556943,-12.922879406090480,-9999.0,1.2023427129081877E-002,1.6648531089348553E-003,0.65227710891812551,2.4514121040551617,-9999.0,-1.5425546382523820E-002,1,89.746123193689627,39.000000000000000,87.000000000000000,188.00000000000000,375.00000000000000,885.00000000000000,4607.0000000000000,1.6516109795489361E-004,1.0913969583952026,-0.19675065271965322,1.1815966995913965,-9999.0,1.0000000000000000,-9999.0,1.0000000000000000,-9999.0,1.0000000000000000,-2.7836207452097483E-004,3.9750729206610025,800009909,811119909,800009909,800009919,800009919,800009919,899999999,899999999,89999,89999,89,89,0,0,0,0,0,0,0,0,0,18000,0,0,0,0,0,0,0,591,0,0,0,0,301,151,0,0,0,21,18000,18000,18000,18000,10,3.1866320160837546E-003,1.3763815320669048E-004,5.4360485792655883E-006,4.7287210774947996E-003,-9999.0,-9999.0,3.9000467505172300E-007,-1.5696382100651067E-004,-9999.0,-9999.0,-2.7836207452097483E-007,2632.1257636168689,56938.582447203968,100506.83944444444,12.089766773117912,61009.121264059300,1319.6312039720572,106.84261253988521,3.8227564694220590,2.4236078413612916E-002,7.6212266148989389,-7.5969402570988347,2.5741141921187391E-004,-1.0000000000000000,0.0000000000000000,1.9131864447254232,54.603928269500649
2018-01-18T173000_AIU-0547.ghg,2018-01-18,18:00,18.749,0,18000,18000,7.5362350338800113E-005,1,-7.1775624245865949E-002,1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,8.4575905718693224E-004,2,8.1652022842203090E-002,-9999.0,-9999.0,-9999.0,-1.3026069856634875E-004,-9999.0,-9999.0,-8.7383458271986200E-014,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,-9999.0,-9999.0,-9999.0,0,8.5998380111010617E-002,1.9979659428891712,1.9979659428891712,0.0000000000000000,1,286.62890005493165,280.22611901660287,100281.50014125093,1.2467224747985697,1005.2710480391394,2.3232599733972965E-002,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-7.5187624659901600E-002,-0.17835387232651481,-5.0052244819906652E-002,0.19992125921815582,-5.4686264145108681E-015,-1.0161058633800737E-015,0.19992125921815582,0.24802173229887226,278.85855116475835,247.14144883524168,-14.498803821018177,-9999.0,7.7748554413953879E-003,4.2985822942022281E-004,0.57129384732013355,2.7989098911194383,-9999.0,-7.3659996150035314E-003,1,77.558646363692304,34.000000000000000,74.000000000000000,159.00000000000000,312.00000000000000,723.00000000000000,3601.0000000000000,6.8326080317356765E-005,1.1029807357419263,-5.9610132507125040E-002,1.2040842928387518,-9999.0,1.0000000000000000,-9999.0,1.0000000000000000,-9999.0,1.0000000000000000,1.9615647670881818E-004,4.3116550183678504,800009909,811119909,800009909,800009919,800009919,810009919,899999999,899999999,89999,89999,89,89,0,0,0,4,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,301,0,0,0,0,21,18000,18000,18000,18000,13,5.8820953440855150E-004,2.6765891029652695E-004,3.8480141353672163E-006,7.2349021564335357E-004,-9999.0,-9999.0,2.5015551399709325E-008,-4.7562768261852867E-005,-9999.0,-9999.0,1.9615647670881819E-007,3136.2194243963704,54200.327163359441,100537.15441666667,12.068158802668254,72726.122366149561,1256.8123899250966,105.44401290003465,6.6464624607564780,0.11692212162875296,13.176003076394391,-13.059080678410270,2.5810667600631459E-004,-1.0000000000000000,0.0000000000000000,1.9461873834563628,58.224965739462085
2018-01-18T180000_AIU-0547.ghg,2018-01-18,18:30,18.770,0,18000,18000,4.4431095443607011E-006,1,3.2889468694844376E-003,1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.4105652910242016E-004,1,0.32502165932950888,-9999.0,-9999.0,-9999.0,-1.3046679358033657E-004,-9999.0,-9999.0,1.4498010274296539E-014,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,-9999.0,-9999.0,-9999.0,0,8.5815590327035229E-002,1.9949330148063198,1.9949330148063198,0.40000000000000002,0,286.67381120554609,280.48560961736433,100313.29164426101,1.2459639459984926,1005.2757265627720,2.3246743478706092E-002,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-6.0145730860532473E-002,-0.14742453785406145,-4.1831347162938966E-002,0.16462492189124217,1.5654395528277888E-015,1.6894378071683677E-016,0.16462492189124217,0.17954084832529976,278.19429985122508,247.80570014877492,-14.720318078129214,-9999.0,1.8883860028658327E-003,3.0036775255527656E-005,-0.17867974610258391,-8.9489717490530758,-9999.0,1.3905141526682587E-003,1,36.424768435470178,16.000000000000000,28.000000000000000,45.000000000000000,66.000000000000000,101.00000000000000,209.00000000000000,4.2866341370575637E-006,1.0365030936394646,3.1705040799648713E-003,1.0373577155342688,-9999.0,1.0000000000000000,-9999.0,1.0000000000000000,-9999.0,1.0000000000000000,1.0735666258231258E-004,1.3139056832571447,800009909,811119909,800009909,800009919,800009919,800009919,899999999,899999999,89999,89999,89,89,14,11,0,11,0,0,3,0,0,18000,0,0,0,0,0,0,0,559,0,0,0,0,301,151,0,0,0,16,18000,18000,18000,18000,13,1.9463524506571418E-005,4.0195120280360776E-005,4.1490572412311682E-007,4.1530158416954871E-005,-9999.0,-9999.0,1.4807477363850565E-006,2.5312651782159899E-006,-9999.0,-9999.0,1.0735666258231258E-007,2948.5311460785570,49867.213332430823,100555.93433333334,12.054771379311880,68478.999998045969,1158.1552156682753,103.13277541902326,8.9337379202048446,0.38599714957590381,17.481478101359578,-17.095481126944364,2.5790913796744364E-004,-1.0000000000000000,0.0000000000000000,1.9028438048763978,55.046293026327639
2018-01-18T183000_AIU-0547.ghg,2018-01-18,19:00,18.791,0,18000,18000,1.5819891778941427E-006,1,2.7175929350940488E-004,2,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-1.0601349249208605E-005,2,-0.22927795116628985,-9999.0,-9999.0,-9999.0,2.9528153374865619E-005,-9999.0,-9999.0,1.4552117521333136E-014,-9999.0,-9999.0,-9999.0,-9999.0,0,-9999.0,-9999.0,-9999.0,-9999.0,0,8.5904760213911968E-002,1.9956189714741546,1.9956189714741546,0.0000000000000000,1,286.68302376386856,280.30268535272398,100317.54248849688,1.2468298894632754,1005.2724243396150,2.3230598240479940E-002,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-6.8373046929016815E-002,-0.13460665311581455,-3.8579206672393777E-002,0.15582740387001984,6.6771047322481089E-016,1.6939826716350548E-016,0.15582740387001984,0.16705106477706658,282.92815615110726,243.07184384889271,-14.334149451958082,-9999.0,1.1264142908056572E-003,2.2335795966845629E-005,-0.45896717901750250,-3.4839092490729557,-9999.0,1.9248428525065413E-004,1,91.355060818931648,41.000000000000000,71.000000000000000,113.00000000000000,165.00000000000000,254.00000000000000,531.00000000000000,1.5241026036590494E-006,1.0379807593636543,2.6171978656734120E-004,1.0383597551936734,-9999.0,1.0000000000000000,-9999.0,1.0000000000000000,-9999.0,1.0000000000000000,-8.0558775058799828E-006,1.3159769673099775,800009909,811119909,800009909,800009919,800009919,800009919,899999999,899999999,89999,89999,89,89,10,15,0,20,0,0,1,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,301,0,0,0,0,16,18000,18000,18000,18000,17,3.0641570555267752E-005,1.3756737877265360E-005,2.7328350115814933E-007,2.6513876387190742E-005,-9999.0,-9999.0,3.7755069155015885E-008,2.0880725449669320E-007,-9999.0,-9999.0,-8.0558775058799821E-009,1361.6381392932788,43719.220516374029,100554.53475000001,12.042972807672289,31610.196582102213,1014.8725856609566,99.445944276597615,10.585095648765469,1.0689888181653155,20.101202863481248,-19.032213935851892,2.5792930670367131E-004,-1.0000000000000000,0.0000000000000000,1.9445787827538119,61.992756374274784
2018-01-18T190000_AIU-0547.ghg,2018-01-18,19:30,18.812,0,18000,18000,6.3069860699358580E-006,1,-3.4541033328082272E-003,1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2.5381121233573358E-004,1,-0.15561898740086294,-9999.0,-9999.0,-9999.0,8.9521106249251610E-005,-9999.0,-9999.0,-4.8311586494805789E-015,-9999.0,-9999.0,-9999.0,-9999.0,1,-9999.0,-9999.0,-9999.0,-9999.0,1,8.6046373873847906E-002,1.9976973400070437,1.9976973400070437,-0.29999999999999999,0,286.68469128841826,280.17860320625431,100333.94024315939,1.2475859657597843,1005.2701956823091,2.3216519768001570E-002,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-8.0073571680319505E-002,-0.12852068166393416,-3.6993878929565308E-002,0.15587780334371196,-1.2083851279236284E-015,-5.6145987703834132E-017,0.15587780334371196,0.17091412296354430,287.92457203106784,238.07542796893216,-13.728781124248757,-9999.0,2.2484109699954136E-003,2.3715758409309020E-005,0.28721892992659293,5.5671818024274042,-9999.0,-1.2249160995309461E-003,1,523.89987989951339,230.00000000000000,513.00000000000000,1129.0000000000000,2279.0000000000000,5508.0000000000000,-9999.0,5.3891607558262375E-006,1.1703095074900776,-2.5888819612014105E-003,1.3342065743334615,-9999.0,1.0000000000000000,-9999.0,1.0000000000000000,-9999.0,1.0000000000000000,3.8402334171534149E-005,6.6092652389831015,800000009,811110009,800000009,800001119,800000019,800001019,899999999,899999999,89999,89999,89,89,3,8,0,6,0,0,1,0,0,18000,0,0,0,0,0,0,0,488,0,0,0,0,301,151,0,0,0,21,18000,18000,18000,18000,13,3.1512747214678735E-005,1.5340873814303693E-005,5.7789578963561848E-007,2.4755736844079461E-005,-9999.0,-9999.0,1.8219858596380809E-007,-2.0642341662011857E-006,-9999.0,-9999.0,3.8402334171534147E-008,1027.3406357556714,35074.500051217437,100565.95605555555,12.031482084539201,23830.448816709497,813.60808491977127,93.438915144602177,13.159352093590750,2.4949575591286246,23.823746923022910,-21.328789823638047,2.5803745730890014E-004,-1.0000000000000000,0.0000000000000000,1.9299976048568885,58.475707640774537
2018-01-18T193000_AIU-0547.ghg,2018-01-18,20:00,18.833,0,18000,18000,1.9929571831521826E-006,1,-2.2191499591120772E-003,1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-1.9194290017175808E-004,1,5.2382000648923798E-003,-9999.0,-9999.0,-9999.0,-1.9841208262895709E-004,-9999.0,-9999.0,9.1222860961294746E-015,-9999.0,-9999.0,-9999.0,-9999.0,1,-9999.0,-9999.0,-9999.0,-9999.0,1,8.5859198743396606E-002,1.9930915034530354,1.9930915034530354,-0.29999999999999999,0,286.66865538872611,280.18277931741432,100348.53872482202,1.2477488902759915,1005.2702705411905,2.3213488276424468E-002,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9.4173840118312938E-002,-0.13805973712975755,-3.9202812749478649E-002,0.17165681957451662,-2.7754668468222168E-016,1.0624704434282955E-016,0.17165681957451662,0.19019034488750838,290.29883109081067,235.70116890918936,-13.201655452197418,-9999.0,1.2638204779481244E-003,7.0612508407677854E-006,7.9402825848263428E-002,20.137822337150119,-9999.0,-1.3998813615831601E-003,1,2125.0207816750863,929.00000000000000,2016.0000000000000,4279.0000000000000,8306.0000000000000,-9999.0,-9999.0,1.3903415082622137E-006,1.4334299676078703,-1.2131491281345795E-003,1.8292474582448019,-9999.0,1.0000000000000000,-9999.0,1.0000000000000000,-9999.0,1.0000000000000000,-1.2045229067640360E-005,15.935180567666810,800000009,811110009,800000009,800001119,810000019,810000019,899999999,899999999,89999,89999,89,89,47,7,0,16,0,0,0,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,301,0,0,0,0,16,18000,18000,18000,18000,13,1.1625958653137387E-005,2.2720004592949336E-006,2.2454256910325178E-007,2.5698449669567675E-005,-9999.0,-9999.0,1.3249052524146200E-008,-9.6717298881162875E-007,-9999.0,-9999.0,-1.2045229067640360E-008,897.05160695911093,28380.278605213236,100585.48205555555,12.023260713418324,20803.705275890188,658.17066668769030,87.957098771837309,14.794985257095689,3.9929110189279284,25.597060258759328,-21.604148253017001,2.5790839708254984E-004,-1.0000000000000000,0.0000000000000000,1.9426664903561273,62.870211396323356
2018-01-18T200000_AIU-0547.ghg,2018-01-18,20:30,18.854,0,18000,18000,9.2512997452666681E-006,1,-1.4663165746144188E-003,1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-6.1736558941210705E-005,1,-0.16640889378300072,-9999.0,-9999.0,-9999.0,6.8876648082524586E-005,-9999.0,-9999.0,-1.2654316373918969E-014,-9999.0,-9999.0,-9999.0,-9999.0,1,-9999.0,-9999.0,-9999.0,-9999.0,1,8.5976639960468643E-002,1.9946894668592112,1.9946894668592112,-0.40000000000000002,0,286.66247887335885,280.05018590547752,100357.78320334878,1.2484546549226485,1005.2678987995837,2.3200365445501862E-002,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9.7785099030784056E-002,-0.13949799004279953,-3.9225385974678548E-002,0.17481488987870394,8.5787510073247416E-016,-1.4718319278047294E-016,0.17481488987870394,0.19430737461362174,291.02963168400203,234.97036831599800,-12.966564209738872,-9999.0,2.7221684095841852E-003,3.4103667366065630E-005,1.2009120736972465,1.3314879873571099,-9999.0,-4.2919847134671957E-004,1,257.25118210895886,114.00000000000000,264.00000000000000,612.00000000000000,1311.0000000000000,3460.0000000000000,-9999.0,8.7092212391997499E-006,1.0622419032860311,-1.3051654788365653E-003,1.1234717730364006,-9999.0,1.0000000000000000,-9999.0,1.0000000000000000,-9999.0,1.0000000000000000,-2.1086336529576478E-005,2.9277991866731674,800000009,811110009,800000009,800001119,810000019,810000119,899999999,899999999,89999,89999,89,89,1,0,0,0,2,0,6,0,0,18000,0,0,0,0,0,0,0,421,0,0,0,0,301,151,0,0,0,16,18000,18000,18000,18000,13,4.0880783204249544E-005,2.6415896257904827E-005,9.1065526997689418E-007,9.7566996249115638E-006,-9999.0,-9999.0,6.1020975825064846E-008,-1.0399464839104670E-006,-9999.0,-9999.0,-2.1086336529576479E-008,770.04235789317818,24886.606080329173,100590.15791666666,12.003562859323290,17849.489125209479,576.86649096200665,84.627898773193465,15.620039257446917,5.0044036123355919,26.235674370818678,-21.231271288129978,2.5732520607966259E-004,-1.0000000000000000,0.0000000000000000,1.9337077318711400,60.081593180355860
2018-01-18T203000_AIU-0547.ghg,2018-01-18,21:00,18.874,0,18000,18000,3.2092830149152279E-006,1,-3.1945134938174053E-003,1,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-2.1014811389124416E-005,1,-0.22580344541737549,-9999.0,-9999.0,-9999.0,5.1109644560656557E-006,-9999.0,-9999.0,-7.1910093611298320E-015,-9999.0,-9999.0,-9999.0,-9999.0,1,-9999.0,-9999.0,-9999.0,-9999.0,1,8.6068817310091222E-002,1.9948079231446640,1.9948079231446640,-0.20000000000000001,0,286.65900439622669,279.87044878403100,100394.93783282247,1.2497189336139116,1005.2647004707588,2.3176894785921276E-002,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-8.8382069353635212E-002,-0.13805300964249548,-3.9123143409275231E-002,0.16852490618541921,-1.9459434823862065E-016,-8.3549531478071269E-017,0.16852490618541921,0.18492980328266748,288.62752847863351,237.37247152136649,-13.423714566652958,-9999.0,1.6024992466700896E-003,1.8465887660023807E-005,0.11248540035648626,14.215178102513610,-9999.0,-1.5867704738123070E-003,1,1276.8646767298492,559.00000000000000,1217.0000000000000,2597.0000000000000,5070.0000000000000,-9999.0,-9999.0,2.4024480074043958E-006,1.3358386966228404,-1.9388754596786730E-003,1.6476114945241647,-9999.0,1.0000000000000000,-9999.0,1.0000000000000000,-9999.0,1.0000000000000000,-1.6855570016001654E-006,12.467576812397464,800000009,811110009,800000009,800001119,800000019,800000019,899999999,899999999,89999,89999,89,89,4,3,0,3,11,0,1,0,0,18000,0,0,0,0,0,0,0,0,0,0,0,0,301,0,0,0,0,16,18000,18000,18000,18000,13,3.2859393192564491E-005,3.8309002353421989E-006,2.4148189214092150E-007,4.1910597244277251E-005,-9999.0,-9999.0,8.0679747359740071E-009,-1.5433240769280569E-006,-9999.0,-9999.0,-1.6855570016001654E-009,665.95257966975123,23495.396320737440,100629.01086111111,11.997124378628200,15422.503886880499,544.11704132963393,83.180662761688282,15.914925413873469,5.4504752770264906,26.379377494547104,-20.928901053958448,2.5791987606983940E-004,-1.0000000000000000,0.0000000000000000,1.9445681170258258,62.156824375576448
