file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,diagnostic_flags_LI-7200,,,,,,,,,diagnostic_flags_LI-7700,,,,,,,,,,,,,,,,RSSI_LI-7200,variances,,,,,,,covariances,,,,custom_variables,,,,,,,,,,,,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,ch4_flux,qc_ch4_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,head_detect_LI-7200,t_out_LI-7200,t_in_LI-7200,aux_in_LI-7200,delta_p_LI-7200,chopper_LI-7200,detector_LI-7200,pll_LI-7200,sync_LI-7200,not_ready_LI-7700,no_signal_LI-7700,re_unlocked_LI-7700,bad_temp_LI-7700,laser_temp_unregulated_LI-7700,block_temp_unregulated_LI-7700,motor_spinning_LI-7700,pump_on_LI-7700,top_heater_on_LI-7700,bottom_heater_on_LI-7700,calibrating_LI-7700,motor_failure_LI-7700,bad_aux_tc1_LI-7700,bad_aux_tc2_LI-7700,bad_aux_tc3_LI-7700,box_connected_LI-7700,mean_value_RSSI_LI-7200,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,co2_mean,h2o_mean,air_p_mean,vin_sf_mean,co2_mean,h2o_mean,dew_point_mean,avg_signal_strength_7200_mean,co2_signal_strength_7200_mean,h2o_signal_strength_7200_mean,delta_signal_strength_7200_mean,flowrate_mean,hit_power_mean,hit_vin_mean,ch4_mean,rssi_77_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
not_enough_data,2018-03-28,15:00,87.624,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2018-03-28T150000_AIU-0547.ghg,2018-03-28,15:30,87.645,1,17803,17803,9.1922980689828016E-002,0,105.02267574492784,0,116.29797704767080,0,1.1733128996981823,1,2.6080150848573265,0,6.6214092438846061E-003,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,5.5138535311409167E-011,5.4282739798793722E-013,2.7012449562703486E-013,17.264119538035736,399.47054812462534,401.04775036095157,0.10000000000000001,0,169.96166173905468,3.9327043597844087,3.9482315873614637,0.0000000000000000,0,8.4577175587248254E-002,1.9486336570587914,1.9563273140157864,-0.29999999999999999,0,284.07997632917238,283.91862019392795,102542.13084873336,1.2563762933890092,1007.4535537615481,2.3019800629796205E-002,0.16899937749875474,3.0785381210390182E-003,403.37605739162029,1288.7696540033826,2.4503312719589944E-003,31.299313739937080,885.39359661176229,267.56557490989906,-0.96536047572620554,-2.7947283680536712,0.12981465964837988,2.9596079715323795,-4.3927750182588267E-015,3.1938226093679305E-015,2.9596079715323795,6.6228288285542041,275.05603516572268,250.94396483427730,2.5139204846344834,-9999.0,0.27049060334493202,0.97364711082306499,-16.716339318316400,-9.5654914006677666E-002,0.90304817341645427,0.30675110092988772,0,22.206283906251173,-3.3698892551652286,7.6226986706968880,18.981597489244795,28.948133837935018,40.600169311628100,60.826451948317498,9.0909119208481687E-002,1.0111524728231196,108.50437775585284,1.0241053301475695,98.640321168806878,1.1790105270302771,0.99516744999177742,1.1790105270302771,2.2120371490036344,1.1790105270302771,-2.4693317936228473E-002,1.2955739592104727,800000009,800000009,800000009,800000009,800000009,800001009,899999999,899999999,89999,89999,89,89,4,3,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0.75600469484647981,1.0815800299850535,0.10970949681459660,0.38760679494721401,0.35768881347265075,0.16075851781766332,4.6555160851162617E-008,8.5724013198061097E-002,2.2999028935258729E-002,5.1121754832538148E-002,-2.4693317936228474E-005,17.266312187326818,169.96792037887539,102827.41585687805,1.8904667953779646,399.47095092046584,3.9325473053310533,-5.6667969840861163,85.315694219900820,85.920903662149300,84.710485754659118,1.2104154259011304,2.5711848859328446E-004,-1.0000000000000000,0.0000000000000000,1.9451689910689129,84.664385002944897
2018-03-28T153000_AIU-0547.ghg,2018-03-28,16:00,87.666,1,18000,18000,6.7737223582017642E-002,0,86.538592531375002,0,87.071113442636531,0,0.24539463153429178,0,1.9525269012633775,0,5.7154079172390612E-003,0,-4.5684418191660817E-002,0.19193349393611214,-7.3402132141849362E-003,4.3040142171906813E-003,3.0484933275612907E-005,1.2362757546430656E-011,1.2481890458385394E-013,6.0573068549448074E-014,17.270109533655059,399.30206021511032,400.91836222615598,0.29999999999999999,0,174.36531825024483,4.0314990864247733,4.0478178604311150,0.0000000000000000,0,8.4617329484116016E-002,1.9493353546999326,1.9572259091646569,-0.29999999999999999,0,284.01105703735351,283.88253076341414,102537.78238888890,1.2564357200769527,1007.5063559555033,2.3017850647633852E-002,0.12652374320186685,3.1561424172146134E-003,413.49186109564909,1285.6766050491972,2.5119808095087504E-003,32.161420645888363,872.18474395354815,267.89141953497540,-0.61684300367875600,-2.3149297850893591,7.0624500486685379E-002,2.3967442544314701,2.4864474112538966E-014,7.1584708379172583E-016,2.3967442544314701,5.2154035502766956,270.92051906447034,255.07948093552966,1.6885704931748486,-9999.0,0.23219002511584780,0.78056507318815194,-12.831632717474170,-0.12461391587545015,0.99388406912227711,0.29442738358832182,0,21.579409053723353,-3.2747585777954726,7.4075128194652935,18.445754293821039,28.130939155239698,39.454042149727471,59.109344608076839,6.7019355683220608E-002,1.0107113518397606,89.135070509117583,1.0225770113717272,74.494389121007984,1.1688278066311684,0.20994934424222483,1.1688278066311684,1.6705000430225996,1.1688278066311684,-1.9810998823435670E-002,1.2900165625819342,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,0,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0.51314658902421151,0.96114395499405592,8.6839602358036505E-002,0.34698059718397728,0.16265349273463803,0.13721377811575092,4.4034602090660420E-008,7.0414247588463486E-002,4.8521493320837139E-003,3.8607006357906724E-002,-1.9810998823435672E-005,17.272282079932648,174.37800641801536,102846.51316666667,14.332826655069985,399.30221482675415,4.0313654639058871,-5.3278838220172107,85.341645772510105,85.952680323070950,84.730611441082431,1.2220698823796377,2.5692381427183539E-004,-1.0000000000000000,0.0000000000000000,1.9457840852306947,85.063511781692512
2018-03-28T160000_AIU-0547.ghg,2018-03-28,16:30,87.687,1,18000,18000,8.8710505757172126E-002,0,51.627380780004557,0,46.244314755548402,0,-0.97938509864875833,1,1.0362761720876994,0,-5.1113208566291861E-002,1,-0.93350866641411434,2.0639593437710784,6.0314152097724116E-002,4.6250699127315220E-002,2.3809331847261875E-003,1.2842112228351792E-011,1.6314935813960167E-013,6.4377323849728121E-014,17.401161517236666,400.68290780082248,402.73296939500796,0.10000000000000001,1,221.06864368877007,5.0903743919082212,5.1164188795509631,0.10000000000000001,0,8.7231772346872516E-002,2.0039964622746735,2.0142497476088090,-0.20000000000000001,0,283.63619941880972,283.14712114800352,102539.44236111111,1.2592142646825073,1008.0670405111517,2.2957850277107675E-002,6.7150695951282924E-002,3.9955199204917049E-003,522.10416291375918,1224.0555133344121,3.1730262533986755E-003,42.653634351232249,701.95135042065306,271.00451142695033,1.6513940204312074,-1.1759362948550012,6.3436054935008743E-002,2.0282880745444558,-7.7361461098611352E-015,7.3800316235390827E-016,2.0282880745444558,5.0262583827445919,201.45417564281715,324.54582435718282,1.7922557783271615,-9999.0,0.26542248457322209,1.3462667660448808,-32.134131204477015,-4.9760175242491794E-002,1.1164049257278765,0.15323336261860196,0,24.070812969978633,-3.6528387339850368,8.2627311622003443,20.575368889452385,31.378735784184482,44.009123101166765,65.933685917758638,8.7778355471018116E-002,1.0106193637503471,52.954814967327351,1.0217824296630873,39.779203849962343,1.1625248944139486,-0.84246376430715952,1.1625248944139486,0.89140127412936510,1.1625248944139486,-5.4309619518606883E-002,1.2869361973726516,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,1,5,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0.64695432810741194,1.9592260703437565,8.6353133638593427E-002,0.16592863994737278,0.58597690449646234,0.20848767341559066,2.0781169568572089E-006,4.1717320374599361E-002,-1.9440141105639224E-002,2.0569390975613954E-002,-5.4309619518606884E-005,17.403400950166919,221.09178633058983,102797.94480555555,14.319999694824219,400.68309465524800,5.0901622313765946,-2.2228641234468869,85.371286717308891,85.984546017116969,84.758026613023546,1.2265167197850015,2.5577317857015361E-004,-1.0000000000000000,0.0000000000000000,1.9993879961834953,84.966716215345571
2018-03-28T163000_AIU-0547.ghg,2018-03-28,17:00,87.708,1,18000,18000,6.3429742679770723E-002,0,64.609564708515123,0,64.360530027989313,0,-5.1317007424985690E-002,2,1.4430715958774738,0,1.4378146749847555E-002,2,0.76490938255664576,-0.48265681015593920,-3.4642874906333276E-002,-1.0821979449049944E-002,-2.8587949631727542E-004,-4.1565542936745903E-011,-5.0329691973419935E-013,-2.0806408830047699E-013,17.324915860729096,399.88797817060481,401.83367644485440,0.10000000000000001,1,209.77897006249884,4.8420488085114535,4.8656083214871941,0.10000000000000001,0,8.6723102087964174E-002,1.9974183320170040,2.0071369872747571,-0.20000000000000001,0,283.93925798119437,283.75109958055282,102524.60686111111,1.2564703655806435,1007.9437758925725,2.3010150578861233E-002,9.3511039412860292E-002,3.7919665377820879E-003,496.56231235943397,1274.4674426630550,3.0179514309752412E-003,38.962337972466798,777.90513030362092,270.32809098354102,0.83181876960254331,-1.5722436816947476,6.2774250729901157E-002,1.7798351796295342,9.8248304471450483E-015,-2.3991771891350860E-015,1.7798351796295342,4.1715105177821163,228.11825933913755,297.88174066086242,2.0212240855578356,-9999.0,0.22468307023979098,0.72064791089518787,-15.573658258760794,-0.10267337149898610,1.0038693696341143,0.22705857498126980,0,23.153881833131717,-3.5136908964255511,7.9479783747699360,19.791589944786892,30.183423440089740,42.332680542823688,63.422069477529547,6.2758825481248268E-002,1.0106904039930276,66.635695455412716,1.0213818163966530,55.552619388153637,1.1585507710859431,-4.4294137732854622E-002,1.1585507710859431,1.2455833890860399,1.1585507710859431,-7.4074133199091901E-003,1.2852149437649143,800000009,800000009,800000009,800000009,800000009,800000019,899999999,899999999,89999,89999,89,89,1,1,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0.42203591246178429,0.95107147071363440,6.8188438614957186E-002,0.19218210018013188,0.54693070445198477,0.14540984461753007,4.1873280742483921E-006,5.2616066439755083E-002,-1.0241752156040171E-003,2.8800552428944696E-002,-7.4074133199091901E-006,17.327113200611539,209.79103524804560,102788.24249999999,14.354599826812745,399.88807436455619,4.8419081672932638,-2.8852727072239448,85.366087925169197,85.980982288996373,84.751191937128709,1.2297883181803757,2.5641644595048594E-004,-1.0000000000000000,0.0000000000000000,1.9930518267883148,84.957797935697755
2018-03-28T170000_AIU-0547.ghg,2018-03-28,17:30,87.729,1,18000,18000,6.8478233586835427E-002,0,10.642146689749660,1,40.408172077544450,0,0.36961305557660773,1,0.90500587327927318,0,-2.5369922326563068E-002,1,-1.4868773658492356,0.52220743141500992,4.8882407147299384E-002,1.1695673627446760E-002,2.1981587468504729E-003,1.4800666774637247E-011,1.8858167303287552E-013,7.5826781246000829E-014,17.442359491449263,401.00530228546688,403.06471361644725,0.29999999999999999,0,222.24061825207710,5.1093813509561148,5.1356211981314219,0.10000000000000001,0,8.9360702305565240E-002,2.0478020650824709,2.0583188007774855,-0.20000000000000001,0,283.14061871592207,282.58162835523825,102499.71416666667,1.2612362293571524,1008.0664764932452,2.2920880094604985E-002,5.8644380588496900E-002,4.0169074285865873E-003,523.85060773941871,1178.4563695277666,3.1848969567215735E-003,44.452270044527594,654.60576178834776,271.04968262791573,1.4271377811870656,-1.5812593648023887,5.3455245660707709E-002,2.1307183972912269,-2.2525788119903621E-014,8.4854728409266831E-016,2.1307183972912269,4.7744619952256020,213.93272549451225,312.06727450548772,1.4375814978549089,-9999.0,0.23301187565915132,0.41937604263909839,-105.44231116771346,-1.5164690362834302E-002,0.26336619902843100,3.5922419083435957E-002,0,24.634498142439721,-3.7383801336173201,8.4562260410801500,21.057198496760062,32.113556336950154,45.039719374590611,67.477706934576815,6.7758342922665846E-002,1.0106243841439748,12.472543807040422,1.0219822210668794,34.707882428959358,1.1642361691253431,0.31747257590724681,1.1642361691253431,0.77733873700142619,1.1642361691253431,-2.4398417511127712E-002,1.2877359551505563,800000009,800000009,800000009,800000009,800000009,800010009,899999999,899999999,89999,89999,89,89,4,2,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0.37720921213732883,0.39873322052871663,6.2809652612151323E-002,0.12358074408260053,0.22821643297803715,5.4381907115717089E-002,2.9146477938281704E-006,9.8100095030219017E-003,7.3141315573643090E-003,1.7908815496318477E-002,-2.4398417511127710E-005,17.444729949877409,222.27028153158400,102731.46750000000,13.640422087987130,401.00551582883713,5.1093308343722512,-2.1434545933198494,85.406809994167759,86.023765462451507,84.789855646981124,1.2339105318288006,2.5522626866101455E-004,-1.0000000000000000,0.0000000000000000,2.0430702699621501,84.843516057968145
2018-03-28T173000_AIU-0547.ghg,2018-03-28,18:00,87.749,1,18000,18000,1.4228559141878627E-002,0,-1.3978103021323829,2,14.426129384461692,0,-0.24830745678641689,2,0.32282335803915230,0,-0.18590158366937065,1,-1.1273004824801118,-0.21823828988654645,-1.2598326044918437E-002,-4.8836673868862439E-003,2.9311663248507650E-003,4.6247855156118842E-011,5.7684165826281481E-013,2.4438870790453030E-013,17.532937233572547,400.71820628103228,402.73109263431706,0.10000000000000001,1,218.68535424812529,4.9980902644448122,5.0231966547412661,0.10000000000000001,0,9.2649742605784721E-002,2.1147842744490832,2.1254072517419953,0.0000000000000000,0,282.49459156205921,281.69761915503602,102488.27672222222,1.2651063397294990,1007.9891929589917,2.2851725880830950E-002,2.0918953600937068E-002,3.9413035399666349E-003,512.38306258028535,1110.1691241394910,3.1153930829319466E-003,46.153604116619739,597.78606155920556,270.75060234170985,0.13493366225027636,-1.2268456954227576,2.1508532223373102E-002,1.2344310716050613,3.0226559741104083E-016,2.6377699606180184E-015,1.2344310716050613,2.4907343838308296,249.72359504342066,276.27640495657937,0.99836314202311427,-9999.0,0.10605153176011153,0.10915595081193218,75.676842189967942,2.1129317156047645E-002,-9.6894341155567137E-002,-1.0335902010724807E-002,1,14.778516275998886,6.0000000000000000,13.000000000000000,26.000000000000000,46.000000000000000,92.000000000000000,336.00000000000000,1.4079772342410765E-002,1.0105674151434743,-0.65227818078832023,1.0219750478325595,12.235377680331002,1.1790505991206497,-0.21059949163471661,1.1790505991206497,0.27379940969447614,1.1790505991206497,-0.13718566825737180,1.3606774393640948,800000009,800000009,800000009,800000009,800000009,800000019,899999999,899999999,89999,89999,89,89,3,1,2,31,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0.12295125468196039,7.8072882292652745E-002,1.7287764649251216E-002,4.1725648142884181E-003,0.27891522088434345,2.9000764799018211E-002,1.4682881433469763E-004,-5.1150507062629658E-004,-4.8367428152027775E-003,6.2882266114084638E-003,-1.3718566825737181E-004,17.535172909524707,218.71358652547730,102730.03575000000,12.226122337447274,400.71835610129915,4.9980645329430660,-2.4356307562258337,85.437304170608527,86.053511693954462,84.821096880171041,1.2324153352644709,2.5436118097988775E-004,-1.0000000000000000,0.0000000000000000,2.1099134630295677,84.662982248730117
2018-03-28T180000_AIU-0547.ghg,2018-03-28,18:30,87.770,0,18000,18000,1.1927310716474181E-003,2,-1.5242162902110723,0,9.8852741996733400,0,0.13482088826733934,2,0.22117279688229030,0,-5.0497991270208410E-002,0,-0.22181296018169422,0.43272258390963209,0.11328550983964172,9.6817207316907319E-003,5.3462310945268189E-002,5.4597611149131929E-011,7.0647909551013858E-013,4.5177398506838019E-013,17.672761608740299,403.29807662012064,405.41375821690752,0.10000000000000001,0,228.68100588513860,5.2185737506592638,5.2459501282960570,0.40000000000000002,0,0.14623522478549000,3.3356726102026371,3.3531713823600833,0.0000000000000000,1,282.48068515268960,281.52379940626355,102493.64025000000,1.2658479513475724,1008.1061326990285,2.2836430265863985E-002,1.4331997237972410E-002,4.1179247151729697E-003,535.01409400007367,1097.1602446872882,3.2530958483514448E-003,48.763532637163955,562.14615068721446,271.33530739109761,0.24919614112985627,3.9405208507520620E-002,-1.3970115860836642E-002,0.25267894916021277,1.4504066013036149E-014,3.0893649989671086E-015,0.25267894916021277,1.3586574436850540,157.01426192616438,8.9857380738356092,-3.1693856162479905,-9999.0,3.0695908740736761E-002,0.17020730050572691,1.6830058221530635,0.95008583984243433,-0.15419059293888279,-3.8911529682622736E-002,1,8.3894917903510180,4.0000000000000000,8.0000000000000000,16.000000000000000,32.000000000000000,71.000000000000000,324.00000000000000,1.1462301730173262E-003,1.0405685522199117,-1.0455553462371694,1.0806897862543801,6.2606221363202978,1.5789603627928650,8.5385859863428212E-002,1.5789603627928650,0.14007495190764629,1.5789603627928650,-2.2599512687738587E-002,2.2506103766420917,800000009,800000009,800000009,800000009,800000009,800000019,899999999,899999999,89999,89999,89,89,6,1,1,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,6.5359681920412901E-002,0.27013546497546520,4.9194541155757219E-003,2.9015900457571831E-003,0.24229240955499309,4.4007886256185708E-002,3.9866700373792876E-004,-8.1933069853895590E-004,1.9601401140662733E-003,3.2155972036733180E-003,-2.2599512687738588E-005,17.675009852575254,228.70824230064395,102744.94244444444,12.173373559315991,403.29825277395787,5.2185335975139475,-1.8526274400428087,85.430277628580725,86.045433551576409,84.815118456522626,1.2303150098224482,2.5400015454377155E-004,-1.0000000000000000,0.0000000000000000,3.3277850657238006,84.314067396799715
2018-03-28T183000_AIU-0547.ghg,2018-03-28,19:00,87.791,0,18000,18000,2.1635443165967688E-002,1,-6.5629714119168616,1,22.012980319826145,1,1.2497403836969847,1,0.49244212417747207,1,-9.7826616255210871E-002,1,-0.20505360513274401,0.86145698110151203,9.2262499081508537E-003,1.9271252665367913E-002,-4.9308486829169364E-002,6.6076751938448397E-011,9.2640202525421176E-013,3.6199911098030747E-013,17.695616376090076,403.50808151078570,405.80380278523739,0.0000000000000000,0,248.09413852851048,5.6572197172500909,5.6894059366945990,0.29999999999999999,0,9.6944798412008579E-002,2.2102112968152503,2.2227860860887003,0.0000000000000000,1,282.41560314517551,281.36320492892798,102486.91641666666,1.2662768915830833,1008.3426139077504,2.2824900656282135E-002,3.1910249646700188E-002,4.4663108324840359E-003,579.94652711184324,1085.2607982911165,3.5271202232082990E-003,53.438447977209165,505.31427117927336,272.43397322619393,2.1515866101773400E-002,-0.22568980235943081,-1.1048994515913119E-002,0.22698215714679384,-1.2279611619053742E-014,3.7340746167920911E-015,0.22698215714679384,1.0606895224033672,250.55423392405726,275.44576607594274,-2.7901357440401395,-9999.0,0.13071293218938254,0.12640196275418827,30.182501407399350,5.2977716406500334E-002,-0.29814097485045565,-3.9322865027220787E-002,1,0.49781884491520839,1.0000000000000000,1.0000000000000000,1.0000000000000000,2.0000000000000000,7.0000000000000000,-9999.0,2.1231094951630402E-002,1.0190450947187835,-5.3111337431267804,1.0292665855469740,18.357788208393167,1.1991085238559309,1.0422245850427605,1.1991085238559309,0.41067352485656872,1.1991085238559309,-6.8592660549826670E-002,1.4188384789660118,800000009,800000009,800000009,800000009,800000009,800000019,899999999,899999999,89999,89999,89,89,2,0,0,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0.19198457550351863,5.7673393595447639E-002,3.1459564094102935E-003,2.4164299660651711E-002,1.4064449172561924,0.10548444900832127,2.6214527620657204E-005,-4.1595891327273430E-003,2.3924052541383328E-002,9.4269269090601435E-003,-6.8592660549826666E-005,17.697848840607531,248.12307875253256,102736.00741666666,12.090000152587891,403.50812329864510,5.6571197502081496,-0.76473392257313400,85.412568965276080,86.026171601613356,84.798959576500792,1.2272099364731042,2.5360268959452185E-004,-1.0000000000000000,0.0000000000000000,2.2045431243843434,83.993157227198310
