file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,diagnostic_flags_LI-7200,,,,,,,,,diagnostic_flags_LI-7700,,,,,,,,,,,,,,,,RSSI_LI-7200,variances,,,,,,,covariances,,,,custom_variables,,,,,,,,,,,,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,ch4_flux,qc_ch4_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,head_detect_LI-7200,t_out_LI-7200,t_in_LI-7200,aux_in_LI-7200,delta_p_LI-7200,chopper_LI-7200,detector_LI-7200,pll_LI-7200,sync_LI-7200,not_ready_LI-7700,no_signal_LI-7700,re_unlocked_LI-7700,bad_temp_LI-7700,laser_temp_unregulated_LI-7700,block_temp_unregulated_LI-7700,motor_spinning_LI-7700,pump_on_LI-7700,top_heater_on_LI-7700,bottom_heater_on_LI-7700,calibrating_LI-7700,motor_failure_LI-7700,bad_aux_tc1_LI-7700,bad_aux_tc2_LI-7700,bad_aux_tc3_LI-7700,box_connected_LI-7700,mean_value_RSSI_LI-7200,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,co2_mean,h2o_mean,air_p_mean,vin_sf_mean,co2_mean,h2o_mean,dew_point_mean,avg_signal_strength_7200_mean,co2_signal_strength_7200_mean,h2o_signal_strength_7200_mean,delta_signal_strength_7200_mean,flowrate_mean,hit_power_mean,hit_vin_mean,ch4_mean,rssi_77_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
not_enough_data,2018-06-25,12:30,176.520,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
2018-06-25T123000_AIU-0547.ghg,2018-06-25,13:00,176.541,1,18000,18000,0.14573357056669412,0,134.10770145108322,0,180.19000626972729,0,-2.6321816988964213,0,4.0705015993411564,0,9.1445703292091271E-002,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,2.6153412005306254E-011,6.7510002559916981E-013,1.3091680459659857E-013,16.257633915588947,390.07211468574229,394.03968504418270,0.0000000000000000,0,419.65954845085639,10.068961348386912,10.171376545685307,0.10000000000000001,0,8.1381254656117605E-002,1.9450280905574746,1.9648117036584698,-0.20000000000000001,0,292.73033374023441,291.53443151346841,101361.14408333333,1.2066534301798870,1010.9795298453450,2.3912686518319608E-002,0.26376850363730692,7.5877165230991807E-003,1020.8752075362231,2107.9769070550647,6.2882318429808050E-003,48.429145695074531,1087.1016995188418,280.43098823765717,-0.49230838091161055,-3.2349906468217395,7.2218687978015325E-002,3.2730333890495773,-3.1348572545786820E-014,1.6086850116749491E-015,3.2730333890495773,7.6706710297201237,264.65301255623837,261.34698744376163,1.2643200839521309,-9999.0,0.34752698039472524,1.3526335681754014,-27.567317973396278,-5.8003466334414840E-002,0.74425715514065049,0.31632992482063493,0,23.105652857618828,-3.5063719633228918,7.9314229281637765,19.750364541906830,30.120552099531018,42.244502593743320,63.289962841681053,0.14407596910027631,1.0115050516527437,140.62289757911216,1.0250682650758023,152.08053644789044,1.1848327897729924,-2.2215638540867300,1.1848327897729924,3.4355072162722999,1.1848327897729924,3.0699067753445906E-002,1.2989765401188957,800000009,800000009,800000009,800000009,800000009,800011019,899999999,899999999,89999,89999,89,89,5,0,0,8,14,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1.2459840839345511,1.2952954481823378,0.16398760423391384,0.70715905948540592,0.35008941267321875,0.35988751860620533,7.7958305652780814E-008,0.11527393764893196,-5.3664046170705498E-002,8.2988034548131001E-002,3.0699067753445905E-005,16.259675802972581,419.68742105426952,101619.71025000000,12.883662333170571,390.07302462938094,10.068573409553744,7.2302314773665799,80.637050539652506,81.068044423845080,80.206056163787835,0.86198835439152177,2.6663975412439975E-004,-1.0000000000000000,0.0000000000000000,1.9364367173645232,75.111680534150864
2018-06-25T130000_AIU-0547.ghg,2018-06-25,13:30,176.562,1,18000,18000,0.18496599855602602,0,180.68789603589275,0,191.12090676288034,0,-3.3867120334984779,0,4.3197551976318760,0,8.2719269658216091E-002,0,0.67911798378898236,1.0251783584328109,-4.9845625484962672E-002,2.3171298301939407E-002,7.8642667658009449E-006,-1.7058334105916220E-011,-4.6595778640812563E-013,-8.5567830689044070E-014,16.181341685872958,388.88133684654122,393.05658346557613,0.0000000000000000,0,442.00225568614633,10.622507788119940,10.736556947916778,0.10000000000000001,0,8.1168670815172761E-002,1.9452164843685193,1.9661014119289684,-0.20000000000000001,0,293.23176069047713,292.09207221645772,101372.78902777778,1.2042350610234880,1011.2988136111724,2.3955674019604946E-002,0.27992013680654554,7.9904908317331973E-003,1077.1220900686774,2182.8168027116271,6.6353248550511581E-003,49.345510293425036,1105.6947126429498,281.21718661415929,0.20250204080479273,-3.6712033677333187,7.8858129893469436E-002,3.6776296507990995,9.2060053836451190E-014,-1.0541977567168560E-015,3.6776296507990995,8.6080575668313717,252.84278821777599,273.15721178222401,1.2286675826469702,-9999.0,0.39191358425935741,1.4868289177843887,-29.349860532147403,-5.4480667744522600E-002,0.94541146280803490,0.37857155480868249,0,23.491063375780548,-3.5648594963772284,8.0637218871821705,20.079807656061000,30.622973635227616,42.949155941323163,64.345661961007394,0.18276543258216360,1.0120403839105250,186.54637223824065,1.0263916448362314,160.28505991275949,1.1923812915995058,-2.8402928302870412,1.1923812915995058,3.6227968587440609,1.1923812915995058,1.2653834060417783E-002,1.3035919108508323,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,6,0,1,4,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1.2931542086444019,1.4804006634822309,0.20010296344214473,1.0313719036788367,0.56504901862101853,0.31827871793798129,8.4727674000721908E-008,0.15317787577152819,-6.8771854681355327E-002,8.7718581849336383E-002,1.2653834060417783E-005,16.183508636660044,442.02736193609610,101644.24627777778,12.880000114440918,388.88281166585284,10.622145410630234,8.0222211405965993,80.611544758690727,81.042340774748055,80.180746404859761,0.86159227082629997,2.6755253656301662E-004,-1.0000000000000000,0.0000000000000000,1.9361647672255831,74.940380471971295
2018-06-25T133000_AIU-0547.ghg,2018-06-25,14:00,176.583,1,18000,18000,0.18744904044814215,0,243.25655497360330,0,258.20893667704667,0,-4.2908064117878544,0,5.8379059605063341,0,9.9121574230823031E-002,0,0.39142388816868823,0.48888436397638158,-1.9547756469456567E-002,1.1053300397676652E-002,-6.0409648661122114E-005,-1.0038183065124122E-011,-2.8135952020803144E-013,-5.0400306366203495E-014,16.129388200784486,388.41389132187584,392.68902819824223,0.0000000000000000,0,452.08947635043876,10.886825374219868,11.006652882101966,0.10000000000000001,0,8.0983391271606989E-002,1.9437678956541442,1.9651622741649830,-0.10000000000000001,0,293.46861534288189,292.41378211127386,101383.91802777778,1.2029215115009568,1011.4527898799096,2.3979426242010451E-002,0.37829630624081045,8.1812047804995288E-003,1104.0450803107817,2227.0427434777343,6.8011127095826494E-003,49.574489916916129,1122.9976631669526,281.58076471764633,0.15954019932142072,-3.3284923775610036,8.5306449067333270E-002,3.3334054318269919,6.8798528599055703E-014,-6.2235361565889359E-016,3.3334054318269919,8.2246630200385038,253.25581783526960,272.74418216473043,1.4664382301458248,-9999.0,0.39475075121253611,1.6878919331050624,-22.280507105665741,-7.1766768701300707E-002,0.94209192797170704,0.50647577634499763,0,23.965153373742798,-3.6368044826189174,8.2264616419522234,20.485052655764125,31.240997829197958,43.815943660847822,65.644267914257895,0.18530328516796249,1.0115796936801995,251.56412159171524,1.0252606211616651,217.72416826691079,1.1859452201948713,-3.6180477299641214,1.1859452201948713,4.9225764066463924,1.1859452201948713,7.6709140613226406E-003,1.2996506234342544,800000009,800000009,800000009,800000009,800000009,800000019,899999999,899999999,89999,89999,89,89,3,2,1,3,23,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1.2663681413876735,1.9162967371556483,0.19311898766680272,1.1564532249934243,0.33768858972917892,0.50103936836194962,1.4407678747616348E-008,0.20675965249700576,-8.7713890639776554E-002,0.11934014165225169,7.6709140613226405E-006,16.131355870776709,452.11390481810179,101655.23536111112,12.880000114440918,388.41482399664983,10.886341804702742,8.3769686361154161,80.592874417622880,81.024662873162157,80.161082282384228,0.86357931417061229,2.6793262224075282E-004,-1.0000000000000000,0.0000000000000000,1.9345104301273823,74.701890276379018
2018-06-25T140000_AIU-0547.ghg,2018-06-25,14:30,176.604,1,18000,18000,0.17003899756914023,0,233.41681868439261,0,249.58975885495167,0,-3.5704922536600194,0,5.6444317222709293,0,9.9502513635858741E-002,0,0.31201516141491326,-0.66340767029676484,1.3323978577084667E-002,-1.5002856351958947E-002,-1.4631696457087704E-004,2.4043966714471193E-011,6.5116733331400275E-013,1.2049129285189341E-013,16.115245300163760,388.73274075693507,392.86878457387292,0.0000000000000000,0,436.43885521987772,10.527799558888390,10.639813381512937,0.0000000000000000,0,8.0758169560826404E-002,1.9402567316939663,1.9609007012314141,-0.20000000000000001,0,293.60523867797855,292.67042776828345,101398.71124999999,1.2022058870370789,1011.2602298535479,2.3996971031182694E-002,0.36575917560315618,7.9056207158449306E-003,1067.7916545678841,2262.8847752610350,6.5759291325123105E-003,47.187186296072419,1195.0931206931507,281.08931342134019,-1.0789071872300267,-3.3788631641572713,8.3014151326301647E-002,3.5479076016824562,-1.9577115019290094E-014,1.4920012861502556E-015,3.5479076016824562,8.2141423185089160,273.70883939170085,252.29116060829918,1.3407323823788035,-9999.0,0.37608398745842886,1.6934308348841618,-20.080053376899826,-7.9631262426796939E-002,0.93520190794383551,0.51051149398068740,0,23.232052199251935,-3.5255535510674965,7.9748117318695781,19.858408798024339,30.285326407293155,42.475600903251006,63.636190220949167,0.16804592088449630,1.0118603098138506,241.26320169685076,1.0259591167987794,209.74789827022951,1.1899511790739936,-3.0005367585236025,1.1899511790739936,4.7434145379505077,1.1899511790739936,1.0757531436012484E-002,1.3020886783859245,800000009,800000009,800000009,800000009,800000019,800000019,899999999,899999999,89999,89999,89,89,9,0,4,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1.4790259519764752,1.7183919483664984,0.18944376942535013,1.0347285978334113,0.27218687414048087,0.43307871912068940,3.4391400599923693E-008,0.19844917994028224,-7.2770108286872387E-002,0.11503901380165944,1.0757531436012484E-005,16.117225899696354,436.46957043287387,101662.86505555555,12.885750246047973,388.73355518510607,10.527368489027072,7.8865638089444801,80.580408276028109,81.014717709011506,80.146095398585004,0.86862156561348192,2.6813188046475672E-004,-1.0000000000000000,0.0000000000000000,1.9313117324312530,74.655099461025657
2018-06-25T143000_AIU-0547.ghg,2018-06-25,15:00,176.624,1,18000,18000,0.12177541525027431,0,200.83087782280867,0,214.03829230135861,0,-3.1420924507395975,0,4.8411373184946811,0,9.3834937310744354E-002,0,0.18094903855453867,-7.5518443146297506E-002,8.8205780430238665E-003,-1.7080829295508218E-003,1.9221563003050840E-004,8.8479950215164830E-012,2.3856421530088228E-013,4.4385222055444694E-014,16.126746796832528,388.94391188224790,393.06595794847277,0.0000000000000000,0,434.81768305549696,10.486906797370775,10.598047534094933,0.0000000000000000,0,8.0898467491074835E-002,1.9448712979710905,1.9654831364346850,-0.20000000000000001,0,293.61617818366159,292.81933016459141,101406.91586111111,1.2017104318639849,1011.2412148030817,2.4007237477991654E-002,0.31370569823845534,7.8715455661949926E-003,1063.7301330745872,2283.9104628473215,6.5502847919738537E-003,46.574948991146037,1220.1803297727342,281.03334236946353,-0.93829914613193033,-2.9833848015469666,5.1729915405687769E-002,3.1278852513928714,-7.4810374527540582E-016,5.4865343475562768E-016,3.1278852513928714,7.3662378395526087,273.45879206509869,252.54120793490131,0.94761818867295267,-9999.0,0.31833170398079152,1.6028643160119431,-14.153874507934038,-0.11297259977143863,0.93829415131029759,0.51915375508902939,0,22.393122837181771,-3.3982427837631559,7.6868344295862077,19.141304597251601,29.191697254558417,40.941770466589944,61.338232726330787,0.12041067509925349,1.0113340461707061,207.87579544460962,1.0246144282382683,181.06490173503917,1.1821081294627216,-2.6580414874295011,1.1821081294627216,4.0953422092571348,1.1821081294627216,1.5520763434434103E-002,1.2973787352477626,800000009,800000009,800000009,800000009,800000019,800000019,899999999,899999999,89999,89999,89,89,6,8,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1.0938889841113795,1.9630397238121842,0.14879992410032253,1.0319817162241132,0.32285628950254880,0.48740231975554765,4.0865154991383083E-008,0.17106034010120674,-6.4488701625332087E-002,9.9360112712844353E-002,1.5520763434434103E-005,16.128695761203765,434.84656328158951,101668.54274999999,12.890000343322754,388.94521121809214,10.486447480360660,7.8264869294696382,80.590848857879635,81.025581307941010,80.156113283793132,0.86947045815653257,2.6829897321618357E-004,-1.0000000000000000,0.0000000000000000,1.9359533461895255,74.739504225201088
2018-06-25T150000_AIU-0547.ghg,2018-06-25,15:30,176.645,1,18000,18000,0.12914215932990747,0,203.98568842747272,0,203.77344970143929,0,-2.9269031804914949,0,4.6099966131472954,0,9.7579246350551749E-002,0,0.28100300051746890,-0.26739609260288971,-1.8131633768521175E-002,-6.0493409866409871E-003,-4.8560118379585745E-005,-1.5110992708990951E-012,-4.0224916578624176E-014,-7.5811779589115883E-015,16.099775418951324,388.50953439489416,392.56948146480988,0.0000000000000000,0,428.57020424381238,10.341983423588257,10.450057747589366,0.10000000000000001,0,8.0772497810126145E-002,1.9437047172141202,1.9640165437532697,-0.20000000000000001,0,293.76271890767418,293.05072696092401,101418.63280555555,1.2009663568506870,1011.1667349243888,2.4023433136042618E-002,0.29872778053194471,7.7575317162544653E-003,1049.1511675438721,2316.9240975704715,6.4594080192197575E-003,45.282068957028535,1267.7729300265994,280.83086742087715,-0.51940538877494047,-3.1269193376070827,7.9025440276755746E-002,3.1707493628479275,2.2401870704480136E-014,-9.3858406814815190E-017,3.1707493628479275,7.7468288325161900,265.43115870439277,260.56884129560723,1.4281460224397842,-9999.0,0.32792052539414157,1.2217287769565193,-15.233510008833486,-0.10496595985250837,1.0010415425873409,0.51224470989581095,0,21.868192123395392,-3.3185825227504182,7.5066427022769409,18.692601718332266,28.507397052755937,39.982029703724116,59.900366175893019,0.12768864043092923,1.0113833062524031,210.39127260564356,1.0247471207279901,172.26173020922818,1.1829293102648926,-2.4742840971926507,1.1829293102648926,3.8971023654109831,1.1829293102648926,1.8213777533147634E-002,1.2978469393666032,800000009,800000009,800000009,800000009,800000009,800000019,899999999,899999999,89999,89999,89,89,12,7,2,1,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1.0477221755854147,1.2281891799202538,0.16754619840737023,0.88261995623935430,0.22781963135290462,0.34567724215017109,2.0311579225620614E-008,0.17325034383132465,-6.0062126707275197E-002,9.4600396263352579E-002,1.8213777533147635E-005,16.101669990539552,428.60616717594741,101685.79358333333,12.862746386210125,388.51032753499351,10.341661259852382,7.6326117097801767,80.584055018319020,81.019976223415796,80.148133683098692,0.87184104829529918,2.6830054673741371E-004,-1.0000000000000000,0.0000000000000000,1.9349214942819537,74.696390173806080
2018-06-25T153000_AIU-0547.ghg,2018-06-25,16:00,176.666,1,18000,18000,0.13156846554959889,0,157.57993874854063,0,173.47317905667288,0,-2.6505287810883069,0,3.9244268655009260,0,9.6092475581562059E-002,0,-2.6357120641608847E-002,0.24688680662860199,7.0198898347112086E-003,5.5852392971623924E-003,-4.4991937644118620E-006,-4.2446978642177675E-011,-1.1440454305236445E-012,-2.1276170580250758E-013,16.114232127159596,388.67769046297536,392.79249569617377,0.0000000000000000,0,434.31627459005512,10.475773540188012,10.586677172793273,0.0000000000000000,0,8.0771155562655433E-002,1.9435966431096712,1.9641728733243979,-0.20000000000000001,0,293.81459633043079,293.02902561102974,101422.36019444444,1.2010384384788482,1011.2401590355333,2.4020771299932242E-002,0.25430286088445997,7.8587585748812784E-003,1062.7626756980662,2313.8102962588296,6.5433031309427830E-003,45.931279561528171,1251.0476205607633,281.01998223189054,-1.3330650017532222,-2.9836533633445739,6.5130662500033132E-002,3.2685611046291427,-3.9472494953345731E-014,-2.6341297746751318E-015,3.2685611046291427,9.1540398854688103,280.07459040150911,245.92540959849092,1.1417743025179476,-9999.0,0.33097672273731810,1.3495167460666091,-20.277115593612038,-7.8857369659802015E-002,0.90838214648190652,0.39200559059587237,0,23.083661862119275,-3.5030347449140309,7.9238741310363752,19.731566969709583,30.091884615874676,42.204296040301848,63.229726098032437,0.13007268301767438,1.0114995900539798,163.31832017117847,1.0250540966609794,146.42231306776409,1.1847455174157078,-2.2372135974567100,1.1847455174157078,3.3124639914749801,1.1847455174157078,2.9185310485261746E-002,1.2989266157354424,800000009,800000009,800000009,800000009,800000009,800000019,899999999,899999999,89999,89999,89,89,7,5,0,5,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1.1962141009248251,1.3537245143831109,0.14909487682528255,0.70455821549269437,0.27938917189913498,0.30118369595691841,7.6632497088933639E-008,0.13446946873947832,-5.4308674153514779E-002,8.0410528419268032E-002,2.9185310485261747E-005,16.116179831928680,434.35068433549668,101686.72113888888,12.857582054138184,388.67859912533231,10.475494430859888,7.8245418663024768,80.587790838665427,81.023949226379401,80.151630470699729,0.87231764590409067,2.6811540437241389E-004,-1.0000000000000000,0.0000000000000000,1.9346920392579507,74.620995915942729
2018-06-25T160000_AIU-0547.ghg,2018-06-25,16:30,176.687,1,18000,18000,0.12710351665773434,0,145.68980307626941,0,158.83775518991720,0,-3.3991082976503360,0,3.5928784049504183,0,9.6831298531804902E-002,0,-0.15968566175002782,0.56914317975142970,-2.3137125967244116E-002,1.2873905435195490E-002,3.8532469900357034E-004,1.6213052222565974E-011,4.5047656498311577E-013,8.1645767845723119E-014,16.123051265172435,388.12383797835230,392.35497315216060,0.0000000000000000,0,447.97590554063254,10.783946842359590,10.901508126497289,0.0000000000000000,0,8.1192540583368528E-002,1.9528461002910902,1.9741350679232121,-0.20000000000000001,0,293.79275625440806,292.89764353434254,101446.36716666666,1.2017209835391829,1011.4074669228795,2.4004319487792046E-002,0.23281852064078709,8.0954898774662203E-003,1094.2856827108994,2295.0371234167874,6.7365802780810485E-003,47.680522094638597,1200.7514407058877,281.44988276787979,-0.76435814257222046,-3.0202768834514444,8.2942816389956445E-002,3.1165999636813426,-2.0359149421203776E-014,1.0055821293323027E-015,3.1165999636813426,7.9407558391415805,270.20197183910545,255.79802816089457,1.5250062670936351,-9999.0,0.32521978699783455,1.1918240942316685,-20.811860283685132,-7.6831190398365820E-002,0.91722401202455173,0.36857204738519023,0,23.094219164172515,-3.5046368562309418,7.9274981111974467,19.740591192717492,30.105647125355997,42.223598155533963,63.258644183956051,0.12568065385086669,1.0113212556051470,151.01488689843700,1.0245796878978519,134.39024249455352,1.1819143431961177,-2.8759345524638533,1.1819143431961177,3.0398805341803388,1.1819143431961177,3.3035106193994503E-002,1.2972557419541251,800000009,800000009,800000009,800000009,800000009,800000019,899999999,899999999,89999,89999,89,89,2,9,1,0,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1.0684775531211441,1.1713817581332744,0.14378887720891848,0.80922971786074560,0.79158935643097028,0.29219382359684920,1.5514818326359346E-007,0.12424815875114870,-6.9787639895490347E-002,7.3765965175716458E-002,3.3035106193994500E-005,16.125112807697711,448.00470708211338,101715.41783333333,12.850000381469727,388.12491980065232,10.783677671564961,8.2564048728412747,80.593802275975548,81.028984946144959,80.158618793275622,0.87036214179628402,2.6777626642271777E-004,-1.0000000000000000,0.0000000000000000,1.9436295913822121,74.472868484285144
