"StartDate","EndDate","Lengthmin","StartPos","EndPos","Length"
2014-07-19 17:00:00,2014-07-21 12:30:00,2610,482,569,86
2014-07-25 02:00:00,2014-07-25 13:00:00,660,740,762,21
2014-08-12 18:30:00,2014-08-13 07:30:00,780,1637,1663,25
2014-08-14 07:00:00,2014-08-15 13:00:00,1800,1710,1770,59
2014-08-16 10:00:00,2014-08-17 14:00:00,1680,1812,1868,55
2014-08-18 10:30:00,2014-08-18 14:00:00,210,1909,1916,6
2014-08-19 08:30:00,2014-08-19 14:00:00,330,1953,1964,10
2014-08-26 09:30:00,2014-08-26 13:30:00,240,2291,2299,7
2014-08-27 10:00:00,2014-08-27 14:00:00,240,2340,2348,7
2014-08-28 09:30:00,2014-08-28 15:00:00,330,2387,2398,10
2014-08-29 08:30:00,2014-09-02 13:30:00,6060,2433,2635,201
2014-09-06 11:00:00,2014-09-06 12:30:00,90,2822,2825,2
2014-09-07 11:30:00,2014-09-07 14:00:00,150,2871,2876,4
2014-09-08 10:30:00,2014-09-09 16:00:00,1770,2917,2976,58
2014-09-10 08:00:00,2014-09-10 16:00:00,480,3008,3024,15
2014-09-11 19:00:00,2014-09-12 08:00:00,780,3078,3104,25
2014-09-13 09:00:00,2014-09-13 15:30:00,390,3154,3167,12
2014-09-14 09:00:00,2014-09-14 15:00:00,360,3202,3214,11
2014-09-15 09:30:00,2014-09-15 15:00:00,330,3251,3262,10
2014-09-16 09:30:00,2014-09-23 14:00:00,10350,3299,3644,344
2014-09-23 20:00:00,2014-10-10 17:00:00,24300,3656,4466,809
2014-10-10 17:30:00,2014-10-11 04:30:00,660,4467,4489,21
2014-10-13 06:30:00,2014-10-13 13:30:00,420,4589,4603,13
2014-10-19 13:00:00,2014-10-19 16:00:00,180,4890,4896,5
2014-10-19 21:00:00,2014-10-20 18:30:00,1290,4906,4949,42
2014-10-21 06:00:00,2014-10-22 01:30:00,1170,4972,5011,38
2014-10-25 08:00:00,2014-10-25 12:00:00,240,5168,5176,7
2014-10-28 10:30:00,2014-10-30 05:30:00,2580,5317,5403,85
2014-10-30 05:30:00,2014-10-30 17:00:00,690,5403,5426,22
2014-10-31 10:30:00,2014-10-31 16:00:00,330,5461,5472,10
2014-11-01 20:30:00,2014-11-01 22:30:00,120,5529,5533,3
2014-11-04 07:00:00,2014-11-04 15:00:00,480,5646,5662,15
2014-11-04 21:30:00,2014-11-04 23:00:00,90,5675,5678,2
2014-11-05 11:00:00,2014-11-05 17:00:00,360,5702,5714,11
2014-11-06 15:00:00,2014-11-06 16:00:00,60,5758,5760,1
2014-11-08 11:30:00,2014-11-08 13:00:00,90,5847,5850,2
2014-11-14 01:00:00,2014-11-14 04:00:00,180,6114,6120,5
2014-11-14 17:30:00,2014-11-14 20:30:00,180,6147,6153,5
2014-11-15 06:00:00,2014-11-15 09:00:00,180,6172,6178,5
2014-11-15 23:00:00,2014-11-16 19:00:00,1200,6206,6246,39
2014-11-16 20:00:00,2014-11-17 03:30:00,450,6248,6263,14
2014-11-17 04:30:00,2014-11-17 21:30:00,1020,6265,6299,33
2014-11-18 00:00:00,2014-11-18 06:30:00,390,6304,6317,12
2014-11-18 06:30:00,2014-11-30 05:00:00,17190,6317,6890,572
2014-11-30 05:00:00,2014-11-30 07:00:00,120,6890,6894,3
2014-11-30 08:00:00,2014-11-30 18:00:00,600,6896,6916,19
2014-11-30 22:00:00,2014-12-01 01:00:00,180,6924,6930,5
2014-12-01 01:30:00,2014-12-01 05:00:00,210,6931,6938,6
2014-12-01 05:00:00,2014-12-01 08:00:00,180,6938,6944,5
2014-12-01 10:00:00,2014-12-01 13:00:00,180,6948,6954,5
2014-12-01 13:00:00,2014-12-02 08:30:00,1170,6954,6993,38
2014-12-02 09:00:00,2014-12-03 09:30:00,1470,6994,7043,48
2014-12-03 12:00:00,2014-12-04 11:00:00,1380,7048,7094,45
2014-12-04 11:00:00,2014-12-15 10:00:00,15780,7094,7620,525
2014-12-15 10:00:00,2015-03-27 18:00:00,147360,7620,12532,4911
2015-03-27 18:00:00,2015-04-01 14:30:00,6990,12532,12765,232
2015-04-03 03:30:00,2015-04-03 08:30:00,300,12839,12849,9
2015-04-03 09:30:00,2015-04-10 18:00:00,10590,12851,13204,352
2015-04-10 18:30:00,2015-04-11 14:30:00,1200,13205,13245,39
2015-04-13 05:30:00,2015-04-13 13:30:00,480,13323,13339,15
2015-04-13 19:00:00,2015-04-14 11:00:00,960,13350,13382,31
2015-04-15 18:30:00,2015-04-15 22:00:00,210,13445,13452,6
2015-04-16 15:30:00,2015-04-16 18:30:00,180,13487,13493,5
2015-04-17 09:30:00,2015-04-17 11:30:00,120,13523,13527,3
2015-04-17 13:00:00,2015-04-17 18:30:00,330,13530,13541,10
2015-04-18 13:00:00,2015-04-19 20:00:00,1860,13578,13640,61
2015-04-20 12:30:00,2015-04-20 19:00:00,390,13673,13686,12
2015-04-21 10:00:00,2015-04-22 22:00:00,2160,13716,13788,71
2015-04-25 02:00:00,2015-04-26 01:30:00,1410,13892,13939,46
2015-04-26 15:00:00,2015-04-27 23:30:00,1950,13966,14031,64
2015-04-28 11:30:00,2015-05-02 21:00:00,6330,14055,14266,210
2015-05-03 11:30:00,2015-05-03 19:30:00,480,14295,14311,15
2015-05-04 12:30:00,2015-05-06 12:00:00,2850,14345,14440,94
2015-05-07 13:00:00,2015-05-07 16:00:00,180,14490,14496,5
2015-05-08 15:30:00,2015-05-08 17:00:00,90,14543,14546,2
